name,region,tel,keyword,photo
아쿠아플라넷 여수,전남 여수시,061-660-1111,"['문화시설', '미세먼지_피하는_실내여행', '상설공연', '실내관광지', '실내데이트']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1d941681-960e-421b-8fd2-6c3984e52408&thumb
전라남도해양수산과학관,전남 여수시,061-644-4136,"['기차여행', '문화시설', '박물관', '실내여행지', '아이와함께', '이색체험', '전라권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4a37518b-d075-465f-af03-73164f941148&thumb
목포근대역사관 2관,전남 목포시,061-270-8728,"['목포근대역사관2관', '문화시설', '미세먼지_피하는_실내여행', '실내관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=79fdc7d1-d20e-4ed1-95dd-876de7ad790e&thumb
순천만 자연생태관,전남 순천시,061-749-4007,"['가족여행', '남녀노소', '문화시설', '미세먼지_피하는_실내여행', '사계절', '생태여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8a92a37c-aec6-4ae5-942e-bdcbbec21684&thumb
목포자연사박물관,전남 목포시,061-274-3655,"['가족여행', '기차여행', '목포자연사박물관', '문화시설', '박물관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1054830a-a8f3-40bc-a475-c4e39b816085&thumb
한국천연염색박물관,전남 나주시,061-335-0160,"['교과서속여행', '문화시설', '미세먼지_피하는_실내여행', '박물관', '실내관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=530d7646-e90d-455a-b3a3-52a06e4f66bc&thumb
태백산맥문학관,전남 보성군,061-850-8653,"['교과서속여행', '무장애', '문학관', '문학기념관', '문학기행', '문학기행', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9040f948-f546-423b-9ffe-da3ac7944e26&thumb
한국차박물관,전남 보성군,061-852-0918,"['가족과함께', '가족여행', '관광지', '문화공간', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f15bf573-fce5-4c35-8ef1-bfcf3cfda447&thumb
섬진강어류생태관,전남 구례군,061-781-3665,"['교과서속여행', '문화시설', '사계절', '섬진강어류생태관', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e14a2ff2-ba20-471e-b67d-b21cdb39e41e&thumb
"장전미술관 (구, 남진미술관)",전남 진도군,061-543-0777,"['기차여행', '남진미술관', '데이트코스', '문화시설', '미술관', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4434a696-ed98-4202-8174-b0a46fbce9ec&thumb
곡성레저문화센터,전남 곡성군,061-360-8343,"['곡성레저문화센터', '문화시설', '문화행사', '사계절', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f8e4d960-8592-461b-b7b5-7cc7bd3925bc&thumb
진도향토문화회관,전남 진도군,061-540-6253,"['가족여행', '교과서속여행', '문화시설', '문화행사', '사계절', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a9d3dd2b-2fd7-486a-853b-e0d9e06970ac&thumb
아산조방원미술관,전남 곡성군,061-363-7278,"['기차여행', '나홀로여행', '문화시설', '미술관', '실내여행지', '아산조방원미술관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9d45dd1f-3d1e-4cce-8952-d10d78cb3308&thumb
나주배박물관,전남 나주시,061-339-2590,"['교과서속여행', '기차여행', '나주배박물관', '문화시설', '박물관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=329e2ad7-1ea6-4239-b945-2f132ea1b945&thumb
나주문화원,전남 나주시,061-332-5115,"['나주문화원', '문화시설', '문화원', '사계절', '실내여행지', '역사문화체험', '전라권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=780484da-1d56-4787-b985-f327883a693e&thumb
진도해양생태관,전남 진도군,061-540-6287,"['교과서속여행', '문화시설', '사계절', '실내여행지', '아이와함께', '전라권', '전시관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=59de480f-6aac-4475-a111-06d644598d40&thumb
순천문화예술회관,전남 순천시,061-749-8612,"['가족여행', '공연장', '나들이', '데이트코스', '문화시설', '순천문화예술회관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4c7c2f81-cf0d-40be-9150-9320be3eede1&thumb
여수시민회관,전남 여수시,061-659-3770,"['가족여행', '공연장', '나들이', '데이트코스', '문화시설', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=18e870b5-3a5b-4438-933d-d27058b7004e&thumb
물사랑 배움터,전남 화순군,061-373-5278,"['가족과함께', '교육여행', '문화시설', '물사랑배움터', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9dcc9bef-f234-4549-807d-1f1364d9e99e&thumb
