name,region,tel,keyword,photo
제주 세계자연유산센터,제주 제주시,1800-2002,"['가족여행', '가족체험여행', '교과서속여행', '문화시설', '사계절', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=033011ba-560c-4903-b8c9-b1274317584e&thumb
제주테지움,제주 제주시,064-799-4820,"['가족여행', '문화시설', '미세먼지_피하는_실내여행', '박물관', '사계절', '실내관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7c704041-17e7-4462-a866-725837d5e37f&thumb
피규어뮤지엄 제주,제주 제주시,064-792-2244,"['남녀노소', '문화시설', '미세먼지_피하는_실내여행', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=28a6f903-1217-4cd3-9ad3-622bb659d143&thumb
김영갑 갤러리(두모악),제주 서귀포시,064-784-9907,"['15_16한국관광100선', '가족여행', '기념품판매', '김영갑갤러리', '두모악']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=79b6bbad-5578-48fe-9aef-1968d14a9250&thumb
국립제주박물관,제주 제주시,064-720-8000,"['가족여행', '국립제주박물관', '문화시설', '미세먼지_피하는_실내여행', '실내관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=609f9323-983d-43c3-bc0f-be30f2f29fe1&thumb
아쿠아플라넷 제주,제주 서귀포시,064-780-0900,"['가족여행', '문화시설', '문화행사', '미세먼지_피하는_실내여행', '복합문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=73882fc4-5a44-4d99-950f-066129e48ebb&thumb
제주서커스월드공연장,제주 서귀포시,064-794-4444,"['문화시설', '실내여행지', '아이와함께', '어린이날가볼만한곳', '이색체험', '제주권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3fdb57bc-0321-4568-8a73-5d9d034640ab&thumb
박물관은 살아있다(제주중문점),제주 서귀포시,064-805-0888,"['데이트코스', '문화시설', '박물관은살아있다', '사계절', '사진찍기', '사진찍기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=00de075d-ea82-45f3-8937-d15d6d057a2f&thumb
해녀박물관,제주 제주시,064-782-9898,"['교과서속여행', '남녀노소', '문화시설', '미세먼지_피하는_실내여행', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9b8b681a-23a2-462c-8815-ca3e02a9c23f&thumb
믿거나 말거나 박물관,제주 서귀포시,064-738-3003,"['겨울방학가볼만한곳', '문화시설', '믿거나말거나박물관', '박물관', '사계절']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=309153a4-ee3e-4a00-a4ca-69c14ecee2e1&thumb
드라마월드,제주 제주시,064-792-3777,"['가족체험여행', '기념품판매', '놀이동산&테마파크', '데이트코스', '드라마월드']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a9d6f92e-e37a-449a-a69e-8b35170db791&thumb
제주도립미술관,제주 제주시,064-710-4300,"['문화시설', '문화예술', '문화예술공간', '미술관', '복합문화공간', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=edc46450-a218-4afd-9dae-f72c440ba449&thumb
서귀포천문과학문화관,제주 서귀포시,064-739-9701,"['가족여행', '겨울방학가볼만한곳', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dcd3f27f-9abc-4991-ac74-003c596ac0a2&thumb
