name,region,tel,keyword,photo
시흥 갯골생태공원,경기 시흥시,031-488-6900,"['가족과함께', '걷기길', '관광지', '생태관광', '수도권', '시흥갯골생태공원', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dc846ae2-87af-44e2-930c-0362b9c129c8&thumb
아침고요수목원,경기 가평군,1544-6703,"['17_18한국관광100선', '19_20한국관광100선', '가평아침고요수목원', '경기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=38129651-c16e-4b54-beb7-fb90c38157ce&thumb
잣향기푸른숲,경기 가평군,031-8008-6769,"['가족여행', '관광지', '사계절', '수도권', '숲체험원', '언택트관광지_100선', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=567b4943-6ab4-42ae-8ede-f3288c4e5bd3&thumb
양평 두물머리,경기 양평군,031-770-1001,"['가족여행', '관광지', '드라마촬영지', '생태관광지', '수도권', '양평두물머리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=230ab8f9-b2eb-4c7f-a713-44d249e321b4&thumb
한탄강 주상절리길(포천),경기 포천시,031-538-2312,"['레포츠', '산책코스', '산책하기좋은곳', '언택트관광지_100선', '자연', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=16416f15-0a38-4f34-a4f6-7709542ecd83&thumb
퍼스트가든,경기 파주시,031-957-6861,"['관광지', '수도권', '연중무휴', '자연', '퍼스트가든']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e97d7e25-4397-43c7-861e-9228bbc06837&thumb
오이도,경기 시흥시,031-310-2332,"['관광지', '국가사적', '수도권', '야간관광100선', '오이도', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6b490c19-528c-420c-b76a-b2756d3238cb&thumb
마장호수,경기 파주시,031-940-4724,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c1c42209-909e-4837-bf3e-0b9e344a6f99&thumb
국립수목원(광릉숲),경기 포천시,031-540-2000,"['17_18한국관광100선', '가족여행', '관광지', '국립수목원광릉숲', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=048974a5-64ab-40f3-ab9e-fbc8fb78818b&thumb
명성산,경기 포천시,031-538-3342,"['관광지', '등산', '등산객', '등산여행', '등산코스', '명성산', '수도권', '자연', '자연관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=44307e00-4f90-476f-8f8f-4023f34f7527&thumb
풍도,경기 안산시,1666-1234,"['2020_휴가철찾아가고싶은_33섬', '가족과함께', '관광지', '나홀로여행', '바다경치']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f90eb705-a61d-433b-b108-b89cd9482b2a&thumb
선인장다육식물연구소(구 선인장연구소),경기 고양시,031-229-6161,"['경기도', '관광지', '서울근교여행', '선인장다육식물연구소', '선인장연구소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=27b226cd-be38-40ff-80a4-6538c0dbea61&thumb
벽초지수목원,경기 파주시,031-957-2004,"['관광지', '데이트코스', '벽초지수목원', '봄나들이', '생태관광지', '수도권', '수목원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aee87b54-b4d8-4b4e-ba3a-a335d2fb5598&thumb
남한산성도립공원 [유네스코 세계문화유산],경기 광주시,031-746-1088,"['가족여행', '관광지', '나들이', '남한산성도립공원', '드라이브여행', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5341ad15-e6fd-4862-a8f4-35deda932c2e&thumb
한택식물원,경기 용인시,031-333-3558,"['가족여행', '관광지', '데이트코스', '수목원', '아이와함께', '연인과함께', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=da9fb934-0c5b-47a5-814e-4d3c8d342a5f&thumb
어비계곡,경기 가평군,031-580-2114,"['계곡', '관광지', '수도권', '어비계곡', '자연', '피서']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2a70df59-d7e8-4527-913d-b4f8b24b0c28&thumb
마장호수 출렁다리,경기 파주시,031-940-4724,"['가족과함께', '경기도', '관광지', '자연', '출렁다리', '파주가볼만한곳', '힐링']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=693caa2b-572e-4f54-be9c-f12e9c0a1fc5&thumb
국화도,경기 화성시,1577-4200,"['가족여행', '갯벌체험장', '경기권', '관광지', '국화도', '서울근교여행', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b51c5499-142a-4224-a24f-23f356097d77&thumb
덕평공룡수목원,경기 이천시,031-633-5029,"['걷기길', '관광지', '덕평공릉수목원', '데이트코스', '서울근교여행', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=72e302ae-f0f3-4418-bedf-29e4d48bf534&thumb
국립 산음자연휴양림,경기 양평군,031-774-8133,"['걷기길', '관광지', '국립산음자연휴양림', '수도권', '자연', '자연좋은곳', '휴양여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bb6e12ed-e5a5-4c08-9f15-760d0941b732&thumb
