name,region,tel,keyword,photo
문경에코랄라,경북 문경시,054-572-6854,"['가족휴양', '관광지', '드라마세트장', '미세먼지_피하는_실내여행', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1ea1898d-ca98-40c5-ad63-7b7a7f3c9198&thumb
테디베어뮤지엄 경주,경북 경주시,054-742-7400,"['경상권', '데이트코스', '문화시설', '박물관', '사계절', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fd89871d-4d34-467d-85db-f1932876693b&thumb
안동 온뜨레피움,경북 안동시,054-823-8850,"['경상권', '관광지', '미세먼지_피하는_실내여행', '식물원', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=40aca15a-eeaf-4afc-b682-483b0ff42eaf&thumb
유교랜드,경북 안동시,054-820-8800,"['경상권', '관광지', '미세먼지_피하는_실내여행', '실내관광지', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=420b83ec-065f-4f62-9679-0cd4d171da64&thumb
민물고기생태체험관,경북 울진군,054-783-9413,"['경상권', '교과서속여행', '문화시설', '민물고기생태체험관', '사계절', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c758fc19-19c6-4b37-901f-bfb7d751afb2&thumb
김천부항댐 물 문화관,경북 김천시,054-420-2635,"['가족과함께', '경상권', '관광지', '김천부항댐물문화관', '물문화관', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7570291a-e838-474c-900e-a0bdc6e00804&thumb
경상북도독립운동기념관,경북 안동시,054-820-2600,"['3·1운동_100주년_여행지추천', '경상권', '경상북도독립운동기념관', '교과서속여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fba00d61-66d4-4324-ae79-33db77701a74&thumb
사일온천,경북 영천시,054-332-4141,"['가족여행', '경상권', '관광지', '사일온천', '실내여행지', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d0c37e82-6dea-4924-a821-bcbcf0f82044&thumb
안동민속박물관,경북 안동시,054-821-0649,"['가족여행', '경상권', '기차여행', '문화시설', '박물관', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cab09f77-349c-4bb6-8be0-7e3afe46857c&thumb
소수박물관,경북 영주시,054-639-7691,"['경상권', '교과서속여행', '문화시설', '박물관', '사계절', '소수박물관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cd94e2de-d87c-4c59-935a-e33071fd4690&thumb
군립 청송야송미술관,경북 청송군,054-870-6536,"['가족여행', '경상권', '군립청송야송미술관', '문화시설', '미술관', '사계절', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1d6b675f-7014-49ff-a3dc-3303b35a8c60&thumb
청송민속박물관,경북 청송군,054-874-9321,"['경상권', '교과서속여행', '문화시설', '박물관', '사계절', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b1bdc932-d453-46e1-9d6f-37c5dde95e5b&thumb
하회세계탈박물관,경북 안동시,054-853-2288,"['교과서속여행', '문화시설', '박물관', '실내여행지', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1f2d6a64-50d8-4a5b-8d8e-50a4f0dd97d8&thumb
구미시문화예술회관,경북 구미시,054-480-4560,"['경상권', '공연장', '구미시문화예술회관', '기차여행', '나들이', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ce58794c-d6f1-4efc-b781-8be2b4a8a2d8&thumb
전통문화콘텐츠박물관,경북 안동시,054-843-7900,"['가족여행', '겨울방학가볼만한곳', '경상권', '문화시설', '박물관', '사계절', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2f16b756-6b41-4fb8-a2f6-584d6aa0608e&thumb
경주예술의전당,경북 경주시,1588-4925,"['가족여행', '경상권', '경주예술의전당', '공연장', '나들이', '데이트코스', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6e48b3ce-20a1-4e2b-a500-850871a394f5&thumb
영남대학교박물관,경북 경산시,053-810-1707,"['경상권', '기차여행', '무료관람', '문화시설', '박물관', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fb0c34b9-4495-4e3b-aa2f-247528334f07&thumb
대구대학교 중앙박물관,경북 경산시,053-850-5624,"['대구대학교중앙박물관', '무료관람', '문화시설', '박물관', '수도권', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4c6846c1-9b30-4154-8d30-2b4292fad6c0&thumb
영덕어촌민속전시관,경북 영덕군,054-730-6790,"['경상권', '교과서속여행', '문화시설', '사계절', '실내여행지', '아이와함께', '영덕어촌민속전시관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c3b98ff0-1241-4652-9d00-a6d268653ed5&thumb
의성문화체육회관,경북 의성군,054-830-6931,"['가족여행', '경상권', '문화시설', '복합문화공간', '사계절', '실내여행지', '실내체육관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9c255aca-31e3-440d-8e15-c7dd982b55bd&thumb
성주문화예술회관,경북 성주군,054-933-6912,"['가족여행', '경상권', '기차여행', '나들이', '문화시설', '사계절', '성주문화예술회관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=209d3f8e-bd19-450d-88e3-d8b7cc798ffc&thumb
국립안동대학교박물관,경북 안동시,054-820-7421,"['경상권', '국립안동대학교박물관', '무료관람', '문화시설', '박물관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=46686d05-006d-40fa-bab2-0973dfcd157b&thumb
동국대학교 경주캠퍼스박물관,경북 경주시,054-770-2462,"['경상권', '동국대학교경주캠퍼스', '동국대학교박물관', '무료관람', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ff41935d-8b92-4cff-bd5b-ed1a55b863da&thumb
대구가톨릭대학교 역사박물관,경북 경산시,053-850-3283,"['경상권', '기차여행', '대구카톨릭대학교역사박물관', '무료관람', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=672edb89-a05b-4221-b72f-a8a51509d54f&thumb
상주시 문화회관,경북 상주시,054-532-1059,"['경상권', '공연장', '기차여행', '나들이', '데이트코스', '문화시설', '상주시문화회관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1398af97-7906-444e-9cb3-823c3a971e09&thumb
