name,region,tel,keyword,photo
광주호 호수생태원,광주 북구,062-613-7891,"['가족여행', '관광지', '광주호호수생태원', '나들이', '나홀로여행', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d5cd9893-caaf-4d9f-bf14-feea1ce79038&thumb
무등산국립공원,광주 동구,062-227-1187,"['경치좋은곳', '관광지', '나홀로여행', '등산', '등산객', '등산여행', '등산코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5d0df322-a15a-4b73-9ec7-34523ce7cedd&thumb
운천저수지,광주 서구,062-360-7990,"['걷기길', '걷기여행', '관광지', '데이트코스', '사계절', '연인과함께', '운천저수지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f3ca76ad-db83-4f40-8db7-a4c3f9fc1dce&thumb
무등산 주상절리대,광주 동구,062-227-1187,"['관광지', '무등산주상절리대', '자연', '전라권', '천연기념물']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=74ab6d5b-9d37-40fd-b3b9-7bd54c26376a&thumb
전평제,광주 서구,062-365-4114,"['걷기길', '걷기여행', '관광지', '데이트코스', '사계절', '연인과함께', '자연', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9874d0b8-7e7c-423b-9eea-57c2b69bf9ae&thumb
풍암저수지 (풍암호수),광주 서구,062-365-4114,"['걷기길', '관광지', '사계절', '연인과함께', '자연', '자연좋은곳', '전라권', '전망좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=16e02dcc-7f04-4c1f-afe6-b4118e4dca95&thumb
광주호,광주 북구,062-266-0032,"['가족여행', '가족체험여행', '걷기여행', '관광지', '광주호', '데이트코스', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c1274f62-914b-4b0c-873a-5e300967d30a&thumb
양림동 호랑가시나무,광주 남구,062-607-2333,"['관광지', '광주광역시기념물', '양림동호랑가시나무', '자연', '전라권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f06d45c9-fe9e-4efa-b3d9-5035167ee48d&thumb
환벽당 ·조대,광주 북구,062-410-6622,"['관광지', '명승', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c590c6cc-9e4d-4efe-b9f3-2b3f2645bea8&thumb
왕동저수지,광주 광산구,062-940-8225,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=863c447e-d433-4672-8f63-c4e7136421bf&thumb
입석대 (무등산권 국가지질공원),광주 북구,061-379-3662,"['경치좋은곳', '관광지', '국가지질공원', '무등산', '무등산권_국가지질공원', '사진찍기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=236c140d-d085-4896-904c-9d267dec0ed2&thumb
광석대 (무등산권 국가지질공원),광주 북구,062-613-7851,"['경치좋은곳', '관광지', '국가지질공원', '무등산', '무등산권_국가지질공원', '사진찍기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=71d8dd13-b8d5-4ad1-b82c-75714f688468&thumb
서석대 (무등산권 국가지질공원),광주 북구,062-613-7851,"['경치좋은곳', '관광지', '국가지질공원', '남녀노소', '무등산', '무등산권_국가지질공원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=82cb58fd-b262-41c1-8a94-a7ae9d7107d0&thumb
충효동 점토광물산지 (무등산권 국가지질공원),광주 북구,062-613-7851,"['가마터', '광물', '국가지질공원', '도요지', '도자기', '무등산', '무등산권_국가지질공원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ba9aac31-3965-432a-b394-190f2a34a55c&thumb
무등산 정상3봉 (무등산 국가지질공원),광주 북구,062-613-7851,"['경치좋은곳', '국가지질공원', '남녀노소', '등산', '무등산', '무등산권_국가지질공원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=588c8252-ac2e-4f0d-8410-8489af6423ee&thumb
증심사 계곡 안산암질용암 (무등산권 국가지질공원),광주 동구,062-613-7851,"['경치좋은곳', '국가지질공원', '무등산', '무등산권_국가지질공원', '사진찍기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6c8b51be-59f3-4ab2-925b-eeb2c6fcd1fd&thumb
시무지기 폭포 (무등산권 국가지질공원),광주 북구,062-613-7851,"['경치좋은곳', '국가지질공원', '무등산', '무등산권_국가지질공원', '사진찍기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=80fd95b1-1589-411b-b32b-de8292b33c88&thumb
장불재 (무등산권 국가지질공원),광주 북구,062-613-7851,"['경치좋은곳', '국가지질공원', '무등산', '무등산권_국가지질공원', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d32196f0-bfa7-454c-8cb9-0889239fcae7&thumb
신선대와 억새평전 (무등산권 국가지질공원),광주 북구,061-380-3077,"['경치좋은곳', '국가지질공원', '등산', '무등산', '무등산권_국가지질공원', '사진찍기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e570d508-a28e-4b6d-9d37-d582e3ce6da9&thumb
윤필봉 자연동굴 (무등산권 국가지질공원),광주 북구,062-613-7851,"['국가지질공원', '동굴여행', '무등산', '무등산권_국가지질공원', '자연', '자연관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4d67fd5b-bc4e-4f52-88d9-51972fe449f7&thumb
무등산 광주화강암 (무등산권 국가지질공원),광주 동구,062-613-7851,"['국가지질공원', '무등산', '무등산권_국가지질공원', '자연', '자연관광지', '자연발생']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dcb44b51-090b-411e-a7e4-e712e77d5ae6&thumb
새인봉 (무등산권 국가지질공원),광주 북구,062-613-7851,"['경치좋은곳', '국가지질공원', '등산', '무등산', '무등산권_국가지질공원', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ae79507d-c846-4043-82d3-bdf0e85721e0&thumb
지공너덜 (무등산권 국가지질공원),광주 북구,062-613-7851,"['국가지질공원', '등산', '무등산', '무등산권_국가지질공원', '사진찍기', '사진찍기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3c9f7a12-1bd9-4394-8a47-b6616b89da0e&thumb
백마능선 (무등산권 국가지질공원),광주 북구,062-613-7851,"['경치좋은곳', '국가지질공원', '등산', '무등산', '무등산권_국가지질공원', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d7f0c906-a33c-4569-9866-bcd3a19752b8&thumb
의상봉 (무등산권 국가지질공원),광주 북구,062-613-7851,"['국가지질공원', '무등산', '무등산권_국가지질공원', '사진찍기', '사진찍기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c812463d-4a88-4995-a4b5-94adc6160770&thumb
덕산너덜 (무등산권 국가지질공원),광주 북구,062-613-7851,"['경치좋은곳', '국가지질공원', '무등산', '무등산권_국가지질공원', '자연', '자연관광']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1c37a0bc-0883-4028-98bd-df165801ae95&thumb
무등산 풍혈 (무등산권 국가지질공원),광주 북구,062-613-7851,"['국가지질공원', '등산', '등산객', '무등산', '무등산권_국가지질공원', '자연', '자연관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a6081254-4696-4b19-a168-3b123f8c16b4&thumb
