name,region,tel,keyword,photo
대구수목원,대구 달서구,053-803-7270,"['가족여행', '걷기길', '관광지', '대구수목원', '데이트코스', '산책로', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f29cc23e-a445-4b26-94df-39fe27f8f998&thumb
팔공산 케이블카,대구 동구,053-982-8803,"['가족여행', '경상권', '관광지', '사계절', '연인과함께', '자연', '자연좋은곳', '전망좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d5e296cc-a83b-4b7c-9d7d-d3e27af05223&thumb
고산골 메타쉐콰이어길,대구 남구,053-664-2852,"['걷기코스', '고산골메타쉐콰이어길', '관광지', '대구', '등산', '자연', '트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=40b8ca96-162e-458d-a3da-ef6b9bf1155b&thumb
팔공산자연공원(동화사지구),대구 동구,053-939-0080,"['가족과함께', '관광지', '동화사', '자연', '자연관광지', '자연속으로', '자연여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6e419f10-83ff-43e9-a1ab-b4798e45eb56&thumb
고산골,대구 남구,053-664-2852,"['가족여행', '경상권', '경치여행', '경치좋은곳', '고산골', '관광지', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cb08d367-ce06-4a6d-994a-61739829a46d&thumb
대구 하중도,대구 북구,053-627-1337,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f4e4270e-3a5d-483a-ad70-d4d934a6b7ca&thumb
비슬산자연휴양림,대구 달성군,053-659-4400,"['가족여행', '걷기길', '경상권', '관광지', '등산', '등산로', '비슬산', '비슬산자연휴양림']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=369872d5-0aac-4649-b6e4-24b8d7583e2e&thumb
대구 달성습지,대구 달성군,053-592-8852,"['경상권', '관광지', '달성습지', '습지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dd9c5ac9-361a-4a67-b548-d46551e41830&thumb
대구 도동 측백나무 숲,대구 동구,053-662-2363,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c73fe71e-5b0f-47dd-8874-7ec6659520cf&thumb
팔공산자연공원(파계사지구),대구 동구,053-939-0080,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5900efd5-54fe-48d2-b143-b1957d3c56fe&thumb
와룡산(대구),대구 달서구,053-667-3782,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a6d3e791-d8ba-4c95-a37e-784f050c5b91&thumb
운암지 수변공원,대구 북구,053-665-2863,"['걷기길', '경상권', '관광지', '산책길', '산책하기', '산책하기좋은곳', '운암지수변공원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ed8bc1fe-8431-48d3-8a35-4a5f30b01285&thumb
팔공산자연공원(갓바위지구),대구 동구,053-939-0080,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=11659e22-dffd-4313-b089-260209fae69f&thumb
비슬산 군립공원,대구 달성군,053-614-5481,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e0221a01-87bf-4b20-8376-b8caa57d9127&thumb
국우동 탱자나무,대구 북구,053-627-8906,"['경상권', '관광지', '국우동탱자나무', '대구광역시기념물', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d53aeffe-7501-4587-9ad5-87a41f0041fa&thumb
단산 저수지,대구 동구,053-627-1337,"['걷기길', '경치좋은곳', '관광지', '산책코스', '산책하기좋은곳', '자연', '자연관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=019a7a19-3515-4018-99ae-6d9b93384ce9&thumb
최정산,대구 달성군,053-668-2850,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=897531c6-026f-4171-9de7-6cb6d318d0d7&thumb
