name,region,tel,keyword,photo
선유도,전북 군산시,063-454-7280,"['관광지', '미식여행', '바다풍경', '선유도', '섬여행', '자연', '전라권', '친환경여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4334c77b-6b78-4f3c-85ac-591b1267a527&thumb
내변산,전북 부안군,063-582-7808,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8748b775-51ca-4043-b3df-25be0c20fb5d&thumb
선유도해수욕장 (명사십리 해수욕장),전북 군산시,063-454-3332,"['가족여행', '갯벌체험', '경치좋은곳', '관광지', '레포츠', '명사십리해수욕장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bc46dd1a-5b82-4873-9cb8-c6de7254696d&thumb
우화정(내장산),전북 정읍시,063-538-7875,"['관광지', '내장산', '방태산자연휴양림', '연인과함께', '우화정', '자연', '자연관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cfd40d75-93b7-4f9e-8cb5-50182d87d151&thumb
무주 구천동 33경,전북 무주군,063-320-2537,"['가을여행', '겨울여행', '관광지', '단풍여행', '무주구천동33경', '사계절', '여름여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e1623ca0-45cc-4112-924a-1ee04aec3b68&thumb
채석강 (전북 서해안권 국가지질공원),전북 부안군,063-580-4331,"['가족여행', '관광지', '국가지질공원', '바다풍경', '부안채석강', '연중무휴', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=46799820-b787-4014-bf62-32b460095b85&thumb
용담호,전북 진안군,063-430-4262,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d2c91ec6-b2b8-4270-baaf-e179cfd30433&thumb
한국도로공사수목원,전북 전주시,063-212-0652,"['가족여행', '관광지', '꽃여행', '생태관광지', '수목원', '아이와함께', '자연', '전라권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=891dc0d0-4aab-4eb5-9018-f62756f73bef&thumb
내장산국립공원,전북 순창군,063-538-7875,"['가족여행', '관광지', '꽃여행', '내장산', '내장산국립공원', '등산', '등산로', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d547f886-a740-418f-9880-cda59fbae183&thumb
마이산도립공원,전북 진안군,063-430-8751,"['가족여행', '관광지', '꽃여행', '등산', '등산로', '마이산도립공원', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=89f4987f-ce6d-4160-a08b-b449d3d6a9db&thumb
향적봉(덕유산),전북 무주군,063-322-3174,"['경치좋은곳', '관광지', '덕유산', '자연', '자연관광지', '자연속으로', '자연여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9beb27c8-9694-4030-a2e1-a5d9f0a85262&thumb
무녀도‧선유도,전북 군산시,063-454-7285,"['2020_휴가철찾아가고싶은_33섬', '가족과함께', '경치좋은곳', '관광지', '무녀도']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f524198f-8166-4a41-837b-bf87b9b4a433&thumb
장자도,전북 군산시,063-454-4000,"['경치좋은곳', '관광지', '섬', '자연', '자연관광지', '자연마을', '자연발생', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b559d825-766b-4957-8770-8913cbff9ae4&thumb
대아수목원,전북 완주군,063-243-1951,"['가족여행', '관광지', '기차여행', '나들이', '대아수목원', '데이트코스', '등산로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d8fb4e52-d2dd-447e-affd-3592654a2bed&thumb
격포해변,전북 부안군,063-580-4739,"['가족여행', '격포해변', '관광지', '바다풍경', '아이와함께', '여름방학가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=56ddfb0f-41b8-4971-9db2-b9a0f75f07de&thumb
