name,region,tel,keyword,photo
웅도,충남 서산시,,"['가족과함께', '관광지', '아이와함께', '언택트관광지_100선', '자연', '자연마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=af3e8140-c7d9-45b5-84ed-5bcb784f89e6&thumb
서동공원과 궁남지,충남 부여군,041-830-2953,"['19_20한국관광100선', '가족여행', '관광지', '부여백제유적지', '서동공원과궁남지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=90fc40dc-2c6e-4f73-9bcd-26843def07b0&thumb
신성리 갈대밭,충남 서천군,041-952-9525,"['가족여행', '관광지', '기차여행', '나들이', '나홀로여행', '데이트코스', '신성리갈대밭']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cb243d57-2a5a-4aff-9bd8-0b592f20539a&thumb
세계꽃식물원,충남 아산시,041-544-0746,"['관광지', '데이트코스', '미세먼지_피하는_실내여행', '생태관광', '세계꽃식물원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a1f77de9-12b8-4488-8ab8-f23c4e09c476&thumb
서천 마량리 동백나무 숲,충남 서천군,041-952-7999,"['가족여행', '관광지', '봄꽃여행', '사진찍기좋은곳', '서천마량리동백나무숲']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6a69d9bc-5237-4aa8-9985-63d71c86cd02&thumb
대천해수욕장,충남 보령시,041-933-7051,"['관광지', '대천해수욕장', '바다풍경', '자연', '충청권', '친구와함께', '힐링']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a4382017-df94-48dd-b059-e961096b4625&thumb
꽃지해수욕장,충남 태안군,041-670-2691,"['관광지', '꽃지해수욕장', '바다풍경', '아이와함께', '연인과함께', '자연', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dc6ad514-bc0a-482a-9373-17f42519c598&thumb
외연도,충남 보령시,041-932-2023,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3eda2bbb-15b1-4b72-9d22-a0048e07d1bd&thumb
호도,충남 보령시,,"['가족과함께', '관광지', '바다경치', '바다내음', '자연', '자연속으로', '자연여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b58ed4d2-7a59-43d6-aad8-4478b5b1fd6f&thumb
당진 삽교호,충남 당진시,041-360-6680,"['가족여행', '관광지', '당진삽교호', '바다경치', '바다풍경', '삽교호', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=54893e59-4d09-4efa-9cb9-f5ec448cc322&thumb
청산수목원,충남 태안군,041-675-0656,"['가족과함께', '가족여행', '관광지', '산책하기좋은곳', '수목원', '자연', '자연여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4868554b-214f-4da6-820f-70cbe66234e9&thumb
간월암(서산),충남 서산시,041-668-6624,"['간월암', '관광지', '사찰', '역사', '자연', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f3e6d4fa-4175-4de6-b932-9916c9377e96&thumb
태안 신두리 해안사구,충남 태안군,041-670-5937,"['가족과함께', '가족여행', '걷기길', '관광지', '바다', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aefe2f52-e8bd-41da-872a-1ddf073a5bdc&thumb
남당항,충남 홍성군,041-630-1224,"['관광지', '남당항', '미식여행', '바다풍경', '자연', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c9cd3b87-746f-4673-9a27-e9e39ca48ce5&thumb
칠갑산도립공원,충남 청양군,041-635-7690,"['가족여행', '관광지', '나들이', '데이트코스', '등산', '등산로', '아이와함께', '언택트관광지_100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=12b69ed5-fbc0-4ce9-9138-f463a6049379&thumb
