name,region,tel,keyword,photo
강릉 중앙시장,강원 강릉시,033-648-2285,"['강릉중앙시장', '강원권', '먹거리', '쇼핑', '전통시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d5f1863e-4b55-4cc9-8f68-59e8e8fe85b4&thumb
속초관광수산시장 (구: 중앙시장),강원 속초시,033-635-8433,"['가족여행', '강원권', '사계절', '속초관광수산시장', '속초중앙시장', '쇼핑', '시장맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c58a355b-45a5-4e43-b6e9-fb79102f7ce4&thumb
"정선 아리랑시장 (2, 7일)",강원 정선군,1544-9053,"['2012', '가족여행', '강원권', '사계절', '쇼핑', '쇼핑 부문', '수상내역', '시장맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f7c756d2-5abf-49fc-8786-b9021905be14&thumb
강릉 주문진수산시장,강원 강릉시,033-661-7302,"['가족여행', '강릉주문진수산시장', '강원권', '기차여행', '나들이', '나홀로여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=efd94183-c404-46f5-bf00-362a4fcb54eb&thumb
"봉평5일장 / 봉평시장 (2, 7 일)",강원 평창군,033-330-2771,"['가족여행', '강원권', '기차여행', '나들이', '나홀로여행', '먹거리', '봉평시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2427674f-c7d5-4a91-a5e0-420f063b7aa3&thumb
원주 중앙시장,강원 원주시,033-743-2570,"['가족여행', '강원권', '기차여행', '나들이', '나홀로여행', '먹거리', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1658dcb9-c52f-4398-a881-3ab896af3c10&thumb
춘천 낭만시장 (구. 중앙시장),강원 춘천시,033-254-2558,"['가족여행', '강원권', '기차여행', '나들이', '나홀로여행', '먹거리', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1196f3c2-5844-45c0-a274-a20929c6051e&thumb
강릉 주문진종합시장,강원 강릉시,033-662-2180,"['가족여행', '강릉주문진종합시장', '강원권', '기차여행', '나들이', '나홀로여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ebd5ad19-2067-48e9-b060-52e56c399455&thumb
"양양전통시장 (4, 9일)",강원 양양군,033-671-2878,"['가족여행', '강원권', '사계절', '쇼핑', '시장맛집', '아이와함께', '양양전통시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d871e9a4-671d-4476-986d-4661cf1d2228&thumb
"평창올림픽시장(구,평창전통시장)",강원 평창군,033-332-8804,"['가족여행', '강원권', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=da88b4c3-f6e6-4790-ba64-10af2819671a&thumb
고성 DMZ박물관 뮤지엄샵,강원 고성군,033-681-0625,"['DMZ여행', '가족여행', '강원권', '고성DMZ박물관뮤지엄샵', '기념품판매', '기차여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3d1fa2e1-7915-4b4a-9028-22bc708d6eba&thumb
"홍천 중앙시장 (1,6일)",강원 홍천군,033-434-2955,"['가족여행', '강원권', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b9f22349-389a-498a-8678-36e535b711b3&thumb
"횡성장 / 횡성시장 (1, 6일)",강원 횡성군,033-342-2389,"['가족여행', '강원권', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e0f824d6-73a9-4c4e-a833-b693bebb0f75&thumb
"임계사통팔달시장 / 임계장 (5, 10일)",강원 정선군,033-562-2930,"['가족여행', '강원권', '사계절', '쇼핑', '시장맛집', '아이와함께', '임계장', '재래시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=89b03a1a-042b-406a-b98a-e5530b4ce188&thumb
강릉 동부시장,강원 강릉시,033-648-5976,"['가족여행', '강릉동부시장', '강원권', '기차여행', '나들이', '나홀로여행', '먹거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ef94efe5-eeeb-4123-baf5-8bb02670b249&thumb
황지 자유시장,강원 태백시,033-552-2634,"['가족여행', '강원권', '기차여행', '나들이', '나홀로여행', '먹거리', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6c71e182-57ac-47f8-ace8-3d5226ef05ae&thumb
"원주5일장 / 원주민속풍물시장 (2, 7일)",강원 원주시,033-746-9114,"['가족여행', '강원권', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c7510b51-fce7-431b-9634-57019bb56edf&thumb
사직번개시장 (삼척 번개시장),강원 삼척시,033-570-3351,"['가족여행', '강원권', '기차여행', '나들이', '나홀로여행', '먹거리', '사직번개시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6c40565a-0941-4a08-8d5e-d3ceced2cc96&thumb
"통리장 (5, 15, 25일)",강원 태백시,033-550-2103,"['가족여행', '강원권', '기차여행', '나들이', '나홀로여행', '먹거리', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=84bc4bdb-b6e2-477c-a956-4ec8f7bd2e9a&thumb
"북평민속오일장 (3, 8일)",강원 동해시,033-521-3675,"['가족여행', '강원권', '기차여행', '나들이', '나홀로여행', '데이트코스', '마을축제']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e6eb67ab-210e-4a7d-aee2-00a3bb85e701&thumb
"화천장 (3, 8일)",강원 화천군,033-442-4013,"['가족여행', '강원권', '사계절', '쇼핑', '시장맛집', '아이와함께', '어르신추천코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6aedd757-650e-4b53-8c4f-f147bc499480&thumb
미로예술 원주중앙시장,강원 원주시,033-743-2570,"['가족과함께', '쇼핑', '연인과함께', '원주1박2일코스', '원주가볼만한곳', '원주당일코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e917c375-d276-4c1c-857f-fda874078341&thumb
원주중원전통시장,강원 원주시,033-733-1330,"['가족여행', '강원권', '기차여행', '나들이', '나홀로여행', '데이트코스', '먹거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c5893126-bf91-4f85-8d50-a5c51edb5ca0&thumb
원주 중앙시민전통시장,강원 원주시,033-732-6501,"['가족여행', '강원권', '기차여행', '나들이', '나홀로여행', '먹거리', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=443c1e04-f97c-42e7-9261-01764ba4afaf&thumb
"삼척 중앙시장 (2, 7일)",강원 삼척시,033-572-0909,"['가족여행', '강원권', '기차여행', '나들이', '나홀로여행', '먹거리', '삼척중앙시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=044e0d5f-f96b-4679-b3a3-2be3bca27fdd&thumb
"고성 간성시장 (2, 7일)",강원 고성군,033-680-3377,"['가족여행', '간성전통시장', '강원권', '고성간성시장', '기차여행', '나들이', '나홀로여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9df73df1-04a3-4fe9-a40e-c2df6770b7cd&thumb
