name,region,tel,keyword,photo
스타필드 하남,경기 하남시,1833-9001 1330,"['나들이코스', '반려견동반여행정보', '쇼핑', '쇼핑테마파크']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7c47eee3-6b0d-4454-b64e-e127f071b19b&thumb
"양평장 / 양평시장 (3, 8일)",경기 양평군,031-771-2080,"['가족여행', '사계절', '쇼핑', '수도권', '시장맛집', '아이와함께', '양평시장', '양평장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9026f3a5-959d-4848-b108-12f22865a9e2&thumb
평택국제중앙시장,경기 평택시,031-666-4275,"['가족여행', '기차여행', '나들이', '나홀로여행', '데이트코스', '먹거리', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=55dc7816-04a4-47f0-a9a8-145cd766ee99&thumb
"용문천년시장 / 용문전통시장 (5, 10일)",경기 양평군,031-771-6172,"['가족여행', '사계절', '쇼핑', '수도권', '시장맛집', '아이와함께', '용문장', '용문전통시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0114c315-6b26-484d-ba59-05bbd67ec421&thumb
신세계사이먼 시흥 프리미엄 아울렛,경기 시흥시,1644-4001,"['가족과함께', '복합쇼핑리조트', '쇼핑', '이국적', '체험형']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=238081c5-d543-430a-b3c3-6f2287185333&thumb
"가평5일장 / 잣고을전통시장 (5, 10일)",경기 가평군,031-582-8181,"['가족여행', '가평5일장', '사계절', '쇼핑', '수도권', '시장맛집', '아이와함께', '재래시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5dd80ca5-3e38-4e61-aed6-7ae1ca99ca1a&thumb
광명전통시장,경기 광명시,02-2614-0006,"['가족여행', '광명전통시장', '나들이', '나홀로여행', '데이트코스', '먹거리', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ca22f82d-1a2e-4d4c-af3a-68d48a4671b0&thumb
"경기 안성장 (2, 7일)",경기 안성시,031-670-2065,"['가족여행', '경기안성장', '사계절', '쇼핑', '수도권', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c49eee05-7671-4cc0-b16c-f8343c54e39f&thumb
롯데프리미엄아울렛 이천점,경기 이천시,031-777-2500,"['롯데프리미엄아울렛', '반려견과함께', '반려견동반', '쇼핑', '아울렛', '이천']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=91b9e30b-7ddf-4a6e-9c54-c7105c116982&thumb
일산 가구거리,경기 고양시,031-913-0640,"['가구', '쇼핑', '유명가구납품업체', '혼수']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f9ea3cf3-433b-4bbb-85f3-6821df386dff&thumb
수원 프리미엄아울렛,경기 용인시,031-204-2006,"['명품아울렛', '쇼핑', '유럽풍', '유명브랜드', '패션']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=baba52a2-90d9-4857-81c3-8dbf3ff2a6b5&thumb
오산 중앙시장/오색시장,경기 오산시,031-376-4141,"['가족여행', '나들이', '나홀로여행', '데이트코스', '마을축제', '먹거리', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=269c651a-5ab8-4e31-8aeb-79f6e32d5b36&thumb
의정부 제일시장,경기 의정부시,031-846-2617,"['공연문화', '쇼핑', '의정부', '의정부가볼만한곳', '전통시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=caa9619e-dae4-46cb-b6f0-864f558fc5ba&thumb
"장호원재래시장(4, 9일)",경기 이천시,031-643-1330,"['가족여행', '사계절', '쇼핑', '수도권', '시장맛집', '아이와함께', '장호원재래시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b39f1279-6863-4ef0-a907-497e76802afb&thumb
"일산민속5일장 (3, 8일)",경기 고양시,031-975-3903,"['가족여행', '나들이', '나홀로여행', '먹거리', '서울근교여행', '쇼핑', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=460813f7-15e7-4ff5-a557-43de7aaaa676&thumb
안양 중앙시장,경기 안양시,031-449-6047,"['가족여행', '나들이', '나홀로여행', '먹거리', '쇼핑', '수도권', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=237aca27-30a3-463f-a5c9-b6efaa4c210a&thumb
현대프리미엄아울렛 김포점,경기 김포시,031-812-2233,"['김포', '김포쇼핑', '쇼핑', '아울렛', '프리미엄아울렛', '현대백화점', '현대프리미엄아울렛']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=daa2d9b1-ba7f-4c90-8606-41755642f068&thumb
수원 남문시장,경기 수원시,031-207-7913,"['명품시장', '쇼핑', '수원쇼핑', '수원시장', '전통시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=449b3fab-d22d-4f4c-8f96-35f65bf9bb57&thumb
"모란장 / 모란민속시장 (4, 9일)",경기 성남시,031-721-9905,"['가족여행', '나홀로여행', '먹거리', '모란민속시장', '모란장', '쇼핑', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=34d5271c-a202-4af9-9525-d418d2de15c0&thumb
신세계사이먼 여주 프리미엄 아울렛,경기 여주시,1644-4001,['쇼핑'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4c80dd2f-2cbb-44f6-bc87-9172ad08f9de&thumb
