name,region,tel,keyword,photo
1913송정역시장,광주 광산구,1913 062-942-1914 062-960-3717,"['1913송정역시장', '가족여행', '기차여행', '나들이', '나홀로여행', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=973b80fe-37f1-4ef5-90ea-db5159bfe3e8&thumb
광주 대인시장 (대인예술시장),광주 동구,062-233-1420,"['가족여행', '광주대인시장', '기차여행', '나들이', '나홀로여행', '대인예술시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c1e5d071-7e39-4eff-b0f3-de85cf988c5a&thumb
남광주시장(남광주밤기차야시장),광주 동구,062-226-1101,"['쇼핑', '야시장', '해산물', '횟집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e799500c-5873-4ddd-844e-388d008de5f6&thumb
광주 양동시장,광주 서구,062-714-3836,"['가족여행', '나들이', '나홀로여행', '데이트코스', '먹거리', '쇼핑', '시장맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bd0d7354-0905-4568-8cd8-df26f0c1cc0c&thumb
진다리붓판매전시장,광주 동구,062-225-1783,"['가족여행', '기념품판매', '기차여행', '나들이', '나홀로여행', '쇼핑', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=36e5468f-0fa6-4077-aad1-7e76a3f2c428&thumb
"말바우장 / 말바우시장 (2, 4, 7, 9일)",광주 북구,062-262-4082,"['가족여행', '기차여행', '나들이', '나홀로여행', '말바우시장', '말바우장', '먹거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cbd68b95-23bb-45c8-af96-c385f06dd4fc&thumb
롯데아울렛 광주월드컵점,광주 서구,062-606-2500,['쇼핑'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4b500fee-9a0f-47eb-8f36-c52e369281b4&thumb
예술개미장터,광주 동구,062-229-0223,"['가족여행', '개미장터', '기차여행', '나들이', '나홀로여행', '데이트코스', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a40efe51-aa42-44d1-b5e1-0683d16e2e76&thumb
금남지하도상가,광주 동구,062-224-0591,"['광주지하상가', '쇼핑', '의류', '지하상가']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ea7de6ea-385d-4286-b43f-a9a72653fecc&thumb
인당국악사,광주 동구,062-227-6367,"['가야금', '거문고', '광주쇼핑', '쇼핑', '악기장인', '악기제작']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=517c89db-e116-4c16-b0ba-b4ac7fb196b0&thumb
광주문화관광상품전시장 광주아트샵,광주 동구,062-225-5533,"['도자기류', '문화관광상품', '쇼핑', '진다리붓']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1b502605-8b22-41df-84b1-2c3cde2975e5&thumb
서방시장,광주 북구,062-410-6545,"['가족여행', '기차여행', '나들이', '나홀로여행', '데이트코스', '먹거리', '서방시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2f6bfb02-da5f-4384-ac80-c6543b75fe2e&thumb
무안요(광주),광주 동구,062-222-7487 062-234-7487,"['도자기공예', '무형문화재', '분청사기', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9e207b27-b081-4b1d-8904-5a13b09f368d&thumb
