name,region,tel,keyword,photo
대전 중앙시장,대전 동구,042-226-0319,"['가족여행', '기차여행', '나들이', '나홀로여행', '대전중앙시장', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c86c12ec-f874-43eb-9dce-7bd79f44aa58&thumb
대전 태평시장,대전 중구,042-536-8260,"['가족여행', '대전태평시장', '사계절', '쇼핑', '시장맛집', '아이와함께', '재래시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2fa25113-71e1-47ce-96da-688e15d2afb1&thumb
패션월드,대전 서구,042-485-4184,['쇼핑'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0a95e1e0-ff7c-407f-ae61-178547d3862b&thumb
은행동 으능정이 문화의거리,대전 중구,042-226-9100,"['가족여행', '쇼핑', '연중무휴', '은행동으능정이문화의거리', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=030a6d7f-7280-4593-8a4b-041dab2a33d7&thumb
"유성장 (4, 9일)",대전 유성구,042-822-2472,"['가족여행', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ff10a882-c4a2-46d9-83f5-6cf0f1d105c9&thumb
둔산전자타운,대전 서구,042-534-4225,"['쇼핑', '전자타운', '주방용품세트', '통신기기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b4e868c5-b62b-402a-b80e-11254ed1add5&thumb
"신탄진장 (3, 8일)",대전 대덕구,042-931-0310,"['가족여행', '사계절', '쇼핑', '신탄진장', '아이와함께', '이색체험', '전통시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a5193433-c2e1-4ca7-89af-0792d361177e&thumb
대전 중리전통시장,대전 대덕구,042-623-1040,"['가족여행', '대전중리전통시장', '사계절', '쇼핑', '아이와함께', '이색체험', '전통시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3d4c0076-b3af-4347-beb0-fe16e8379129&thumb
갤러리아 백화점 (타임월드점),대전 서구,042-480-5000,['쇼핑'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=244e4707-5aaf-47a8-8e10-4c84e9bb1241&thumb
역전시장,대전 동구,042-273-9275,"['가족여행', '기차여행', '나들이', '나홀로여행', '데이트코스', '먹거리', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f4336ce0-2134-4f7b-8d4e-c8c5fad80b07&thumb
