name,region,tel,keyword,photo
부산 자갈치시장,부산 중구,051-245-2594,"['19_20한국관광100선', '가족여행', '경상권', '나들이', '나홀로여행', '먹거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=936f2e57-f75c-41c8-acc0-d29dd494e73d&thumb
부평시장(깡통시장),부산 중구,051-243-1128,"['가족여행', '경상권', '기차여행', '깡통시장', '나들이', '나홀로여행', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=56c73bb4-439a-48d1-ae5f-6ca1045b1c05&thumb
국제시장,부산 중구,051-245-7389,"['가족여행', '경상권', '국제시장', '나들이', '나홀로여행', '데이트코스', '먹거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fd57883e-65d1-4411-b10a-e5e65689e620&thumb
자갈치시장 활어부,부산 중구,051-245-2594,"['가족여행', '경상권', '먹거리', '바다풍경', '사계절', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=872fe087-8241-417c-9547-519530035cce&thumb
롯데프리미엄아울렛 동부산점,부산 기장군,051-901-2500,['쇼핑'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5a477196-bea3-4ed0-9752-ba64699ba941&thumb
부산 기장시장,부산 기장군,051-721-3963,"['가족여행', '경상권', '부선기장시장', '사계절', '쇼핑', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4c01ac8c-ea7d-4753-bb84-40a35215dcef&thumb
부산 해운대시장,부산 해운대구,051-746-3001,"['가족여행', '나들이', '데이트코스', '먹거리', '바다풍경', '부산해운대전통시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9c07c0e0-368d-4eec-852d-bf4c2742c9f6&thumb
미술의거리,부산 중구,051-244-7691,"['부산문화예술', '부산중구', '쇼핑', '전시회']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=814656fa-c930-410d-9853-fe6b413c1c2d&thumb
남항시장,부산 영도구,051-414-9500,"['가족여행', '경상권', '기차여행', '나들이', '나홀로여행', '남항시장', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3d0c16f5-b782-4bc1-86ce-f8333975173e&thumb
환공어묵 부산역점,부산 동구,02-2232-5765,"['가족여행', '경상권', '기념품판매', '기차여행', '나들이', '나홀로여행', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9bf367c3-1098-404c-ab84-28d8c9bda5c3&thumb
신세계사이먼 부산 프리미엄 아울렛,부산 기장군,1644-4001,"['경상권', '쇼핑', '신세계사이먼부산프리미엄아울렛', '연인과함께', '친구와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=86a5163c-e304-4062-9d88-24b193727eb9&thumb
부산 중앙시장,부산 부산진구,051-631-8490,"['경상권', '부산중앙시장', '쇼핑', '재래시장', '전통시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ef31f455-fc79-43b1-a7fe-6af87c39fe6f&thumb
용두산공원 부산타워 세양,부산 중구,051-257-9393,"['가족과함께', '경상권', '기념품판매', '데이트코스', '사계절', '쇼핑', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b3d5690b-a582-4cc3-a969-5927e0aeb3c4&thumb
"송정시장 (5, 10일)",부산 기장군,051-508-5072,"['가족여행', '경상권', '사계절', '송정시장', '쇼핑', '아이와함께', '이색체험', '전통시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=58159163-86e6-4fd2-9a2a-39cfdaca9d77&thumb
구포 축산물도매시장,부산 북구,051-301-3517,"['경상권', '구포축산물도매시장', '도매시장', '쇼핑', '특산물']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7cf44150-4d89-481f-8c38-22e15342cec2&thumb
부산 진시장,부산 동구,051-646-7041,"['가족여행', '경상권', '나들이', '나홀로여행', '먹거리', '부산진시장', '쇼핑', '시장맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1ee0626e-736c-48c3-8258-bdf3c73e5346&thumb
