name,region,tel,keyword,photo
스타필드 코엑스몰,서울 강남구,02-6002-5300,"['19_20한국관광100선', '강남', '서울', '쇼핑', '수도권', '수도권', '스타필드코엑스몰']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=58e64298-dced-4a8c-8b36-03d8a212f972&thumb
대림중앙시장,서울 영등포구,02-833-8113,"['가족여행', '나들이', '나홀로여행', '대림중앙시장', '데이트코스', '먹거리', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dbd056b8-c526-46c3-9d28-ed6826461ac4&thumb
동대문 종합시장·동대문 쇼핑타운,서울 종로구,02-2262-0114,"['동대문', '동대문쇼핑타운', '동대문종합시장', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=eefb87e6-ae4b-4ec5-8cec-5db810db7f46&thumb
남대문시장,서울 중구,1330,"['가족여행', '나들이', '나홀로여행', '남대문시장', '데이트코스', '도심여행', '먹거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=37a0def9-8dc8-4595-b68d-20458d902dcc&thumb
광장시장,서울 종로구,02-2267-0291 02-2272-0967,"['가족여행', '광장시장', '나들이', '나홀로여행', '데이트코스', '도심여행', '먹거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f577a5c8-9351-46b2-b109-c26dbe54a551&thumb
서울풍물시장,서울 동대문구,02-2232-3367,"['가족여행', '나들이', '나홀로여행', '데이트코스', '서울풍물시장', '쇼핑', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9c455fd8-352d-4b99-8ab3-33e4045a870c&thumb
서울책보고,서울 송파구,02-6951-4979,"['송파쇼핑', '쇼핑', '헌책', '헌책방']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8b7204b2-946b-4c73-969d-9e07da2ab173&thumb
동진시장,서울 마포구,02-325-9559,"['가족여행', '나들이', '나홀로여행', '데이트코스', '동진시장', '먹거리', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9823d9cb-0cae-4f24-beb8-acf1297adc51&thumb
경동시장,서울 동대문구,02-967-8721,"['가족여행', '나들이', '나홀로여행', '데이트코스', '먹거리', '서울경동시장', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=78f85e3c-949d-438f-be84-070ab7c13365&thumb
동대문종합시장 악세사리상가,서울 종로구,02-2262-0114,"['동대문종합시장', '동대문종합시장악세사리상가', '쇼핑', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=37ab6689-02ad-4803-8cfd-e795c003e53f&thumb
서울 평화시장,서울 중구,02-2265-3531,"['가족여행', '나들이', '나홀로여행', '데이트코스', '도심여행', '먹거리', '서울평화시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=992bad93-c18f-4284-87cf-ff49a847c629&thumb
동대문종합시장 한복상가,서울 종로구,02-2262-0114,['쇼핑'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e23e80bf-6e9a-4abf-88c5-cac4ef121ac8&thumb
통인시장,서울 종로구,02-722-0911,"['가족여행', '나들이', '나홀로여행', '데이트코스', '도시락카페', '먹거리', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c1b3e320-0a2f-464f-b3fb-c37887872461&thumb
IFC몰,서울 영등포구,02-6137-5000,"['IFC몰', '복합쇼핑몰', '쇼핑', '수도권', '연중무휴', '영등포']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f90be4f3-47cb-4b33-b8b5-18c935e80831&thumb
숭례문(남대문) 수입상가,서울 중구,02-753-2805,"['남대문', '쇼핑', '수입잡화', '음향기기', '카메라']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5a16102d-1ff8-493f-95f1-61c188af0ef2&thumb
한국다원호간보 [한국관광 품질인증/Korea Quality],서울 마포구,02-325-3893,"['서울추천쇼핑', '쇼핑', '수도권', '연중무휴', '한국관광품질인증', '한국관광품질인증업소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=61e90f7f-ae10-440e-8223-8d873898562c&thumb
서울 약령시장,서울 동대문구,02-969-4793,"['가족여행', '나들이', '나홀로여행', '데이트코스', '도심여행', '먹거리', '서울약령시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3dd617ce-d1ac-460d-ae0b-1c6eaf504822&thumb
망원시장,서울 마포구,02-335-3591,"['가족여행', '나들이', '나홀로여행', '데이트코스', '망원시장', '먹거리', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=51c060b1-4c51-4c11-a46b-a02569359828&thumb
가든파이브 (Garden5),서울 송파구,02-2157-0100,"['문화복합단지', '문화쇼핑', '문화특구', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=87e9fc3b-af6c-458c-a75d-a4dc113175e5&thumb
아크앤북 (ARC N BOOK),서울 중구,070-8822-4728,"['라이프스타일샵', '서점', '쇼핑', '중구쇼핑', '책']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b7168cdd-cc53-49be-b92f-7db23d896580&thumb
가락시장(가락농수산물 도매시장),서울 송파구,02-3435-1000,"['가락농수산물도매시장', '가락시장', '가족여행', '나들이', '나홀로여행', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f0bf3247-0a19-4119-9aae-0e1b2ed91eb9&thumb
화창토산주식회사(한국고려인삼) [한국관광 품질인증/Korea Quality],서울 서대문구,02-337-3981,"['서울추천쇼핑', '쇼핑', '한국고려인삼', '한국관광품질인증', '한국관광품질인증업소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=06080f94-ac47-4219-b387-1363ea437dc3&thumb
종로3가 귀금속 전문상가,서울 종로구,,"['귀금속', '귀금속전문상가', '세공업소', '쇼핑', '주얼리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6bf9f342-1685-42a6-bd87-4f0decd9b70d&thumb
구로 중앙유통단지,서울 구로구,02-2625-2631,"['도소매', '산업용품', '쇼핑', '저렴한가격']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a680c95d-9aef-4a84-b631-2f46f684c525&thumb
고투몰(강남터미널 지하도상가),서울 서초구,02-535-8182,"['고속버스터미널', '서울', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a370e18e-bcf4-45ae-8304-a9b766bd83c9&thumb
노량진수산물도매시장,서울 동작구,02-2254-8000,"['가족여행', '나들이', '나홀로여행', '노량진수산물도매시장', '도심여행', '먹거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=59909ecf-ff66-46cb-a253-aa0213ed3fcd&thumb
롯데쇼핑 롯데아울렛 서울역점[한국관광 품질인증/Korea Quality],서울 용산구,02-6965-2500,"['롯데아울렛서울역점', '서울추천쇼핑', '쇼핑', '우수쇼핑', '한국관광품질인증']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a062a58b-da56-4dd1-b102-4e0636c3a84d&thumb
이태원시장,서울 용산구,02-794-5682,"['가족여행', '사계절', '쇼핑', '수도권', '시장맛집', '아이와함께', '이태원시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d3eee490-9623-416c-96af-f72f3a3d2195&thumb
고양이책방 슈뢰딩거,서울 종로구,070-5123-2801,"['마로니에공원', '문구', '쇼핑', '책방']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4f8925ac-656b-48dc-8102-b3614034093f&thumb
커먼그라운드,서울 광진구,02-467-2747,"['디자이너샵', '쇼핑', '주말마켓', '컨데이너쇼핑몰', '편집샵', '푸드트럭']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ffc25e6e-a06c-493c-84f9-5c7089e701a2&thumb
스토리지북앤필름,서울 용산구,070-5103-9975,"['남녀노소', '독립출판물전문서점', '독서여행', '동네책방', '소설책', '쇼핑', '스토리지북앤필름']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=38fc8ba0-b4da-4f53-bc67-8de9a40b6ada&thumb
롯데마트 (서울양평점),서울 영등포구,02-450-2500,"['롯데마트', '쇼핑', '어반포레스트', '영등포구', '하이마트']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=01c08205-167b-4273-b47b-955110c25b05&thumb
광장시장 한복매장,서울 종로구,02-2267-0291,"['광장시장', '광장시장한복매장', '쇼핑', '수도권', '연중무휴', '한복매장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=051e0e70-d6fc-4c50-8251-8ab224446eda&thumb
서울 중부시장,서울 중구,02-2267-5617,"['가족여행', '나들이', '나홀로여행', '데이트코스', '도심여행', '먹거리', '서울중부시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9a2f2ab6-534e-4026-8e9c-be56734c666b&thumb
퇴계로 오토바이상가,서울 중구,,"['도매상가', '쇼핑', '액세서리', '오토바이']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=41d76e0d-d3fb-4943-9d2c-e2f41342a7ad&thumb
남대문 안경상가,서울 중구,02-753-2805,"['남대문시장', '쇼핑', '안경', '안경도소매점']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8d6f79c4-0011-459d-bb7e-be0b7f0e688f&thumb
언더스탠드에비뉴,서울 성동구,02-725-5526,"['복합문화공간', '쇼핑', '일자리창출플랫폼', '창업플랫폼', '편집숍', '프리마켓']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=77da1325-8d76-45d5-a9f8-c426a165fca6&thumb
방산 종합시장,서울 중구,02-2268-6691,"['가족여행', '나홀로여행', '데이트코스', '먹거리', '방산종합시장', '쇼핑', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9bb17f5a-b436-4e2c-bd6a-b21c3b34da26&thumb
인사동 고미술거리,서울 종로구,02-732-2235,"['서울여행', '쇼핑', '수도권', '인사동고미술거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=72cf4dee-3338-4674-92cf-4e72d912a95e&thumb
홍대앞 희망시장,서울 마포구,070-4411-4865,"['문화예술', '쇼핑', '수공예', '수도권', '홍대앞희망시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=53d73c6f-7c1b-4f3e-9615-401647d8d85f&thumb
롯데백화점(본점),서울 중구,02-772-3007,"['롯데백화점', '롯데백화점본점', '복합쇼핑몰', '서울추천쇼핑', '쇼핑', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=363ee957-98d1-4c57-b75b-33c4b43fe233&thumb
더 비 (The B),서울 강남구,02-542-5934,"['독특한디자인', '쇼핑', '인사동', '한옥인테리어']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c6631649-7f72-4c3e-8c1c-17574c4e69cd&thumb
청하고려인삼 [한국관광 품질인증/Korea Quality],서울 종로구,02-395-1688,"['서울추천쇼핑', '쇼핑', '청하고려인삼', '한국관광품질인증', '한국관광품질인증업소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4ba4e89a-5a2e-45e7-b9e6-63175fb3b38b&thumb
홍대 프리마켓,서울 마포구,02-325-8553,"['가족여행', '나들이', '나홀로여행', '데이트코스', '먹거리', '쇼핑', '수도권', '시장맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ae426296-9356-4275-96b0-e046cdc322eb&thumb
세운전자상가(세운전자플라자),서울 종로구,02-2271-2344,"['가전제품', '쇼핑', '전자부품', '컴퓨터']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=32f61e53-96c2-48b1-9977-b7d473b5e45c&thumb
황학동 벼룩시장 (도깨비시장 / 만물시장),서울 중구,,"['나들이', '나홀로여행', '데이트코스', '도깨비시장', '만물시장', '벼룩시장', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=79c7dfb4-0d89-4deb-8d42-378bd78b1bbc&thumb
카포 풋볼 스토어 [한국관광 품질인증/Korea Quality],서울 중구,02-2237-8777,"['서울추천쇼핑', '쇼핑', '카포상사', '한국관광품질인증', '한국관광품질인증업소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4031ef5d-2708-4e78-b117-ec99aaa5e41c&thumb
국제자수원 3호점,서울 종로구,02-723-0830,"['가족여행', '국제자수원', '기념품판매', '나들이', '나홀로여행', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d5463da8-9f6a-4768-bd5d-793b7466c05c&thumb
서울 광희시장,서울 중구,02-2232-2882,"['가족여행', '나들이', '나홀로여행', '데이트코스', '도심여행', '먹거리', '서울광희시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9d355fec-3c2e-437f-b323-1ba8a71d1a15&thumb
