No,name,region,address,경도,위도,상태
1,이사부길(새천년해안도로),강원 삼척시,강원도 삼척시 새천년도로 61-18,129.1880110492,37.4392628748493,정좌표
2,홍천 은행나무숲,강원 홍천군,강원도 홍천군 내면 광원리 686-4,128.470617513153,37.8321745094165,정좌표
3,원대리 자작나무 숲 (속삭이는 자작나무 숲),강원 인제군,강원도 인제군 인제읍 자작나무숲길 760,128.194290810109,38.0092075119377,정좌표
4,해피초원목장,강원 춘천시,강원도 춘천시 사북면 춘화로 330-48,127.695808450353,37.979249271456,정좌표
5,남이섬,강원 춘천시,강원도 춘천시 남산면 남이섬길 1,127.526454928082,37.7890362165127,정좌표
6,원주 소금산 출렁다리,강원 원주시,강원도 원주시 지정면 소금산길 12,127.834034497179,37.3645712675232,정좌표
7,병방치 스카이워크,강원 정선군,강원도 정선군 정선읍 병방치길 225,128.635426631696,37.3623601538986,정좌표
8,강릉 경포해수욕장,강원 강릉시,강원도 강릉시 창해로 514,128.907431431626,37.8057967079412,정좌표
9,설악산국립공원,강원 속초시,강원도 속초시 설악산로 833,128.517258383806,38.1671227543991,정좌표
10,하늬라벤더팜,강원 고성군,강원도 고성군 간성읍 꽃대마을길 175,128.415350067654,38.3485236577805,정좌표
11,대관령 양떼목장,강원 평창군,강원도 평창군 대관령면 대관령마루길 483-32,128.753122484665,37.6877702522454,정좌표
12,강릉 경포대,강원 강릉시,강원도 강릉시 경포로 365,128.896633273333,37.7951001095246,정좌표
13,점봉산 곰배령,강원 인제군,강원도 인제군 기린면 곰배령길 12,128.471865665664,38.0364090525963,정좌표
14,추암 출렁다리,강원 동해시,강원도 동해시 촛대바위길 28,129.159184546354,37.4770875297323,정좌표
15,소양강 스카이워크,강원 춘천시,강원도 춘천시 영서로 2675,127.724322297866,37.8934218105607,정좌표
16,외옹치해변,강원 속초시,강원도 속초시 해오름로 83,128.607653154881,38.1821607334639,정좌표
17,낙산사,강원 양양군,강원도 양양군 강현면 낙산사로 100,128.627285013659,38.1248452523087,정좌표
