No,name,region,address,경도,위도,상태
37,대관령 관광특구,강원 평창군,강원도 평창군,?,?,실패
43,송지호 해안 서낭바위 (강원평화지역 국가지질공원),강원 고성군,강원도 고성군 죽왕면,?,?,실패
44,영진해변,강원 강릉시,강원도 강릉시 연곡면,?,?,실패
47,소돌아들바위공원,강원 강릉시,강원도 강릉시 주문진읍 주문리,?,?,실패
56,오대산 소금강계곡,강원 강릉시,강원도 강릉시 연곡면,?,?,실패
59,설악산국립공원(남설악),강원 양양군,강원도 양양군 서면 약수길,?,?,실패
62,강릉 명주동 거리,강원 강릉시,강원도 강릉시 명주동,?,?,실패
72,아야진해변,강원 고성군,강원도 고성군 토성면,?,?,실패
76,수타사 농촌테마파크,강원 홍천군,강원도 홍천군 동면 덕치리,?,?,실패
85,흥정계곡,강원 평창군,강원도 평창군 봉평면,?,?,실패
92,대관령 황태덕장마을,강원 평창군,강원도 평창군 대관령면 횡계리,?,?,실패
103,화진포 (강원평화지역 국가지질공원),강원 고성군,강원도 고성군 거진읍 현내면,?,?,실패
106,청초호,강원 속초시,강원도 속초시 청초호반로,?,?,실패
108,죽도해변(양양),강원 양양군,강원도 양양군 현남면 인구중앙길,?,?,실패
109,김삿갓계곡,강원 영월군,강원도 영월군 김삿갓면,?,?,실패
117,두타연 (강원평화지역 국가지질공원),강원 양구군,강원도 양구군 방산면 고방산리,?,?,실패
118,춘천호,강원 춘천시,강원도 춘천시 서면 오월리,?,?,실패
125,춘천 명동 닭갈비 골목,강원 춘천시,강원 춘천시 조양동,?,?,실패
128,설악산국립공원(외설악),강원 속초시,강원도 속초시 설악동,?,?,실패
130,진동계곡,강원 인제군,강원도 인제군 기린면 진동리,?,?,실패
142,검룡소 (강원고생대 국가지질공원),강원 태백시,강원도 태백시 창죽동,?,?,실패
143,등명해변(등명해수욕장),강원 강릉시,강원도 강릉시 강동면 정동진리,?,?,실패
144,비수구미계곡,강원 화천군,강원도 화천군 간동면 비수구미길,?,?,실패
145,망상해변,강원 동해시,강원도 동해시 동해대로,?,?,실패
147,모곡밤벌유원지,강원 홍천군,강원도 홍천군 서면 모곡리,?,?,실패
154,철원 평화전망대,강원 철원군,강원도 철원군 동송읍 중강리,?,?,실패
155,능파대 (강원평화지역 국가지질공원),강원 고성군,강원도 고성군 죽왕면 문암진리,?,?,실패
158,강릉 대기리마을,강원 강릉시,강원도 강릉시 왕산면 용수길,?,?,실패
159,구곡폭포,강원 춘천시,	강원도 춘천시 남산면,?,?,실패
169,남애항,강원 양양군,강원도 양양군 현남면 매바위길,?,?,실패
172,치악산국립공원,강원 원주시,강원 원주시 소초면,?,?,실패
174,외옹치항,강원 속초시,강원도 속초시 대포동,?,?,실패
183,오대산국립공원,강원 평창군,강원도 평창군 진부면 오대산로,?,?,실패
186,용소폭포(연하계곡),강원 영월군,강원도 영월군 영월읍,?,?,실패
189,남대천,강원 양양군,강원도 양양군 양양읍,?,?,실패
197,마곡유원지,강원 홍천군,강원도 홍천군 서면 마곡리,?,?,실패
201,설악산국립공원(내설악),강원 인제군,강원도 인제군 북면,?,?,실패
202,주문진항,강원 강릉시,강원도 강릉시 주문진읍 해안로,?,?,실패
217,속초항,강원 속초시,강원도 속초시 동명동,?,?,실패
221,파로호(양구),강원 양구군,강원 양구군 양구읍 서천 하류,?,?,실패
224,가진항,강원 고성군,강원도 고성군 죽왕면,?,?,실패
230,대진 등대,강원 고성군,강원도 고성군 현내면,?,?,실패
234,설악산 마등령,강원 속초시,강원도 속초시 설악산로,?,?,실패
238,오색주전골,강원 양양군,강원도 양양군 서면 약수길,?,?,실패
239,사근진해변(사근진해수욕장),강원 강릉시,강원도 강릉시 안형동,?,?,실패
246,맹방 벚꽃길,강원 삼척시,강원도 삼척시 근덕면 삼척로,?,?,실패
248,요선정·요선암,강원 영월군,강원도 영월군 수주면 도원운학로 13-39,?,?,실패
249,을지전망대,강원 양구군,강원도 양구군 해안면,?,?,실패
252,삼포해변,강원 고성군,강원도 고성군 죽왕면 삼포해변길,?,?,실패
257,봉포해변,강원 고성군,강원도 고성군 토성면,?,?,실패
261,화악산,강원 화천군,강원도 화천군 사내면 화악산로,?,?,실패
266,대암산 용늪 (강원평화지역 국가지질공원),강원 인제군,강원도 인제군 북면 월학리,?,?,실패
272,화진포(화진포호),강원 고성군,강원도 고성군 거진읍 화포리,?,?,실패
277,용화해변,강원 삼척시,강원도 삼척시 근덕면 용화리,?,?,실패
279,설악 대청봉,강원 속초시,강원도 속초시 설악산로,?,?,실패
281,고성 문암리 유적,강원 고성군,강원도 고성군 죽왕면 문암진리,?,?,실패
287,법흥사(영월),강원 영월군,강원도 영월군 수주면 무릉법흥로 1352,?,?,실패
291,대진항,강원 고성군,강원도 고성군 현내면,?,?,실패
298,"장호해수욕장(장호항, 장호해변)",강원 삼척시,강원도 삼척시 근덕면 장호리,?,?,실패
302,어달해변,강원 동해시,강원도 동해시 일출로,?,?,실패
303,광덕산(화천),강원 화천군,강원도 화천군 사내면,?,?,실패
313,덕산기 계곡,강원 정선군,강원도 정선군 정선읍 덕산기길,?,?,실패
315,선돌 (강원고생대 국가지질공원),강원 영월군,강원도 영월군 영월읍 방절리,?,?,실패
323,강릉 굴산사지,강원 강릉시,강원도 강릉시 구정면 학산리,?,?,실패
324,냉천공원,강원 동해시,강원도 강릉시 구정면 학산리,?,?,실패
326,응봉산(강원),강원 삼척시,강원 삼척시 가곡면 풍곡리,?,?,실패
327,용담계곡,강원 화천군,강원도 화천군 사내면 물안골길,?,?,실패
329,오산해수욕장,강원 양양군,강원도 양양군 손양면,?,?,실패
333,삼부연폭포 (한탄강 국가지질공원),강원 철원군,강원도 철원군 갈말읍,?,?,실패
336,동명항,강원 속초시,강원도 속초시 동명동,?,?,실패
338,소양호(춘천),강원 춘천시,강원 춘천시 북산면,?,?,실패
344,설악산 흘림골,강원 양양군,강원도 양양군 서면 약수길,?,?,실패
345,증산해변(증산 해수욕장),강원 삼척시,강원도 삼척시 증산동,?,?,실패
347,이효석문화마을,강원 평창군,강원도 평창군 봉평면 원길리,?,?,실패
348,소금강 (강원고생대 국가지질공원),강원 정선군,강원도 정선군 화암면 몰운리,?,?,실패
355,제4땅굴,강원 양구군,강원도 양구군 해안면 이현리,?,?,실패
357,솔바람다리,강원 강릉시,강원 강릉시 병산동,?,?,실패
358,낭천산림욕장,강원 화천군,강원도 화천군 화천읍,?,?,실패
361,명파해변,강원 고성군,강원도 고성군 현내면,?,?,실패
363,십이선녀탕(탕수동계곡),강원 인제군,강원도 인제군 북면 십이선녀탕길,?,?,실패
367,법수치계곡,강원 양양군,강원도 양양군 현북면 법수치리,?,?,실패
370,난고 김삿갓 유적지,강원 영월군,강원도 영월군 김삿갓면 와석리,?,?,실패
374,용대 매바위 인공폭포,강원 인제군,강원 인제군 북면 용대리,?,?,실패
377,한계령,강원 양양군,강원도 양양군 서면,?,?,실패
379,구미정,강원 정선군,강원도 정선군 임계면 봉산리,?,?,실패
380,관음사/국형사계곡,강원 원주시,강원 원주시 행구동,?,?,실패
384,용소계곡,강원 홍천군,강원 홍천군 내촌면 광암리,?,?,실패
385,삼척초당굴,강원 삼척시,강원도 삼척시 근덕면 금계리,?,?,실패
388,내심적계곡,강원 인제군,강원도 인제군 서화면 심적리,?,?,실패
390,죽도정,강원 양양군,강원도 양양군 현남면 인구항길,?,?,실패
392,원주 영원산성,강원 원주시,강원도 원주시 판부면 금대리,?,?,실패
394,고로쇠마을,강원 인제군,강원도 인제군 상남면 미산리,?,?,실패
395,춘천댐,강원 춘천시,강원 춘천시 서면 오월리,?,?,실패
398,담터계곡,강원 철원군,강원도 철원군 동송읍,?,?,실패
403,양양동해신묘지,강원 양양군,강원도 양양군 양양읍,?,?,실패
408,영월 정양산성(왕검성),강원 영월군,강원도 영월군 영월읍 정양리,?,?,실패
411,법흥계곡,강원 영월군,강원도 영월군 수주면 무릉법흥로,?,?,실패
413,파서탕,강원 양구군,강원도 양구군 방산면 오미리,?,?,실패
417,기미만세공원,강원 홍천군,강원도 홍천군 내촌면 물걸리,?,?,실패
418,설악 관광특구,강원 속초시,강원도 속초시,?,?,실패
419,두타산성,강원 동해시,강원도 동해시 삼화로,?,?,실패
420,동호해변(양양),강원 양양군,강원도 양양군 손양면,?,?,실패
424,금대계곡,강원 원주시,강원 원주시 판부면 금대리,?,?,실패
432,헌화로,강원 강릉시,강원도 강릉시 강동면 심곡리,?,?,실패
440,삼척 맹방 유채밭,강원 삼척시,강원 삼척시 근덕면 상맹방리,?,?,실패
446,가진해변,강원 고성군,강원도 고성군 죽왕면 가진해변길,?,?,실패
447,김화군민 망향탑,강원 철원군,강원도 고성군 죽왕면 가진해변길,?,?,실패
452,숙암계곡,강원 정선군,강원도 정선군 북평면 단임길,?,?,실패
453,감악산(원주),강원 원주시,강원도 원주시 신림면 황둔리,?,?,실패
464,태기산,강원 횡성군,강원도 횡성군 둔내면 경강로,?,?,실패
466,원주 운곡원천석묘역,강원 원주시,강원도 원주시 행구동,?,?,실패
469,쇠둘레평화누리길,강원 철원군,강원도 철원군 동송읍 장흥리,?,?,실패
476,덕항산,강원 삼척시,강원도 삼척시 신기면 대기리,?,?,실패
479,원주 거돈사지,강원 원주시,강원도 원주시 부론면 정산리,?,?,실패
486,국립 용대자연휴양림,강원 인제군,강원도 인제군 북면 용대리 연화동길,?,?,실패
491,원성 성남리 성황림,강원 원주시,강원도 원주시 신림면 성남리,?,?,실패
492,용화산 (강원평화지역 국가지질공원),강원 화천군,강원도 화천군 하남면 삼화리,?,?,실패
498,담정관광농원,강원 강릉시,강원도 강릉시 강동면 단경로,?,?,실패
499,대승령과 대승폭포,강원 인제군,강원도 인제군 북면 설악로,?,?,실패
502,홍천강,강원 홍천군,강원도 홍천군 서면 팔봉강변길,?,?,실패
503,공현진1리해변,강원 고성군,강원도 고성군 죽왕면,?,?,실패
