No,name,region,address,경도,위도,상태
8,바람새마을 소풍정원,경기 평택시,경기도 평택시 고덕면 궁리,127.0283676,37.01944774,실패
12,양평 두물머리,경기 양평군,경기도 양평군 양서면 두물머리길,127.315863,37.53284,실패
29,명성산,경기 포천시,경기도 포천시 이동면 도평리,127.3919558,38.07546727,실패
45,판문점,경기 파주시,경기도 파주시 군내면,126.6791446,37.93922879,실패
51,별빛정원우주,경기 이천시,경기도 이천시 호법면 단천리,127.403942,37.22628805,실패
55,월화원,경기 수원시,경기도 수원시 팔달구 인계동,127.0361837,37.26220584,실패
56,백운계곡 (한탄강 국가지질공원),경기 포천시,경기도 포천시 이동면 도평리,127.409426,38.072939,실패
60,우음도,경기 화성시,경기도 화성시 송산면 고정리,126.751444,37.25053247,실패
61,수리산도립공원,경기 군포시,경기도 군포시 산본동,126.89715,37.345885,실패
82,호명호수공원,경기 가평군,경기 가평군 청평면 상천리,127.45437,37.77753078,실패
89,포천 아우라지 베개용암 (한탄강 국가지질공원),경기 포천시,경기도 포천시 창수면 신흥리,127.1428716,38.05374167,실패
95,용문산 관광지,경기 양평군,경기도 양평군 용문면 신점리,127.5800639,37.5546956,실패
96,제부도 해안산책로(제비꼬리길),경기 화성시,경기도 화성시 서신면 제부리,?,?,실패
97,궁평항,경기 화성시,경기도 화성시 서신면,?,?,실패
99,재인폭포 (한탄강 국가지질공원),경기 연천군,경기도 연천군 연천읍 부곡리,?,?,실패
104,서해대교,경기 평택시,경기도 평택시 포승읍,?,?,실패
106,심학산 산림공원,경기 파주시,경기도 파주시 동패동,?,?,실패
115,연천 호로고루,경기 연천군,경기도 연천군 장남면 원당리,?,?,실패
117,팔당호,경기 광주시,경기도 광주시 남종면,?,?,실패
118,고구려대장간마을 (태왕사신기 촬영장),경기 구리시,경기도 구리시 우미내길,?,?,실패
119,제3땅굴,경기 파주시,경기도 파주시 군내면 제3땅굴로,?,?,실패
120,구리시민한강공원(코스모스공원),경기 구리시,경기도 구리시 토평동,?,?,실패
126,화도하수처리장 피아노폭포,경기 남양주시,경기도 남양주시 화도읍,?,?,실패
130,차탄천 주상절리 (한탄강 국가지질공원),경기 연천군,경기도 연천군 연천읍 통현리,?,?,실패
132,형도,경기 화성시,경기도 화성시 송산면 독지리,?,?,실패
139,태풍전망대,경기 연천군,경기도 연천군 중면 횡산리,?,?,실패
144,전곡항,경기 화성시,경기도 화성시 서신면 전곡항로,?,?,실패
150,제부도 모세거리,경기 화성시,경기도 화성시 서신면 제부리,?,?,실패
154,누에섬 등대전망대,경기 안산시,경기도 안산시 단원구 선감동,?,?,실패
156,부천 동물테마파크 하이주,경기 부천시,경기도 부천시 원미구 길주로 105,?,?,실패
166,보정동카페거리,경기 용인시,경기도 용인시 기흥구 보정동,?,?,실패
169,명지계곡,경기 가평군,경기도 가평군 북면 적목리,?,?,실패
171,분당 정자동 카페거리,경기 성남시,경기도 성남시 분당구 정자동,?,?,실패
174,나혜석거리,경기 수원시,경기도 수원시 팔달구 인계동,?,?,실패
178,양주 회암사지,경기 양주시,경기도 양주시 회암동,?,?,실패
188,유명산계곡,경기 가평군,경기도 가평군 설악면 유명산길,?,?,실패
193,대부도 방아머리 먹거리타운,경기 안산시,경기도 안산시 단원구 대부북동,?,?,실패
210,갱매폭포,경기,경기도 과천시 막계동,?,?,실패
218,파주 맛고을 음식문화거리,경기 파주시,경기도 파주시 탄현면,?,?,실패
232,검단산,경기 하남시,경기도 하남시 천현동,?,?,실패
235,김포 문수산성,경기 김포시,경기도 김포시 월곶면 포내리,?,?,실패
236,까치울 먹거리촌 (작동 먹거리촌),경기 부천시,경기도 부천시 작동,?,?,실패
238,용문산,경기 양평군,경기 양평군 용문면 신점리,?,?,실패
241,고기동 오리촌,경기 용인시,경기도 용인시 수지구 고기동,?,?,실패
248,신흥레저타운,경기 양주시,경기도 양주시 장흥면 삼상리,?,?,실패
249,동막골유원지,경기 연천군,경기도 연천군 연천읍,?,?,실패
254,시화호,경기 안산시,경기 안산시 단원구 대부남동,?,?,실패
255,상동호수공원,경기 부천시,경기도 부천시 원미구 조마루로 15,?,?,실패
257,천마산군립공원,경기 남양주시,경기도 남양주시 화도읍 묵현로,?,?,실패
258,멍우리 협곡 (한탄강 국가지질공원),경기 포천시,경기도 포천시 영북면 운천리,?,?,실패
262,주렁주렁 (롯데빅마켓 킨텍스점),경기 고양시,경기도 고양시 일산서구 주엽로 79,?,?,실패
266,하남 이성산성,경기 하남시,경기도 하남시 춘궁동,?,?,실패
272,오산 독산성과 세마대지,경기 오산시,경기도 오산시 양산동,?,?,실패
273,비둘기낭 폭포 (한탄강 국가지질공원),경기 포천시,경기도 포천시 영북면 대회산리,?,?,실패
275,당포성 (한탄강 국가지질공원),경기 연천군,경기도 연천군 미산면 동이리,?,?,실패
282,교동 가마소 (한탄강 국가지질공원),경기 포천시,경기도 포천시 관인면 중리,?,?,실패
283,중원폭포,경기 양평군,경기도 양평군 용문면 연수리,?,?,실패
295,서현동 먹거리촌,경기 성남시,경기도 성남시 분당구 새마을로 일대,?,?,실패
302,임진강 주상절리 (한탄강 국가지질공원),경기 연천군,경기도 연천군 미산면 동이리,?,?,실패
