name,region,address,Latitude,Longitude
화담숲,경기 광주시,경기도 광주시 도척면 도척윗로 278-1,37.3372414,127.2953076
포천아트밸리와 포천석 (한탄강 국가지질공원),경기 포천시,경기도 포천시 신북면 아트밸리로 234,37.9230477,127.2379702
헤이리 예술마을,경기 파주시,경기도 파주시 탄현면 헤이리마을길 82-105,37.7881652,126.7037948
파주 임진각(평화누리공원),경기 파주시,경기도 파주시 문산읍 임진각로 177,37.8893177,126.7400657
시흥 갯골생태공원,경기 시흥시,경기도 시흥시 동서로 287,37.3871749,126.8124991
아침고요수목원,경기 가평군,경기도 가평군 상면 수목원로 432,37.7439678,127.3524864
안성팜랜드,경기 안성시,경기도 안성시 공도읍 대신두길 28,36.9920809,127.1931869
바람새마을 소풍정원,경기 평택시,경기도 평택시 고덕면 궁리,37.019303,127.0295837
잣향기푸른숲,경기 가평군,경기도 가평군 상면 축령로 289-146,37.7721391,127.3391224
동두천자연휴양림,경기 동두천시,경기도 동두천시 탑동가산로 1,37.8914695,127.1038646
남양주 물의정원,경기 남양주시,경기도 남양주시 조안면 북한강로 398,37.5753144,127.3234451
양평 두물머리,경기 양평군,경기도 양평군 양서면 두물머리길,37.5383024,127.3175374
퍼스트가든,경기 파주시,경기도 파주시 탑삭골길 260,37.7368696,126.7911684
행주산성,경기 고양시,경기도 고양시 덕양구 행주로15번길 89,37.5958911,126.826499
곤지암리조트 힐링캠퍼스,경기 광주시,경기도 광주시 도척면 도척윗로 278,37.3372414,127.2953076
오이도,경기 시흥시,경기도 시흥시 오이도로 175,37.3452397,126.6879337
감악산 출렁다리,경기 파주시,경기도 파주시 적성면 설마리 48-6,37.9391536,126.9436284
화성행궁,경기 수원시,경기도 수원시 팔달구 정조로 825,37.2817978,127.0137047
설봉공원,경기 이천시,경기도 이천시 경충대로2709번길 152,37.2799334,127.4274999
파주DMZ,경기 파주시,경기도 파주시 문산읍 임진각로 148-53,37.8903028,126.7402706
동탄호수공원,경기 화성시,경기도 화성시 동탄순환대로 67,37.199327,127.0970177
마장호수,경기 파주시,경기도 파주시 광탄면 기산로 365,37.7746655,126.9327526
쁘띠프랑스,경기 가평군,경기도 가평군 청평면 호반로 1063,37.7148921,127.4903236
포천 허브아일랜드,경기 포천시,경기도 포천시 신북면 청신로947번길 35,37.9653434,127.1316512
방화수류정(동북각루),경기 수원시,경기도 수원시 팔달구 정조로 910,37.288893,127.0141523
포천 한탄강 하늘다리,경기 포천시,경기도 포천시 영북면 비둘기낭길 207,38.0838576,127.2187725
국립수목원(광릉숲),경기 포천시,경기도 포천시 소흘읍 광릉수목원로 415,37.7521287,127.1634605
에버랜드,경기 용인시,경기도 용인시 처인구 포곡읍 에버랜드로 199,37.2934755,127.1998066
명성산,경기 포천시,경기도 포천시 이동면 도평리,38.0757063,127.4032977
오두산 통일전망대,경기 파주시,경기도 파주시 탄현면 필승로 369,37.773203,126.6774773
수원 화성 [유네스코 세계문화유산],경기 수원시,경기도 수원시 장안구 수성로 320,37.2917748,127.0072699
대부도 바다향기 수목원,경기 안산시,경기도 안산시 단원구 대부황금로 399,37.2546417,126.5960467
풍도,경기 안산시,경기도 안산시 단원구 풍도길 28,37.1109755,126.3931143
율암온천숯가마 테마파크,경기 화성시,경기도 화성시 팔탄면 온천로 434-14,37.1522947,126.8820361
벽초지수목원,경기 파주시,경기도 파주시 광탄면 부흥로 242,37.801384,126.8740377
한국민속촌,경기 용인시,경기도 용인시 기흥구 민속촌로 90,37.2599901,127.1205546
선인장다육식물연구소(구 선인장연구소),경기 고양시,경기도 고양시 일산서구 송산로 464-52,37.6852995,126.7310541
남한산성도립공원 [유네스코 세계문화유산],경기 광주시,경기도 광주시 남한산성면 남한산성로 731,37.4765052,127.1883338
광명동굴,경기 광명시,경기도 광명시 가학로85번길 142,37.4251755,126.8644482
한택식물원,경기 용인시,경기도 용인시 처인구 백암면 한택로 2,37.094023,127.4098323
이천 부래미마을,경기 이천시,경기도 이천시 율면 금율로640번길 177,37.0588372,127.5476212
신북리조트 스프링폴,경기 포천시,경기도 포천시 신북면 청신로 571,37.9553207,127.153516
어비계곡,경기 가평군,경기도 가평군 설악면 어비산길99번길 9-10,37.5989091,127.50347
마장호수 출렁다리,경기 파주시,경기도 파주시 광탄면 기산로 313,37.7732101,126.9276645
판문점,경기 파주시,경기도 파주시 군내면,37.9386925,126.7206557
행주산성 역사공원,경기 고양시,경기도 고양시 덕양구 행주외동 140-8,37.5981374,126.8197372
국화도,경기 화성시,경기도 화성시 우정읍 국화길 8,37.0608142,126.5589752
덕평공룡수목원,경기 이천시,경기도 이천시 마장면 작촌로 282,37.2450593,127.3454981
경인아라뱃길유람선 현대크루즈호,경기 김포시,경기도 김포시 고촌읍 아라육로270번길 74,37.5991386,126.7890149
국립 산음자연휴양림,경기 양평군,경기도 양평군 단월면 고북길 347,37.5969104,127.5717371
별빛정원우주,경기 이천시,경기도 이천시 호법면 단천리,37.2270059,127.4038563
스포츠몬스터 고양,경기 고양시,경기도 고양시 덕양구 고양대로 1955,37.6467805,126.8948223
나인포레스트 이화원,경기 가평군,경기도 가평군 가평읍 자라섬로 64,37.818124,127.5189347
포천 산정호수,경기 포천시,경기도 포천시 영북면 산정호수로411번길 89,38.0686138,127.3230194
월화원,경기 수원시,경기도 수원시 팔달구 인계동,37.2714577,127.0281553
백운계곡 (한탄강 국가지질공원),경기 포천시,경기도 포천시 이동면 도평리,38.0757063,127.4032977
프로방스 마을,경기 파주시,경기도 파주시 탄현면 새오리로 69,37.7905182,126.6853817
안양예술공원,경기 안양시,경기도 안양시 만안구 예술공원로 131,37.4188767,126.9202722
포천 어메이징파크,경기 포천시,경기도 포천시 신북면 탑신로 860,37.9481613,127.1278531
우음도,경기 화성시,경기도 화성시 송산면 고정리,37.2455111,126.7468539
수리산도립공원,경기 군포시,경기도 군포시 산본동,37.3594144,126.9207863
서울대공원,경기,경기도 과천시 대공원광장로 102,37.4362233,127.0140581
에델바이스 스위스테마파크,경기 가평군,경기도 가평군 설악면 다락재로 226-57,37.6677785,127.4474131
고양 관광특구,경기 고양시,경기도 고양시 일산서구 가좌1로 10,37.6910041,126.7206709
"여주 영릉(英陵)세종대왕)과 영릉(寧陵)효종,인선왕후) [유네스코 세계문화유산]",경기 여주시,경기도 여주시 능서면 영릉로 269-50,37.304074,127.603751
축령산자연휴양림,경기 남양주시,경기도 남양주시 수동면 축령산로 299,37.7547427,127.3132292
세미원,경기 양평군,경기도 양평군 양서면 양수로 93,37.5407937,127.3240635
한탄강 관광지,경기 연천군,경기도 연천군 전곡읍 선사로 76,38.0147057,127.068102
캐리비안베이,경기 용인시,경기도 용인시 처인구 포곡읍 에버랜드로 199,37.2934755,127.1998066
테르메덴,경기 이천시,경기도 이천시 모가면 사실로 984,37.1822659,127.4446368
화성 베어팜,경기 화성시,경기도 화성시 정남면 정송길23번길 18,37.1635201,126.957624
경기도립 물향기수목원,경기 오산시,경기도 오산시 청학로 211,37.1684823,127.0554177
스파플러스,경기 이천시,경기도 이천시 중리천로115번길 45,37.276221,127.4510213
안산갈대습지공원,경기 안산시,경기도 안산시 상록구 해안로 820-116,37.2905148,126.8632557
송암스페이스센터,경기 양주시,경기도 양주시 장흥면 권율로185번길 103,37.7353656,126.9423682
일영허브랜드,경기 양주시,경기도 양주시 장흥면 일영로 346-26,37.6750682,126.9236668
김포 대명항,경기 김포시,경기도 김포시 대곶면 대명항1로 107-1,37.6384901,126.5421174
파주이이유적,경기 파주시,경기도 파주시 법원읍 자운서원로 204,37.864271,126.8709074
양평 들꽃수목원,경기 양평군,경기도 양평군 양평읍 수목원길 16,37.5017116,127.4714033
평택호관광단지,경기 평택시,경기도 평택시 현덕면 평택호길 159,36.9213979,126.9222175
자라섬,경기 가평군,경기도 가평군 가평읍 자라섬로 60,37.8209476,127.5208644
호명호수공원,경기 가평군,경기 가평군 청평면 상천리,37.7773388,127.4510029
일산호수공원,경기 고양시,경기도 고양시 일산동구 호수로 595,37.658391,126.7642233
감악산(파주),경기 양주시,경기도 파주시 적성면 감골길 48,37.9119705,126.9522371
도라전망대,경기 파주시,경기도 파주시 장단면 제3땅굴로 310,37.908956,126.7051966
여주참숯마을,경기 여주시,경기도 여주시 강천면 걸촌동길 40,37.2885695,127.6995895
안성허브마을,경기 안성시,경기도 안성시 삼죽면 국사봉로 641-12,37.0654896,127.358482
신륵사(여주),경기 여주시,경기도 여주시 신륵사길 73,37.2975365,127.6615306
포천 아우라지 베개용암 (한탄강 국가지질공원),경기 포천시,경기도 포천시 창수면 신흥리,38.0525287,127.1412634
용인자연휴양림,경기 용인시,경기도 용인시 처인구 모현읍 초부로 220,37.3147157,127.2679653
쥬라기랜드,경기,경기도 과천시 광명로 181,37.4364611,127.024139
