No,name,region,address,경도,위도,상태
1,경주 동궁과 월지,경북 경주시,경상북도 경주시 원화로 102,129.226570812294,35.8347951233426,정좌표
2,부석사[유네스코 세계문화유산],경북 영주시,경상북도 영주시 부석면 부석사로 345,128.686772805163,36.9988997791631,정좌표
7,오어사(포항),경북 포항시,경상북도 포항시 남구 오천읍 오어로 1,129.368447835011,35.926684712838,정좌표
9,삼사해상공원 (삼사해상산책로),경북 영덕군,경상북도 영덕군 강구면 해상공원길 120-7,129.383672148756,36.3517622043184,정좌표
11,국립백두대간수목원,경북 봉화군,경상북도 봉화군 춘양면 춘양로 1501,128.826299169543,37.0108778356483,정좌표
12,경주 불국사 [유네스코 세계문화유산],경북 경주시,경상북도 경주시 불국로 385,129.333251169915,35.7885645958133,정좌표
13,경주 대릉원 일원,경북 경주시,경상북도 경주시 계림로 9,129.215326261599,35.8355872292568,정좌표
14,경주 첨성대,경북 경주시,경상북도 경주시 첨성로 140-25,129.218543215687,35.834344439214,정좌표
15,안동 하회마을 [유네스코 세계문화유산],경북 안동시,경상북도 안동시 풍천면 하회리 1176-1,128.519972983701,36.5387888840588,정좌표
16,경주월드 어뮤즈먼트,경북 경주시,경상북도 경주시 보문로 544,129.282248795077,35.8366842025873,정좌표
17,호미곶 해맞이광장,경북 포항시,경상북도 포항시 남구 호미곶면 해맞이로150번길 20,129.568255688766,36.0778374200389,정좌표
20,울릉도,경북 울릉도,경상북도 울릉군 서면 태하길 236,130.797564419196,37.5132224188111,정좌표
21,덕구온천스파월드,경북 울진군,경상북도 울진군 북면 덕구온천로 924,129.28505651884,37.0787194000127,정좌표
22,가실성당,경북 칠곡군,경상북도 칠곡군 왜관읍 가실1길 1,128.404918706227,35.9368114178407,정좌표
23,경주 교촌마을,경북 경주시,경상북도 경주시 교촌길 39-2,129.214740057321,35.8295071037,정좌표
24,울진 해안도로,경북 울진군,경상북도 울진군 근남면 망양정로 971,129.414394158793,36.9642892243759,정좌표
25,경주 양동마을 [유네스코 세계문화유산],경북 경주시,경상북도 경주시 강동면 양동마을길 93,129.254258679295,35.9970537056317,정좌표
27,경주 석굴암 [유네스코 세계문화유산],경북 경주시,경상북도 경주시 불국로 873-243,129.350022603127,35.7912340200201,정좌표
28,독도,경북 울릉도,경상북도 울릉군 울릉읍 독도이사부길 55,131.869843345115,37.2395611600445,인근좌표
29,주왕산국립공원,경북 청송군,경상북도 청송군 주왕산면 공원길 169-7,129.142063484081,36.3938715857429,정좌표
30,농암종택,경북 안동시,경상북도 안동시 도산면 가송길 162-133,128.885037763798,36.7639121105825,정좌표
33,영주 무섬마을,경북 영주시,경상북도 영주시 문수면 무섬로234번길 31-12,128.62172562892,36.7310483033735,정좌표
34,문경에코랄라,경북 문경시,경상북도 문경시 가은읍 왕능길 114,128.060494538051,36.6534402043464,정좌표
35,구룡포 일본인 가옥거리,경북 포항시,경상북도 포항시 남구 구룡포읍 구룡포길 153-1,129.561596459484,35.9905359002758,정좌표
36,울진 금강소나무 숲길,경북 울진군,경상북도 울진군 근남면 울진북로 245-5,129.398647531607,36.9713808349112,정좌표
37,백두대간협곡열차(V-트레인),경북 봉화군,경상북도 봉화군 소천면 분천길 49,129.058967834607,36.9327928590939,정좌표
38,포항운하,경북 포항시,경상북도 포항시 남구 희망대로 1040,129.377394562082,36.0238776502752,정좌표
39,천마총(대릉원),경북 경주시,경상북도 경주시 계림로 9,129.215326261599,35.8355872292568,정좌표
40,영덕해맞이공원,경북 영덕군,경상북도 영덕군 영덕읍 영덕대게로 968,129.433066255729,36.4221203099683,정좌표
41,경주 문무대왕릉,경북 경주시,경상북도 경주시 양북면 동해안로 1366-9,129.482763788639,35.7407173687752,정좌표
42,부용대,경북 안동시,경상북도 안동시 풍천면 광덕솔밭길 72,128.517979809381,36.5444272336848,정좌표
43,경주 계림,경북 경주시,경상북도 경주시 교동 1,129.218974054241,35.8326501717004,정좌표
45,경상북도수목원,경북 포항시,경상북도 포항시 북구 죽장면 수목원로 647,129.255172528383,36.2192551453362,정좌표
47,만휴정,경북 안동시,경상북도 안동시 길안면 묵계하리길 42,128.909798332207,36.4103095816199,정좌표
48,문경새재도립공원,경북 문경시,경상북도 문경시 문경읍 새재로 932,128.076991354842,36.7616059573148,정좌표
49,예천 백두대간 파워스팟,경북 예천군,경상북도 예천군 용문면 용문사길 285-30,128.368026980966,36.7305808175021,정좌표
51,경주 동궁원,경북 경주시,경상북도 경주시 보문로 74-14,129.261504252393,35.8494903774683,정좌표
52,군위 장곡자연휴양림,경북 군위군,경상북도 군위군 고로면 장곡휴양림길 195,128.840808944992,36.1316616117305,정좌표
53,안동호반자연휴양림,경북 안동시,경상북도 안동시 도산면 동부리 36,128.828147900117,36.703559645506,정좌표
54,고래불해수욕장,경북 영덕군,경상북도 영덕군 병곡면 고래불로 394,129.410168813136,36.5984926431141,정좌표
56,경주 버드파크,경북 경주시,경상북도 경주시 보문로 74-14,129.261504252393,35.8494903774683,정좌표
57,도산서원 [유네스코 세계문화유산],경북 안동시,경상북도 안동시 도산면 도산서원길 154,128.843521416907,36.7273504559461,정좌표
58,소수서원 [유네스코 세계문화유산],경북 영주시,경상북도 영주시 순흥면 소백로 2740,128.579926477014,36.9250021507596,정좌표
59,예천 출렁다리마을,경북 예천군,경상북도 예천군 용문면 용문경천로 826,128.375478318284,36.7023061639283,정좌표
61,군위 화산산성 전망대,경북 군위군,경상북도 군위군 고로면 장곡휴양림길 195,128.840808944992,36.1316616117305,정좌표
62,월정교,경북 경주시,경상북도 경주시 교촌안길 31,129.217615967405,35.8299809590953,정좌표
63,울진 후포항,경북 울진군,경상북도 울진군 후포면 등기산길 29,129.462264011433,36.6807116487938,정좌표
64,문경종합온천,경북 문경시,경상북도 문경시 문경읍 온천2길 24,128.108977499284,36.729405066391,정좌표
65,경주세계문화엑스포공원,경북 경주시,경상북도 경주시 경감로 614,129.28957012736,35.8313536396312,정좌표
67,구산해수욕장,경북 울진군,경상북도 울진군 기성면 기성로 108,129.467224046358,36.7532941780313,정좌표
68,빙계서원,경북 의성군,경상북도 의성군 춘산면 빙계계곡길 80,128.753867616141,36.2267990300557,정좌표
69,국립 검마산자연휴양림,경북 영양군,경상북도 영양군 수비면 검마산길 191,129.233960820511,36.7454206632078,정좌표
70,병산서원 [유네스코 세계문화유산],경북 안동시,경상북도 안동시 풍천면 병산길 386,128.553095774683,36.5406572959004,정좌표
71,반딧불이 천문대,경북 영양군,경상북도 영양군 수비면 반딧불이로 129,129.270173398137,36.8302566975879,정좌표
72,한화리조트 백암온천,경북 울진군,경상북도 울진군 온정면 온천로 129-13,129.338219654153,36.7230194932214,정좌표
73,성류굴 (경북 동해안 국가지질공원),경북 울진군,경상북도 울진군 근남면 성류굴로 225,129.379117307084,36.9559536413814,정좌표
74,경주국립공원,경북 경주시,경상북도 경주시 천북남로 12,129.289976181142,35.8438826610663,정좌표
75,국립산림치유원,경북 영주시,경상북도 영주시 봉현면 테라피로 209,128.469145045364,36.8579724125981,정좌표
76,국립김천치유의숲,경북 김천시,경상북도 김천시 증산면 수도길 1237-89,128.002214668888,35.8513683530878,정좌표
80,구미에코랜드,경북 구미시,경상북도 구미시 산동면 인덕1길 195,128.462677721862,36.1771663075107,정좌표
84,국립 운문산자연휴양림,경북 청도군,경상북도 청도군 운문면 운문로 763,129.022722627308,35.6490390377803,정좌표
85,경주역사유적지구[유네스코 세계문화유산],경북 경주시,경상북도 경주시 태종로 757,129.211054766344,35.8399313025018,정좌표
87,한국역사문화음식학교 라선재,경북 경주시,경상북도 경주시 보문로 424-33,129.286491976398,35.8435423818077,정좌표
88,예천 초간정,경북 예천군,경상북도 예천군 용문면 용문경천로 874,128.381921723592,36.7012534793073,정좌표
89,경주 독락당,경북 경주시,경상북도 경주시 안강읍 옥산서원길 300-3,129.160256271421,36.0163256796658,정좌표
91,분황사,경북 경주시,경상북도 경주시 분황로 94-11,129.233967495052,35.8412187101066,정좌표
92,영일대해수욕장,경북 포항시,경상북도 포항시 북구 해안로 95,129.377849857883,36.0572474346155,정좌표
94,청송 송소고택,경북 청송군,경상북도 청송군 파천면 송소고택길 15-2,129.026903180755,36.4362054354438,정좌표
95,영덕대게마을,경북 영덕군,경상북도 영덕군 강구면 영덕대게로 68,129.386762287242,36.3595814350601,정좌표
96,포항 초롱구비마을,경북 포항시,경상북도 포항시 남구 장기면 초롱구비길 146,129.458953573235,35.8809209286723,정좌표
97,수도산자연휴양림,경북 김천시,경상북도 김천시 대덕면 증산로 326-71,127.983845534902,35.891804008793,정좌표
98,안동 임청각,경북 안동시,경상북도 안동시 임청각길 63,128.745187774584,36.5652873134929,정좌표
99,관성솔밭해변,경북 경주시,경상북도 경주시 양남면 양남로 68-24,129.452487728844,35.6622111255095,정좌표
101,포스코 역사관,경북 포항시,경상북도 포항시 남구 동해안로6213번길 14,129.386028349844,35.9982313617195,정좌표
102,소백산국립공원(영주),경북 영주시,경상북도 영주시 풍기읍 죽령로1720번길 76,128.459359082494,36.909437535585,정좌표
103,봉정사[유네스코 세계문화유산],경북 안동시,경상북도 안동시 서후면 봉정사길 222,128.659339336889,36.6553175523264,정좌표
104,고운사(의성),경북 의성군,경상북도 의성군 단촌면 고운사길 415,128.746365342321,36.4577844255678,정좌표
106,성주 한개마을,경북 성주군,경북 성주군 월항면 대산리 67,128.330248053472,35.9306946969185,정좌표
107,울진엑스포공원,경북 울진군,경상북도 울진군 울진읍 울진중앙로 121,129.400174281368,36.9927354163127,정좌표
109,돌할매(영천),경북 영천시,경상북도 영천시 북안면 돌할매로 484,129.046156391351,35.9396826334822,정좌표
110,경주월드 캘리포니아비치,경북 경주시,경상북도 경주시 보문로 544,129.282248795077,35.8366842025873,정좌표
111,예천 삼강주막,경북 예천군,경상북도 예천군 풍양면 삼강리길 27,128.298140948386,36.5633614848242,정좌표
112,영천 별빛마을,경북 영천시,경상북도 영천시 화북면 정각길 22,128.99502076784,36.1390026805932,정좌표
114,불영사(울진),경북 울진군,경상북도 울진군 금강송면 불영사길 48,129.272940000183,36.9394058954542,정좌표
115,국립 통고산자연휴양림,경북 울진군,경상북도 울진군 금강송면 불영계곡로 880,129.19392556038,36.9222904061832,정좌표
116,안동 온뜨레피움,경북 안동시,경상북도 안동시 관광단지로 346-95,128.780153565197,36.5659389122201,정좌표
117,직지사,경북 김천시,경상북도 김천시 대항면 직지사길 95,128.003925529686,36.1171882001503,정좌표
119,문경 오미자체험마을,경북 문경시,경상북도 문경시 동로면 여우목로 2371-5,128.275852180642,36.7854197914476,정좌표
120,청도 용암웰빙스파,경북 청도군,경상북도 청도군 화양읍 온천길 23,128.719428579926,35.688751655727,정좌표
122,가야산 야생화식물원,경북 성주군,경상북도 성주군 수륜면 가야산식물원길 49,128.141802473382,35.803217618945,정좌표
123,비슬리조트관광농원 군불로,경북 청도군,경상북도 청도군 각북면 낙산1길 51,128.571492429292,35.690345345293,정좌표
125,봉화 닭실마을,경북 봉화군,경상북도 봉화군 봉화읍 충재길 44,128.74204562315,36.9049027708894,정좌표
126,운문사,경북 청도군,경상북도 청도군 운문면 운문사길 264,128.959659127462,35.6604346883705,정좌표
127,은해사(영천),경북 영천시,경상북도 영천시 청통면 청통로 951,128.789755776307,35.9917787197462,정좌표
128,달기약수탕 (청송 국가지질공원),경북 청송군,경상북도 청송군 청송읍 약수길 16,129.083613268865,36.4383499828956,정좌표
129,성주봉자연휴양림,경북 상주시,경상북도 상주시 은척면 성주봉로 3,128.042827067214,36.5367539380368,정좌표
