No,name,region,address,경도,위도,상태
3,하옥계곡,경북 포항시,경상북도 포항시 북구 죽장면,?,?,실패
4,월영교,경북 안동시,경상북도 안동시 상아동,?,?,실패
5,진남교반,경북 문경시,경상북도 문경시 마성면 신현리,?,?,실패
6,낙강물길공원,경북 안동시,경상북도 안동시 상아동,?,?,실패
8,등기산스카이워크,경북 울진군,경상북도 울진군 후포면,?,?,실패
10,경주 보문관광단지,경북 경주시,경상북도 경주시 신평동,?,?,실패
18,벌영리 메타세콰이어길,경북 영덕군,경상북도 영덕군 영해면,?,?,실패
19,성주 경산리 성밖숲,경북 성주군,경상북도 성주군 성주읍 경산리,?,?,실패
26,낙동강 경천대(경천대 전망대),경북 상주시,경상북도 상주시 사벌면 삼덕리,?,?,실패
31,행남 해안산책로,경북 울릉도,경상북도 울릉군 울릉읍 도동리,?,?,실패
32,청송 얼음골 (청송 국가지질공원),경북 청송군,경상북도 청송군 주왕산면 내룡리,?,?,실패
44,주산지 (청송 국가지질공원),경북 청송군,경상북도 청송군 주왕산면 주산지리,?,?,실패
46,백암온천 관광특구,경북 울진군,경상북도 울진군,?,?,실패
50,죽변항,경북 울진군,경상북도 울진군 죽변면,?,?,실패
55,망양정,경북 울진군,경상북도 울진군 근남면 산포리,?,?,실패
60,빙계계곡,경북 의성군,경상북도 의성군 춘산면,?,?,실패
66,팔공산도립공원(갓바위지구),경북 경산시,경상북도 경산시 와촌면,?,?,실패
77,"봉래폭포 (울릉도, 독도 국가지질공원)",경북 울릉도,경상북도 울릉군 울릉읍 도동리,?,?,실패
78,"코끼리바위 (울릉도, 독도 국가지질공원)",경북 울릉도,경상북도 울릉군 북면 현포리,?,?,실패
79,금오산도립공원,경북 구미시,경상북도 구미시 남통동,?,?,실패
81,의성 금성산 고분군,경북 의성군,경상북도 의성군 금성면 초전1길,?,?,실패
82,치산계곡,경북 영천시,경상북도 영천시 신녕면 치산리,?,?,실패
83,독도전망대 케이블카,경북 울릉도,경상북도 울릉군 울릉읍 도동리,?,?,실패
86,강구항,경북 영덕군,경북 영덕군 강구면 강구리,?,?,실패
90,절골협곡 (청송 국가지질공원),경북 청송군,경상북도 청송군 주왕산면 주산지리,?,?,실패
93,경주 양남 주상절리 전망대,경북 경주시,경상북도 경주시 양남면 읍천리,?,?,실패
100,경주 산에들레마을,경북 경주시,경상북도 경주시 양남면 산에들레안길,?,?,실패
105,대가천계곡(무흘구곡),경북 성주군,경상북도 성주군 수륜면,?,?,실패
108,감포항,경북 경주시,경북 경주시 감포읍 감포로,?,?,실패
113,후포해수욕장,경북 울진군,경상북도 울진군 후포면 삼율리,?,?,실패
118,토함산,경북 경주시,경상북도 경주시 마동,?,?,실패
121,청도 남산계곡,경북 청도군,경상북도 청도군 화양읍 화양남산길,?,?,실패
124,군위 부계 한밤마을 돌담길,경북 군위군,경상북도 군위군 부계면 한밤5길,?,?,실패
142,고모산성,경북 문경시,경상북도 문경시 마성면 신현리,?,?,실패
147,대게원조 차유어촌체험마을,경북 영덕군,경상북도 영덕군 축산면 차유길,?,?,실패
157,주왕산 1. 2. 3 폭포,경북 청송군,경상북도 청송군 주왕산면 상의리,?,?,실패
168,나리분지,경북 울릉도,경상북도 울릉군 북면 나리길,?,?,실패
189,경주 남산,경북 경주시,경상북도 경주시 남산동,?,?,실패
190,칠곡 가산산성 및 가산바위,경북 칠곡군,경상북도 칠곡군 가산면 가산리,?,?,실패
193,청도 석빙고,경북 청도군,경상북도 청도군 화양읍 동천리,?,?,실패
198,성주댐(성주호),경북 성주군,경상북도 성주군 가천면 중산3길,?,?,실패
210,포천계곡,경북 성주군,경상북도 성주군 가천면 화죽리,?,?,실패
212,응봉산(울진),경북 울진군,경상북도 울진군 북면 덕구리,?,?,실패
213,청도읍성,경북 청도군,경상북도 청도군 화양읍 동상리,?,?,실패
217,백석탄 포트홀 (청송 국가지질공원),경북 청송군,경상북도 청송군 안덕면 고와리,?,?,실패
219,경북 상주,경북 상주시,"경상북도 상주시 함창읍, 공검면, 이안면",?,?,실패
224,경주 월성(반월성),경북 경주시,경상북도 경주시 인왕동,?,?,실패
227,축산항,경북 영덕군,경상북도 영덕군 축산면 축산항5길,?,?,실패
232,경주 장항리 서 오층석탑,경북 경주시,경상북도 경주시 양북면 장향리,?,?,실패
233,약사암(구미),경북 구미시,경상북도 구미시 남통동,?,?,실패
