No,name,region,address,경도,위도,상태
1,광주호 호수생태원,광주 북구,광주광역시 북구 충효샘길 7,127.0012405,35.18471556,정좌표
2,양림역사문화마을,광주 남구,광주광역시 남구 서서평길 7,126.9155667,35.14212819,정좌표
3,무등산국립공원,광주 동구,광주광역시 동구 동산길 29,126.9483315,35.13079743,정좌표
4,운천저수지,광주 서구,광주광역시 서구 운천로 165,126.8562251,35.14718132,정좌표
5,양림동 펭귄마을,광주 남구,광주광역시 남구 천변좌로446번길 7,126.9170096,35.14010522,정좌표
6,월봉서원,광주 광산구,광주광역시 광산구 광곡길 133,126.7453035,35.23566535,정좌표
7,광주 예술의 거리,광주 동구,광주광역시 동구 예술길 24,126.9185016,35.14977869,정좌표
8,증심사(광주),광주 동구,광주광역시 동구 증심사길 177,126.9695818,35.12878563,정좌표
9,광주패밀리랜드,광주 북구,광주광역시 북구 우치로 677,126.8937193,35.22348718,정좌표
10,우일선 선교사 사택,광주 남구,광주광역시 남구 제중로47번길 20,126.9118928,35.13801892,정좌표
11,5·18 기념공원,광주 서구,광주광역시 서구 상무민주로 61,126.858584,35.15574874,정좌표
12,5.18 민주광장,광주 동구,광주광역시 동구 문화전당로 38,126.9200115,35.14800054,정좌표
13,무등산 주상절리대,광주 동구,광주광역시 동구 용연동 산354-1,126.9989027,35.11994355,정좌표
14,오웬기념각,광주 남구,광주광역시 남구 백서로70번길 6,126.9161019,35.13847778,정좌표
15,청춘발산마을,광주 서구,광주광역시 서구 천변좌로 12-16,126.8914711,35.15991635,정좌표
16,전평제,광주 서구,광주광역시 서구 매월동,126.851636,35.1159821,실패
17,사직공원(광주),광주 남구,광주광역시 남구 사직길 49,126.9118559,35.14189609,정좌표
18,국립 5.18 민주묘지,광주 북구,광주광역시 북구 민주로 200,126.9404957,35.23541642,정좌표
19,동명동 카페거리,광주 동구,광주광역시 동구 동명동,126.9257155,35.1503703,실패
20,중외공원,광주 북구,광주광역시 북구 하서로 50,126.8843666,35.18165654,정좌표
21,환벽당,광주 북구,광주광역시 북구 환벽당길 10,127.0031634,35.18580894,정좌표
22,지산유원지,광주 동구,광주광역시 동구 지호로164번길 35-1,126.9491014,35.1494032,정좌표
23,풍암저수지 (풍암호수),광주 서구,광주광역시 서구 월드컵서로 71-3,126.8706308,35.12993751,정좌표
24,만귀정,광주 서구,광주광역시 서구 동하길 10,126.8340168,35.12091523,정좌표
25,광주 서구 8경,광주 서구,광주광역시 서구 동하길 10,126.8340168,35.12091523,정좌표
26,양림동 선교사 묘지,광주 남구,광주광역시 남구 제중로 77,126.9114794,35.14044819,정좌표
27,5·18 자유공원,광주 서구,광주광역시 서구 상무평화로 13,126.8396508,35.14939264,정좌표
28,녹색에너지체험관 (광주전남지역본부),광주 북구,광주광역시 북구 첨단과기로 123,126.8382904,35.22717334,정좌표
29,광주 우치공원 동물원,광주 북구,광주광역시 북구 우치로 677,126.8937193,35.22348718,정좌표
30,운천사마애여래좌상,광주 서구,광주광역시 서구 금호운천길 85-15,126.8544543,35.14186204,정좌표
31,금남로,광주 동구,광주광역시 동구 금남로 일대,126.9138333,35.151062,실패
32,쌍암공원,광주 광산구,광주광역시 광산구 첨단중앙로182번길 39,126.8443411,35.22223119,정좌표
33,최승효가옥,광주 남구,광주광역시 남구 양촌길 29-4,126.9141134,35.14138629,정좌표
34,상무시민공원,광주 서구,광주광역시 서구 상무공원로 101,126.8410897,35.15338482,정좌표
35,충장로,광주 동구,광주광역시 동구 중앙로,126.917315,35.1543163,실패
36,광주 송정동 떡갈비 골목,광주 광산구,광주광역시 광산구 광산로29번길,126.7948998,35.13883289,정좌표
37,이장우가옥,광주 남구,광주광역시 남구 양촌길 21,126.9146353,35.14046456,정좌표
38,송정공원,광주 광산구,광주광역시 광산구 송정공원로 8-23,126.7996029,35.14578522,정좌표
39,오리요리의 거리,광주 북구,광주광역시 북구 경양로 125,126.9057169,35.16160112,정좌표
40,무양서원,광주 광산구,광주광역시 광산구 산월로21번길 26,126.8403358,35.20993064,정좌표
41,광주호,광주 북구,광주광역시 북구 충효동,126.989702,35.190473,실패
42,광주공원,광주 남구,광주광역시 남구 중앙로107번길 15,126.9099807,35.14724085,정좌표
43,양송천묘역,광주 광산구,광주광역시 광산구 동호동,126.690762,35.186231,실패
44,용진정사,광주 광산구,광주광역시 광산구 본량동서로 180-48,126.7436882,35.17709416,정좌표
45,무각사,광주 서구,광주광역시 서구 운천로 230,126.855943,35.15354134,정좌표
46,금호타이어 광주공장,광주 광산구,광주광역시 광산구 어등대로 658,126.7913222,35.14244587,정좌표
47,광주 평촌마을,광주 북구,광주광역시 북구 평촌길 15,127.0105485,35.17561474,정좌표
48,풍영정,광주 광산구,광주광역시 광산구 풍영정길 21,126.8385076,35.1793194,정좌표
49,영산강문화관,광주 남구,광주광역시 남구 승촌보길 90,126.7610721,35.06581879,정좌표
50,신창동 선사유적지,광주 광산구,광주광역시 광산구 신창동,126.845793,35.196905,실패
51,광주 충효동 왕버들 군,광주 북구,광주광역시 북구 충효샘길 7,127.0012405,35.18471556,정좌표
52,월계동 장고분,광주 광산구,광주광역시 광산구 월계로 155,126.8425355,35.21356064,정좌표
53,너릿재공원,광주 동구,광주광역시 동구 남문로 48-8,126.9535324,35.08030353,정좌표
54,광주무역회관,광주 광산구,광주광역시 광산구 무진대로 282,126.8114088,35.16070387,정좌표
55,충장사,광주 북구,광주광역시 북구 송강로 13,126.9790964,35.16239638,정좌표
56,송산유원지,광주 광산구,광주광역시 광산구 박호등임로 43-1,126.7361426,35.15867247,정좌표
57,약사암(광주),광주 동구,광주광역시 동구 증심사길160번길 89,126.9721441,35.1222842,정좌표
58,관덕정의 각궁,광주 남구,광주광역시 남구 사직길 49,126.9118559,35.14189609,정좌표
59,삼거동 고인돌,광주 광산구,광주광역시 광산구 삼거동,126.672537,35.152266,실패
60,원효사,광주 북구,광주광역시 북구 무등로 1514-35,126.9854437,35.14865334,정좌표
61,KBC 광주방송,광주 서구,광주광역시 서구 무진대로 919,126.8809974,35.16229672,정좌표
62,광주향교,광주 남구,광주광역시 남구 중앙로107번길 5,126.9094601,35.14597593,정좌표
63,포충사,광주 남구,광주광역시 남구 포충로 767,126.8483926,35.08975485,정좌표
64,양림동 호랑가시나무,광주 남구,광주광역시 남구 제중로47번길 20,126.9118928,35.13801892,정좌표
65,김용학가옥,광주 북구,광주광역시 북구 하백로29번길 24,126.8884284,35.19014624,정좌표
66,청풍쉼터,광주 북구,광주광역시 북구 무등로 1550,126.9889804,35.14411016,정좌표
67,취병조형유허비,광주 광산구,광주광역시 광산구 비아안길 19,126.8173607,35.22077568,정좌표
68,현충탑(광주),광주 남구,광주광역시 남구 중앙로107번길 15,126.9099807,35.14724085,정좌표
69,송호영당,광주 광산구,광주광역시 광산구 소촌로46번길 46,126.7955269,35.14997027,정좌표
70,사직단,광주 남구,광주광역시 남구 사직길 49,126.9118559,35.14189609,정좌표
71,광주공원 사적비군,광주 남구,광주광역시 남구 중앙로107번길 15,126.9099807,35.14724085,정좌표
72,원각사(광주),광주 동구,광주광역시 동구 중앙로 197,126.9156584,35.15090449,정좌표
73,학산사,광주 서구,광주광역시 서구 불암길 82-100,126.8393252,35.10917142,정좌표
74,호가정,광주 광산구,광주광역시 광산구 동곡분토길 195,126.786963,35.08234547,정좌표
75,임계서원,광주 북구,광주광역시 북구 각화대로87번길 23-12,126.940615,35.180442,실패
76,광주동오층석탑,광주 동구,광주광역시 동구 지산로 58,126.932933,35.14877965,정좌표
77,두암사,광주 북구,광주광역시 북구 면앙로170번길 12-17,126.9293411,35.17529996,정좌표
78,용아생가,광주 광산구,광주광역시 광산구 소촌로46번길 24,126.7954466,35.14965529,정좌표
79,충효동 정려비각,광주 북구,광주광역시 북구 충효샘길 7,127.0012405,35.18471556,정좌표
80,광주 경찰충혼탑,광주 남구,광주광역시 남구 사직길 49,126.9118559,35.14189609,정좌표
81,광주 충효동 요지,광주 북구,광주광역시 북구 풍암제길 14,126.9988864,35.16752834,정좌표
82,남평문씨 쌍효문,광주 남구,광주광역시 남구 사직안길 9,126.9132518,35.14319112,정좌표
83,오지호생가,광주 동구,광주광역시 동구 지호로 81-20,126.9387611,35.14899839,정좌표
84,충민사,광주 북구,광주광역시 북구 무등로 1050,126.969514,35.15161438,정좌표
85,신광사(광주),광주 북구,광주광역시 북구 삼정로66번길 42-10,126.9400366,35.16873028,정좌표
86,화담사,광주 서구,광주광역시 서구 화운로156번길 17-8,126.8787709,35.15348804,정좌표
87,칠송정,광주 광산구,광주광역시 광산구 광곡길 73,126.7420818,35.23710703,정좌표
88,광주 3·1 만세운동 기념비,광주 남구,광주광역시 남구 백서로 13,126.910461,35.13734245,정좌표
89,빙월당,광주 광산구,광주광역시 광산구 광곡길 133,126.7453035,35.23566535,정좌표
90,(전)광주 성거사지 오층석탑,광주 남구,광주광역시 남구 천변좌로338번길 7,126.90871,35.14799885,정좌표
91,광주폴리,광주 북구,광주광역시 북구 비엔날레로 111,126.8902187,35.18252689,정좌표
92,서강사,광주 남구,광주광역시 남구 치마봉1길 16-1,126.9220155,35.13026785,정좌표
93,무등산수박마을,광주 북구,광주광역시 북구 송강로 236-3,126.9988925,35.17022898,정좌표
94,환벽당 ·조대,광주 북구,광주광역시 북구 환벽당길 10,127.0031634,35.18580894,정좌표
95,부용정,광주 남구,광주광역시 남구 칠석동 129,126.8366413,35.06970959,정좌표
96,경장각,광주 광산구,광주광역시 광산구 용아로 460,126.8053778,35.18438179,정좌표
97,병천사,광주 서구,광주광역시 서구 금호운천길 31,126.8567404,35.13802275,정좌표
98,고원희가옥,광주 남구,광주광역시 남구 압촌1길 12,126.8392945,35.09241074,정좌표
99,두남제,광주 광산구,광주광역시 광산구 광산동 277,126.7463033,35.24372873,정좌표
100,유애서원,광주 광산구,광주광역시 광산구 용아로 460,126.8053778,35.18438179,정좌표
101,금곡동 제철유적,광주 북구,광주광역시 북구 무등로,126.993737,35.139988,실패
102,왕동저수지,광주 광산구,광주광역시 광산구 본량동서로 259,126.705674,35.17360752,정좌표
103,지산재,광주 남구,광주광역시 남구 지산재길 51,126.8737275,35.0818631,정좌표
104,신룡동오층석탑,광주 광산구,광주광역시 광산구 신룡동,126.781243,35.221442,실패
105,양과동정,광주 남구,광주광역시 남구 이장동 266,126.8634898,35.08687438,정좌표
106,무진고성지,광주 북구,광주광역시 북구 무진성길 190,126.9449747,35.16539299,정좌표
107,영사재,광주 광산구,광주광역시 광산구 명곡길 170-30,126.7032152,35.19464856,정좌표
108,입석대 (무등산권 국가지질공원),광주 북구,광주광역시 북구 무등로 1550,126.9889804,35.14411016,정좌표
109,도림사(광주),광주 광산구,광주광역시 광산구 도림하길 33,126.7007138,35.16671691,정좌표
110,효자 광주 정공엄지려,광주 남구,광주광역시 남구 서서평길 24,126.9149451,35.14069256,정좌표
111,양씨삼강문,광주 광산구,광주광역시 광산구 박뫼안길 13,126.7428755,35.16975371,정좌표
112,고씨삼강문,광주 남구,광주광역시 남구 압촌길 66,126.8382938,35.09169176,정좌표
113,광석대 (무등산권 국가지질공원),광주 북구,광주광역시 북구 무등로 1550,126.9889804,35.14411016,정좌표
114,등림사,광주 광산구,광주광역시 광산구 박호등임로,126.758084,35.18659,실패
115,선교기념비,광주 남구,광주광역시 남구 제중로 60,126.9133665,35.14011577,정좌표
116,서석대 (무등산권 국가지질공원),광주 북구,광주광역시 북구 무등로 1550,126.9889804,35.14411016,정좌표
117,운암서원(광주),광주 북구,광주광역시 북구 무등로 1040,126.9693509,35.15338327,정좌표
118,필문 이선제부조묘,광주 남구,광주광역시 남구 구만산길 34,126.8454708,35.09313856,정좌표
119,오남제,광주 광산구,광주광역시 광산구 임곡용동길 166,126.7672321,35.21510299,정좌표
120,테라피 스파 소베,광주 서구,광주광역시 서구 상무중앙로 42,126.8489154,35.15057892,정좌표
121,전일빌딩245,광주 동구,광주광역시 동구 금남로 245,126.9187306,35.14835843,정좌표
122,운림동 미술관거리,광주 동구,광주광역시 동구 증심사길 9,126.9537235,35.13418181,정좌표
