No,name,region,address,경도,위도,상태
16,전평제,광주 서구,광주광역시 서구 매월동,126.851636,35.1159821,실패
19,동명동 카페거리,광주 동구,광주광역시 동구 동명동,126.9257155,35.1503703,실패
31,금남로,광주 동구,광주광역시 동구 금남로 일대,126.9138333,35.151062,실패
35,충장로,광주 동구,광주광역시 동구 중앙로,126.917315,35.1543163,실패
41,광주호,광주 북구,광주광역시 북구 충효동,126.989702,35.190473,실패
43,양송천묘역,광주 광산구,광주광역시 광산구 동호동,126.690762,35.186231,실패
50,신창동 선사유적지,광주 광산구,광주광역시 광산구 신창동,126.845793,35.196905,실패
59,삼거동 고인돌,광주 광산구,광주광역시 광산구 삼거동,126.672537,35.152266,실패
75,임계서원,광주 북구,광주광역시 북구 각화대로87번길 23-12,126.940615,35.180442,실패
101,금곡동 제철유적,광주 북구,광주광역시 북구 무등로,126.993737,35.139988,실패
104,신룡동오층석탑,광주 광산구,광주광역시 광산구 신룡동,126.781243,35.221442,실패
114,등림사,광주 광산구,광주광역시 광산구 박호등임로,126.758084,35.18659,실패
