No,name,region,address,경도,위도,상태
2,태화강 국가정원,울산 중구,울산광역시 중구 태화동,129.296234,35.547814,실패
14,울주 대곡리 반구대 암각화,울산 울주군,울산광역시 울주군 언양읍,129.1729459,35.60863087,실패
15,태화강,울산 남구,울산광역시 남구 무거동,129.370171,35.537919,실패
16,작천정계곡(작괘천),울산 울주군,울산 울주군 삼남면,129.1189694,35.54962382,실패
18,슬도,울산 동구,울산광역시 동구 방어동,129.431212,35.477905,실패
21,울산 12경,울산 중구,울산광역시 남구 태화동,129.296819,35.548173,실패
25,주전몽돌해변,울산 동구,울산광역시 동구 주전동,129.4523238,35.57141272,실패
28,진하해수욕장,울산 울주군,울산광역시 울주군 서생면 진하리,129.3449795,35.38087138,실패
29,울산 귀신고래 회유해면,울산 남구,울산광역시 남구 장생포동,129.3723825,35.50487378,실패
31,강동 화암 주상절리,울산 북구,울산광역시 북구 화암길,129.442447,35.63415683,실패
34,처용암,울산 남구,울산광역시 남구 황성동,129.3491903,35.46715896,실패
35,울주 천전리 각석,울산 울주군,울산광역시 울주군 두동면 천전리,129.1692752,35.61881538,실패
36,울산 문화의거리,울산 중구,울산광역시 중구 옥교동,129.321645,35.556135,실패
37,울산 대왕암길,울산 동구,울산광역시 동구,129.4313636,35.49907835,실패
39,석남사계곡,울산 울주군,울산광역시 울주군 상북면,129.0389789,35.61583664,실패
44,가지산도립공원(울주),울산 울주군,울산광역시 울주군 상북면,129.004029,35.620403,실패
46,울산 경상좌도병영성,울산 중구,울산광역시 중구 서동,129.3432864,35.57661392,실패
53,서생포왜성,울산 울주군,울산광역시 울주군 서생면 서생리,129.3316735,35.37928362,실패
61,신불산군립공원,울산 울주군,울산광역시 울주군 상북면,129.0700437,35.55612578,실패
74,천전리공룡발자국화석,울산 울주군,울산광역시 울주군 두동면 천전리,129.1692752,35.61881538,실패
75,울주 구량리 은행나무,울산 울주군,울산광역시 울주군 두서면,129.134949,35.62163971,실패
76,태화강 생태공원 (태화강방문자센터),울산 중구,울산광역시 중구 내오산로 121,129.2830401,35.55326399,실패
77,천전리각석계곡(울산),울산 울주군,울산광역시 울주군 두동면 천전각석길,129.1937148,35.6290797,실패
86,함월루,울산 중구,울산광역시 중구 성안동,129.3132464,35.57086542,실패
87,박상진의사 생가,울산 북구,울산광역시 북구 박상진길 23,129.359885,35.602556,실패
88,중산동 고분군,울산 북구,울산광역시 북구 중산동,129.3376675,35.66143599,실패
92,무제치늪,울산 울주군,울산광역시 울주군 삼동면 조일리 일원,129.1426272,35.46103695,실패
96,정자.당사마을,울산 북구,울산광역시 북구 산업로,129.3522006,35.60849085,실패
104,홍류폭포,울산 울주군,울산광역시 울주군 상북면 등억리,129.0700437,35.55612578,실패
107,태화강,울산 중구,울산광역시 중구 내오산로 67,129.37,35.537273,실패
108,일산마을,울산 동구,울산광역시 동구 일산동,129.4313636,35.49907835,실패
109,선바위(입암),울산 울주군,울산광역시 울주군 범서읍,129.2110222,35.57029188,실패
113,과개안(너븐개) 해안,울산 동구,울산광역시 동구 등대로 일산동,129.432764,35.489401,실패
116,목도,울산 울주군,울산광역시 울주군 온산읍 당목길,129.3563008,35.4431072,실패
118,우가산유포봉수대,울산 북구,울산광역시 북구 당사동,129.4600927,35.58992694,실패
123,고헌산(울산),울산 울주군,울산광역시 울주군 언양읍,129.087072,35.64654,실패
