name,region,address,Latitude,Longitude
선유도,전북 군산시,전라북도 군산시 옥도면 선유남길 34-22,35.8100216,126.4122853
전주한옥마을 [슬로시티],전북 전주시,전라북도 전주시 완산구 어진길 29,35.8175162,127.1530223
지리산 허브밸리,전북 남원시,전라북도 남원시 운봉읍 바래봉길 214,35.4349278,127.5485758
광한루원,전북 남원시,전라북도 남원시 요천로 1447,35.4032881,127.3794357
내변산,전북 부안군,전라북도 부안군 변산면 내변산로 232,35.6518559,126.5474748
선유도해수욕장 (명사십리 해수욕장),전북 군산시,전라북도 군산시 옥도면,35.6709622,126.4965411
장수누리파크,전북 장수군,전라북도 장수군 장수읍 논개사당길 65,35.6417779,127.5284198
우화정(내장산),전북 정읍시,전라북도 정읍시 내장산로 936,35.4933352,126.9278556
동국사(군산),전북 군산시,전라북도 군산시 동국사길 16,35.9827115,126.7076657
보리나라 학원농장,전북 고창군,전라북도 고창군 공음면 학원농장길 158-6,35.3763158,126.5428108
선운사(고창),전북 고창군,전라북도 고창군 아산면 선운사로 250,35.4969385,126.5782255
무주 구천동 33경,전북 무주군,전라북도 무주군 설천면 백련사길 580,35.860082,127.7663099
채석강 (전북 서해안권 국가지질공원),전북 부안군,전라북도 부안군 변산면 격포리,35.6126119,126.4699182
용담호,전북 진안군,전라북도 진안군 안천면 안용로 747,35.9451629,127.5285936
한국도로공사수목원,전북 전주시,전라북도 전주시 덕진구 번영로 462-45,35.8704513,127.0537178
부귀 메타세쿼이아길,전북 진안군,전라북도 진안군 부귀면 모래재로 841,35.8142757,127.3225357
내장산 국립공원,전북 정읍시,전라북도 정읍시 내장산로 936,35.4933352,126.9278556
고창읍성,전북 고창군,전라북도 고창군 고창읍 모양성로 1,35.4304606,126.704482
원연장 꽃잔디마을,전북 진안군,전라북도 진안군 진안읍 정곡길 5-7,35.7808564,127.3909826
내장산국립공원,전북 순창군,전라북도 순창군 복흥면,35.4321399,126.9297562
마이산도립공원,전북 진안군,전라북도 진안군 진안읍 마이산로 255,35.7663331,127.4151117
교룡산국민관광지,전북 남원시,전라북도 남원시 산성순환길 714,35.4279564,127.3643162
무주머루와인동굴,전북 무주군,전라북도 무주군 적상면 산성로 359,35.9653618,127.6968881
무주 반디랜드,전북 무주군,전라북도 무주군 설천면 무설로 1324,36.0111137,127.758702
남원 아담원,전북 남원시,전라북도 남원시 이백면 목가길 193,35.4403247,127.4765231
향적봉(덕유산),전북 무주군,전라북도 무주군 설천면,36.0081479,127.7896811
무녀도?선유도,전북 군산시,전라북도 군산시 옥도면,35.6709622,126.4965411
새만금,전북 부안군,전라북도 부안군 변산면 새만금로 6,35.6971014,126.5591772
경기전,전북 전주시,전라북도 전주시 완산구 태조로 44,35.8153146,127.1497569
군산 신흥동 일본식가옥(히로쓰 가옥),전북 군산시,전라북도 군산시 구영1길 17,35.98622,126.7061525
구 서도역,전북 남원시,전라북도 남원시 사매면 서도길 32,35.490728,127.3293058
장자도,전북 군산시,전라북도 군산시 옥도면 장자도1길 26-2,35.8099032,126.3965768
대아수목원,전북 완주군,전라북도 완주군 동상면 대아수목로 94-34,35.9843467,127.3142561
창포마을,전북 완주군,전라북도 완주군 고산면 대아저수로 385,35.9872433,127.2589071
내소사(부안),전북 부안군,전라북도 부안군 진서면 내소사로 243,35.6175898,126.5873648
익산 미륵사지 [유네스코 세계유산],전북 익산시,전라북도 익산시 금마면 미륵사지로 362,36.0108304,127.0282197
매월당,전북 남원시,전라북도 남원시 금지면 매촌길 47-34,35.3487386,127.2729395
격포해변,전북 부안군,전라북도 부안군 변산면 변산해변로 29-14,35.6298706,126.4701193
무주리조트 관광곤도라,전북 무주군,전라북도 무주군 설천면 만선로 185,35.8893667,127.7389493
이영춘가옥,전북 군산시,전라북도 군산시 동개정길 7,35.9706234,126.7602242
진포해양테마공원,전북 군산시,전라북도 군산시 내항1길 12,35.9902016,126.7152852
구시포 해수찜월드,전북 고창군,전라북도 고창군 상하면 진암구시포로 540,35.4459359,126.4366761
대둔산도립공원(전북),전북 완주군,전북 완주군 운주면 산북리,36.109414,127.3329433
곰소염전,전북 부안군,전라북도 부안군 진서면 진서리,35.605324,126.614309
"덕유산국립공원(본소,적상분소)",전북 무주군,전라북도 무주군 설천면 구천동1로 159,35.9006559,127.7751251
"방화동 자연휴양림,가족휴가촌",전북 장수군,전라북도 장수군 번암면 방화동로 778,35.5928311,127.5285956
군산 해망굴,전북 군산시,전라북도 군산시 군산창2길 48,35.9912502,126.7048504
춘향테마파크,전북 남원시,전라북도 남원시 양림길 14-9,35.4016267,127.3867338
변산자연휴양림,전북 부안군,전라북도 부안군 변산면 변산로 3768,35.5819221,126.5254029
오목대와 이목대,전북 전주시,전라북도 전주시 완산구 기린대로 55,35.8138103,127.1540973
마이산 탑사,전북 진안군,전라북도 진안군 마령면 마이산남로 367,35.7584764,127.411269
전주 풍패지관,전북 전주시,전라북도 전주시 완산구 충경로 59,35.8183209,127.1452331
구시포해수욕장,전북 고창군,전라북도 고창군 상하면 자룡리,35.4403206,126.441601
전주전동성당,전북 전주시,전라북도 전주시 완산구 태조로 51,35.8134083,127.149495
강천산 군립공원,전북 순창군,전라북도 순창군 팔덕면 강천산길 97,35.4087639,127.0675247
덕진공원,전북 전주시,전라북도 전주시 덕진구 권삼득로 390,35.8480368,127.1222124
김제 벽골제,전북 김제시,전라북도 김제시 부량면 벽골제로 442,35.7529497,126.852423
정읍 내장산 관광특구,전북 정읍시,전라북도 정읍시 내장동,35.4954377,126.9138423
완주 삼례문화예술촌,전북 완주군,전라북도 완주군 삼례읍 삼례역로 81-13,35.9060596,127.0661671
월명공원,전북 군산시,전라북도 군산시 월명공원1길 26-3,35.9894702,126.7026794
국립 운장산자연휴양림,전북 진안군,전라북도 진안군 정천면 휴양림길 77,35.8947554,127.4257541
남원관광단지,전북 남원시,전라북도 남원시 양림길 43,35.4022413,127.3900991
운일암 반일암 계곡,전북 진안군,전라북도 진안군 주천면 동상주천로 1926,35.978507,127.4013022
전주 풍남문,전북 전주시,전라북도 전주시 완산구 풍남문3길 1,35.813494,127.1475931
고산자연휴양림,전북 완주군,전라북도 완주군 고산면 고산휴양림로 246,35.9596666,127.2355162
강천사계곡,전북 순창군,전북 순창군 팔덕면,35.391576,127.0971321
적벽강 (전북 서해안권 국가지질공원),전북 부안군,전라북도 부안군 변산면 격포리,35.6126119,126.4699182
변산반도국립공원,전북 부안군,전라북도 부안군 변산면 실상길,35.6407782,126.579428
전주동물원,전북 전주시,전라북도 전주시 덕진구 소리로 68,35.8561158,127.1446737
선운산 (전북 서해안권 국가지질공원),전북 고창군,전라북도 고창군 아산면 선운사로 158-6,35.502533,126.5866689
