name,region,address
이사부길(새천년해안도로),강원 삼척시,강원도 삼척시 새천년도로 61-18
홍천 은행나무숲,강원 홍천군,강원도 홍천군 내면 광원리 686-4
원대리 자작나무 숲 (속삭이는 자작나무 숲),강원 인제군,강원도 인제군 인제읍 자작나무숲길 760
해피초원목장,강원 춘천시,강원도 춘천시 사북면 춘화로 330-48
남이섬,강원 춘천시,강원도 춘천시 남산면 남이섬길 1
원주 소금산 출렁다리,강원 원주시,강원도 원주시 지정면 소금산길 12
병방치 스카이워크,강원 정선군,강원도 정선군 정선읍 병방치길 225
강릉 경포해수욕장,강원 강릉시,강원도 강릉시 창해로 514
설악산국립공원,강원 속초시,강원도 속초시 설악산로 833
하늬라벤더팜,강원 고성군,강원도 고성군 간성읍 꽃대마을길 175
대관령 양떼목장,강원 평창군,강원도 평창군 대관령면 대관령마루길 483-32
강릉 경포대,강원 강릉시,강원도 강릉시 경포로 365
점봉산 곰배령,강원 인제군,강원도 인제군 기린면 곰배령길 12
추암 출렁다리,강원 동해시,강원도 동해시 촛대바위길 28
소양강 스카이워크,강원 춘천시,강원도 춘천시 영서로 2675
외옹치해변,강원 속초시,강원도 속초시 해오름로 83
낙산사,강원 양양군,강원도 양양군 강현면 낙산사로 100
고성 통일전망타워,강원 고성군,강원도 고성군 현내면 금강산로 481
강릉커피거리,강원 강릉시,강원도 강릉시 창해로14번길 20-1
장호항,강원 삼척시,강원도 삼척시 근덕면 장호항길 103
알파카월드,강원 홍천군,강원도 홍천군 화촌면 덕밭재길 146-155
송정해변(송정해수욕장),강원 강릉시,강원도 강릉시 송정길30번안길 20-3
별마로천문대,강원 영월군,강원도 영월군 영월읍 천문대길 397
안목해변,강원 강릉시,강원도 강릉시 창해로14번길 20-1
하슬라아트월드,강원 강릉시,강원도 강릉시 강동면 율곡로 1441
오죽헌,강원 강릉시,강원도 강릉시 율곡로3139번길 24
백룡동굴 (강원고생대 국가지질공원),강원 평창군,강원도 평창군 미탄면 문희길 63
월정사·월정사 전나무숲,강원 평창군,강원도 평창군 진부면 오대산로 374-8
제이드가든 수목원,강원 춘천시,강원도 춘천시 남산면 햇골길 80
척산온천지구,강원 속초시,강원도 속초시 관광로 288
수로부인 헌화공원 (남화산 해맞이공원),강원 삼척시,강원도 삼척시 원덕읍 임원항구로 33-17
속초해변,강원 속초시,강원도 속초시 해오름로 190
안반데기 마을,강원 강릉시,강원도 강릉시 왕산면 안반데기길 428
영금정,강원 속초시,강원도 속초시 동명항길 35
삼척해상케이블카,강원 삼척시,강원도 삼척시 근덕면 삼척로 2154-31
허브나라농원,강원 평창군,강원도 평창군 봉평면 흥정계곡길 225
대관령 관광특구,강원 평창군,강원도 평창군
추암 촛대바위,강원 동해시,강원도 동해시 촛대바위길 28
강원도 탄광문화촌,강원 영월군,강원도 영월군 북면 밤재로 351
하이원리조트,강원 정선군,강원도 정선군 고한읍 하이원길 424
춘천 옥산가(옥광산),강원 춘천시,강원도 춘천시 동면 금옥길 228
아바이마을,강원 속초시,강원도 속초시 청호로 122-1
송지호 해안 서낭바위 (강원평화지역 국가지질공원),강원 고성군,강원도 고성군 죽왕면
영진해변,강원 강릉시,강원도 강릉시 연곡면
대금굴 (대이리 동굴지대),강원 삼척시,강원도 삼척시 신기면 환선로 800
대관령 하늘목장,강원 평창군,강원도 평창군 대관령면 꽃밭양지길 458-23
소돌아들바위공원,강원 강릉시,강원도 강릉시 주문진읍 주문리
강릉 선교장,강원 강릉시,강원도 강릉시 운정길 63
한반도지형 (강원고생대 국가지질공원),강원 영월군,강원도 영월군 한반도면 한반도로 555
국립횡성숲체원,강원 횡성군,강원도 횡성군 둔내면 청태산로 777
간현관광지,강원 원주시,강원도 원주시 지정면 소금산길 26
속초 엑스포타워,강원 속초시,강원도 속초시 엑스포로 72
묵호항,강원 동해시,강원도 동해시 묵호동 15-133
환선굴 (대이리 동굴지대),강원 삼척시,강원도 삼척시 신기면 환선로 800
천곡황금박쥐동굴,강원 동해시,강원도 동해시 동굴로 50
오대산 소금강계곡,강원 강릉시,강원도 강릉시 연곡면
국립 청태산자연휴양림,강원 횡성군,강원도 횡성군 둔내면 청태산로 610
구봉산 전망대 카페거리,강원 춘천시,강원도 춘천시 동면 순환대로 1154-113
설악산국립공원(남설악),강원 양양군,강원도 양양군 서면 약수길
무릉계곡,강원 동해시,강원도 동해시 삼화로 538
울산바위촬영휴게소,강원 고성군,강원도 고성군 토성면 미시령로 2653
강릉 명주동 거리,강원 강릉시,강원도 강릉시 명주동
삼양목장,강원 평창군,강원도 평창군 대관령면 꽃밭양지길 708-9
강원도립화목원,강원 춘천시,강원도 춘천시 화목원길 24
민둥산,강원 정선군,강원도 정선군 남면 민둥산로 12
속초 등대전망대,강원 속초시,강원도 속초시 영금정로5길 8-28
강릉 모래내 한과마을(갈골한과),강원 강릉시,강원도 강릉시 사천면 한과마을길 20
강릉 솔향수목원,강원 강릉시,강원도 강릉시 구정면 구정중앙로 92-177
고씨굴 (강원고생대 국가지질공원),강원 영월군,강원도 영월군 김삿갓면 영월동로 1117
아우라지,강원 정선군,강원도 정선군 여량면 아우라지길 69
화진포의 성(김일성별장),강원 고성군,강원도 고성군 거진읍 화진포길 280
