name,region,tel,keyword,photo
화담숲,경기 광주시,031-8026-6666,"['가족여행', '겨울가볼만한곳', '겨울여행', '겨울힐링', '곤지암리조트', '관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2dabdaad-c17c-4e3a-a417-5d20d677e024&thumb
포천아트밸리와 포천석 (한탄강 국가지질공원),경기 포천시,031-538-3483 031-538-2312,"['19_20한국관광100선', '가족여행', '경기', '관광지', '국가지질공원', '기획공연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9d294ae2-f234-4c74-a5ae-e0168b4c95ea&thumb
헤이리 예술마을,경기 파주시,070-7704-1665,"['15_16한국관광100선', '17_18한국관광100선', '공연', '관광지', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4924c8ff-84c8-4bb0-a8f2-faf80ce4f138&thumb
파주 임진각(평화누리공원),경기 파주시,031-956-8300,"['DMZ', '관광지', '수도권', '안보여행', '언택트관광지_100선', '역사', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d400d3d7-b39c-44e0-b8a4-e57abeec6043&thumb
시흥 갯골생태공원,경기 시흥시,031-488-6900,"['가족과함께', '걷기길', '관광지', '생태관광', '수도권', '시흥갯골생태공원', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dc846ae2-87af-44e2-930c-0362b9c129c8&thumb
아침고요수목원,경기 가평군,1544-6703,"['17_18한국관광100선', '19_20한국관광100선', '가평아침고요수목원', '경기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=38129651-c16e-4b54-beb7-fb90c38157ce&thumb
안성팜랜드,경기 안성시,031-8053-7979,"['가족여행', '걷기여행', '관광지', '농장체험', '산책하기', '산책하기좋은곳', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=077dd697-8b92-4493-aeb7-ac9723cacc00&thumb
바람새마을 소풍정원,경기 평택시,031-668-4815,"['가볼만한곳', '가족과함게', '관광지', '남녀노소', '사진찍기좋은곳', '소풍공원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ad79336f-958c-492c-911b-d6b430b2730b&thumb
잣향기푸른숲,경기 가평군,031-8008-6769,"['가족여행', '관광지', '사계절', '수도권', '숲체험원', '언택트관광지_100선', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=567b4943-6ab4-42ae-8ede-f3288c4e5bd3&thumb
동두천자연휴양림,경기 동두천시,031-860-3259,"['가족과함께', '관광지', '국내힐링여행', '남녀노소', '언택트관광지_100선', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0357aea3-d7ad-4e10-b123-216011f2c213&thumb
남양주 물의정원,경기 남양주시,031-590-2783,"['걷기길', '걷기여행', '관광지', '남녀노소', '반려견과함께', '반려견동반여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1c45478d-d898-4249-8576-9391055b846d&thumb
양평 두물머리,경기 양평군,031-770-1001,"['가족여행', '관광지', '드라마촬영지', '생태관광지', '수도권', '양평두물머리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=230ab8f9-b2eb-4c7f-a713-44d249e321b4&thumb
퍼스트가든,경기 파주시,031-957-6861,"['관광지', '수도권', '연중무휴', '자연', '퍼스트가든']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e97d7e25-4397-43c7-861e-9228bbc06837&thumb
행주산성,경기 고양시,031-8075-4652,"['가족여행', '관광지', '나들이', '당일치기여행', '등산로', '서울근교여행', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2284fffb-8a03-46cb-b8b2-2cc17443d6e2&thumb
곤지암리조트 힐링캠퍼스,경기 광주시,031-8026-6777,"['가족과함께', '관광지', '국내힐링여행', '언택트관광지_100선', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a2af8141-aee1-4087-a2ff-c8de790ce65b&thumb
오이도,경기 시흥시,031-310-2332,"['관광지', '국가사적', '수도권', '야간관광100선', '오이도', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6b490c19-528c-420c-b76a-b2756d3238cb&thumb
감악산 출렁다리,경기 파주시,031-940-4617,"['경치좋은곳', '관광지', '안보관광', '연인과함께', '자연속으로', '자연여행', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=172be4b1-9f42-4501-ac68-b42945db3a77&thumb
화성행궁,경기 수원시,031-228-4677,"['관광지', '수도권', '야간관광100선', '역사관광지', '역사를품은곳', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5b085b9f-c0ad-4e9f-88aa-07b7318c4d3b&thumb
설봉공원,경기 이천시,031-634-6770 031-631-6501,"['가족여행', '걷기길', '걷기여행', '관광지', '사계절', '서울근교여행', '설봉공원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d50d31d0-c8b1-49d4-8287-309c948c2161&thumb
파주DMZ,경기 파주시,031-953-4744,"['19_20한국관광100선', 'DMZ', '경기', '경기평화센터', '관광지', '도라전망대']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8ee8e69d-ae0f-4832-a335-78fa0b325d86&thumb
동탄호수공원,경기 화성시,031-5189-6232,"['가족과함께', '관광지', '데이트명소', '산책하기', '산책하기좋은곳', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6381f41d-fe07-45e7-b360-4148ba8aa361&thumb
마장호수,경기 파주시,031-940-4724,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c1c42209-909e-4837-bf3e-0b9e344a6f99&thumb
쁘띠프랑스,경기 가평군,031-584-8200,"['감성사진', '관광지', '드라마촬영지', '쁘띠프랑스', '사진찍기', '사진찍기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cf580ad3-8404-436f-b593-bd84a5fc2582&thumb
포천 허브아일랜드,경기 포천시,031-535-6494,"['가족여행', '관광지', '수도권', '수목원', '자연좋은곳', '체험', '포천허브아일랜드']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=19200723-ecc9-4b20-965b-7f137b6a525b&thumb
방화수류정(동북각루),경기 수원시,031-228-4676,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화관광', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=74257679-5c5a-4cd6-87e0-8e51a1f729a1&thumb
포천 한탄강 하늘다리,경기 포천시,031-538-3124,"['걷기코스', '경기권', '경치좋은곳', '관광지', '사진찍기좋은곳', '사진촬영명소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9be090ba-a0cd-4f78-a8e7-c23bd7238a2d&thumb
국립수목원(광릉숲),경기 포천시,031-540-2000,"['17_18한국관광100선', '가족여행', '관광지', '국립수목원광릉숲', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=048974a5-64ab-40f3-ab9e-fbc8fb78818b&thumb
에버랜드,경기 용인시,031-320-5000,"['15_16한국관광100선', '17_18한국관광100선', '19_20한국관광100선', '2019년4월_Tmap추천_여행예보']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0fa32cf2-0334-4c97-a3ba-aaf738eadd25&thumb
명성산,경기 포천시,031-538-3342,"['관광지', '등산', '등산객', '등산여행', '등산코스', '명성산', '수도권', '자연', '자연관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=44307e00-4f90-476f-8f8f-4023f34f7527&thumb
오두산 통일전망대,경기 파주시,031-956-9600,"['관광지', '수도권', '아이와함께', '역사이야기', '오두산통일전망대', '이산가족']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f2eaaeff-fa91-4f44-b1ec-a786f530f2cf&thumb
