name,region,address
화담숲,경기 광주시,경기도 광주시 도척면 도척윗로 278-1
포천아트밸리와 포천석 (한탄강 국가지질공원),경기 포천시,경기도 포천시 신북면 아트밸리로 234
헤이리 예술마을,경기 파주시,경기도 파주시 탄현면 헤이리마을길 82-105
파주 임진각(평화누리공원),경기 파주시,경기도 파주시 문산읍 임진각로 177
시흥 갯골생태공원,경기 시흥시,경기도 시흥시 동서로 287
아침고요수목원,경기 가평군,경기도 가평군 상면 수목원로 432
안성팜랜드,경기 안성시,경기도 안성시 공도읍 대신두길 28
바람새마을 소풍정원,경기 평택시,경기도 평택시 고덕면 궁리
잣향기푸른숲,경기 가평군,경기도 가평군 상면 축령로 289-146
동두천자연휴양림,경기 동두천시,경기도 동두천시 탑동가산로 1
남양주 물의정원,경기 남양주시,경기도 남양주시 조안면 북한강로 398
양평 두물머리,경기 양평군,경기도 양평군 양서면 두물머리길
퍼스트가든,경기 파주시,경기도 파주시 탑삭골길 260
행주산성,경기 고양시,경기도 고양시 덕양구 행주로15번길 89
곤지암리조트 힐링캠퍼스,경기 광주시,경기도 광주시 도척면 도척윗로 278
오이도,경기 시흥시,경기도 시흥시 오이도로 175
감악산 출렁다리,경기 파주시,경기도 파주시 적성면 설마리 48-6
화성행궁,경기 수원시,경기도 수원시 팔달구 정조로 825
설봉공원,경기 이천시,경기도 이천시 경충대로2709번길 152
파주DMZ,경기 파주시,경기도 파주시 문산읍 임진각로 148-53
동탄호수공원,경기 화성시,경기도 화성시 동탄순환대로 67
마장호수,경기 파주시,경기도 파주시 광탄면 기산로 365
쁘띠프랑스,경기 가평군,경기도 가평군 청평면 호반로 1063
포천 허브아일랜드,경기 포천시,경기도 포천시 신북면 청신로947번길 35
방화수류정(동북각루),경기 수원시,경기도 수원시 팔달구 정조로 910
포천 한탄강 하늘다리,경기 포천시,경기도 포천시 영북면 비둘기낭길 207
국립수목원(광릉숲),경기 포천시,경기도 포천시 소흘읍 광릉수목원로 415
에버랜드,경기 용인시,경기도 용인시 처인구 포곡읍 에버랜드로 199
명성산,경기 포천시,경기도 포천시 이동면 도평리
오두산 통일전망대,경기 파주시,경기도 파주시 탄현면 필승로 369
수원 화성 [유네스코 세계문화유산],경기 수원시,경기도 수원시 장안구 수성로 320
대부도 바다향기 수목원,경기 안산시,경기도 안산시 단원구 대부황금로 399
풍도,경기 안산시,경기도 안산시 단원구 풍도길 28
율암온천숯가마 테마파크,경기 화성시,경기도 화성시 팔탄면 온천로 434-14
벽초지수목원,경기 파주시,경기도 파주시 광탄면 부흥로 242
한국민속촌,경기 용인시,경기도 용인시 기흥구 민속촌로 90
선인장다육식물연구소(구 선인장연구소),경기 고양시,경기도 고양시 일산서구 송산로 464-52
남한산성도립공원 [유네스코 세계문화유산],경기 광주시,경기도 광주시 남한산성면 남한산성로 731
광명동굴,경기 광명시,경기도 광명시 가학로85번길 142
한택식물원,경기 용인시,경기도 용인시 처인구 백암면 한택로 2
이천 부래미마을,경기 이천시,경기도 이천시 율면 금율로640번길 177
신북리조트 스프링폴,경기 포천시,경기도 포천시 신북면 청신로 571
어비계곡,경기 가평군,경기도 가평군 설악면 어비산길99번길 9-10
마장호수 출렁다리,경기 파주시,경기도 파주시 광탄면 기산로 313
판문점,경기 파주시,경기도 파주시 군내면
행주산성 역사공원,경기 고양시,경기도 고양시 덕양구 행주외동 140-8
국화도,경기 화성시,경기도 화성시 우정읍 국화길 8
덕평공룡수목원,경기 이천시,경기도 이천시 마장면 작촌로 282
경인아라뱃길유람선 현대크루즈호,경기 김포시,경기도 김포시 고촌읍 아라육로270번길 74
국립 산음자연휴양림,경기 양평군,경기도 양평군 단월면 고북길 347
별빛정원우주,경기 이천시,경기도 이천시 호법면 단천리
스포츠몬스터 고양,경기 고양시,경기도 고양시 덕양구 고양대로 1955
나인포레스트 이화원,경기 가평군,경기도 가평군 가평읍 자라섬로 64
포천 산정호수,경기 포천시,경기도 포천시 영북면 산정호수로411번길 89
월화원,경기 수원시,경기도 수원시 팔달구 인계동
백운계곡 (한탄강 국가지질공원),경기 포천시,경기도 포천시 이동면 도평리
프로방스 마을,경기 파주시,경기도 파주시 탄현면 새오리로 69
안양예술공원,경기 안양시,경기도 안양시 만안구 예술공원로 131
포천 어메이징파크,경기 포천시,경기도 포천시 신북면 탑신로 860
우음도,경기 화성시,경기도 화성시 송산면 고정리
수리산도립공원,경기 군포시,경기도 군포시 산본동
서울대공원,경기,경기도 과천시 대공원광장로 102
에델바이스 스위스테마파크,경기 가평군,경기도 가평군 설악면 다락재로 226-57
고양 관광특구,경기 고양시,경기도 고양시 일산서구 가좌1로 10
"여주 영릉(英陵)세종대왕)과 영릉(寧陵)효종,인선왕후) [유네스코 세계문화유산]",경기 여주시,경기도 여주시 능서면 영릉로 269-50
축령산자연휴양림,경기 남양주시,경기도 남양주시 수동면 축령산로 299
세미원,경기 양평군,경기도 양평군 양서면 양수로 93
한탄강 관광지,경기 연천군,경기도 연천군 전곡읍 선사로 76
캐리비안베이,경기 용인시,경기도 용인시 처인구 포곡읍 에버랜드로 199
테르메덴,경기 이천시,경기도 이천시 모가면 사실로 984
화성 베어팜,경기 화성시,경기도 화성시 정남면 정송길23번길 18
경기도립 물향기수목원,경기 오산시,경기도 오산시 청학로 211
스파플러스,경기 이천시,경기도 이천시 중리천로115번길 45
안산갈대습지공원,경기 안산시,경기도 안산시 상록구 해안로 820-116
송암스페이스센터,경기 양주시,경기도 양주시 장흥면 권율로185번길 103
일영허브랜드,경기 양주시,경기도 양주시 장흥면 일영로 346-26
김포 대명항,경기 김포시,경기도 김포시 대곶면 대명항1로 107-1
파주이이유적,경기 파주시,경기도 파주시 법원읍 자운서원로 204
양평 들꽃수목원,경기 양평군,경기도 양평군 양평읍 수목원길 16
평택호관광단지,경기 평택시,경기도 평택시 현덕면 평택호길 159
자라섬,경기 가평군,경기도 가평군 가평읍 자라섬로 60
호명호수공원,경기 가평군,경기 가평군 청평면 상천리
일산호수공원,경기 고양시,경기도 고양시 일산동구 호수로 595
감악산(파주),경기 양주시,경기도 파주시 적성면 감골길 48
도라전망대,경기 파주시,경기도 파주시 장단면 제3땅굴로 310
여주참숯마을,경기 여주시,경기도 여주시 강천면 걸촌동길 40
안성허브마을,경기 안성시,경기도 안성시 삼죽면 국사봉로 641-12
신륵사(여주),경기 여주시,경기도 여주시 신륵사길 73
포천 아우라지 베개용암 (한탄강 국가지질공원),경기 포천시,경기도 포천시 창수면 신흥리
용인자연휴양림,경기 용인시,경기도 용인시 처인구 모현읍 초부로 220
쥬라기랜드,경기,경기도 과천시 광명로 181
대부도 종현마을,경기 안산시,경기도 안산시 단원구 구봉길 240
산들소리수목원,경기 남양주시,경기도 남양주시 불암산로59번길 48-31
천진암 성지,경기 광주시,경기도 광주시 퇴촌면 천진암로 1203
용문산 관광지,경기 양평군,경기도 양평군 용문면 신점리
제부도 해안산책로(제비꼬리길),경기 화성시,경기도 화성시 서신면 제부리
궁평항,경기 화성시,경기도 화성시 서신면
백운호수,경기 의왕시,경기도 의왕시 백운로 485-4
재인폭포 (한탄강 국가지질공원),경기 연천군,경기도 연천군 연천읍 부곡리
캠프 그리브스,경기 파주시,경기도 파주시 군내면 적십자로 137
부천식물원,경기 부천시,경기도 부천시 길주로 660
편백숲 힐링토피아,경기 성남시,경기도 성남시 수정구 달래내로 375
우농타조농장,경기 파주시,경기도 파주시 교하로 595-36
서해대교,경기 평택시,경기도 평택시 포승읍
쇠꼴마을,경기 파주시,경기도 파주시 법원읍 술이홀로1333번길
심학산 산림공원,경기 파주시,경기도 파주시 동패동
청평호반,경기 가평군,경기도 가평군 설악면 유명로 1906-15
가평 연인산마을,경기 가평군,경기도 가평군 북면 백둔로 417-11
리틀빅아이 자유숲놀이터,경기 양주시,경기도 양주시 장흥면 일영로327번길 185-77
다산유적지(남양주),경기 남양주시,경기도 남양주시 조안면 다산로747번길 11
파주 DMZ 생태연구소,경기 파주시,경기도 파주시 회동길 145
김포 장릉(인헌왕후) [유네스코 세계문화유산],경기 김포시,경기도 김포시 장릉로 79
이천 산수유마을,경기 이천시,경기도 이천시 백사면 원적로775번길 17
도예공방 들꽃마을,경기 이천시,경기도 이천시 신둔면 도자예술로5번길 95
연천 호로고루,경기 연천군,경기도 연천군 장남면 원당리
광주 곤지암도자공원,경기 광주시,경기도 광주시 곤지암읍 경충대로 727
팔당호,경기 광주시,경기도 광주시 남종면
고구려대장간마을 (태왕사신기 촬영장),경기 구리시,경기도 구리시 우미내길
제3땅굴,경기 파주시,경기도 파주시 군내면 제3땅굴로
구리시민한강공원(코스모스공원),경기 구리시,경기도 구리시 토평동
화성 공룡알 화석지,경기 화성시,경기도 화성시 송산면 공룡로 659
몽골문화촌,경기 남양주시,경기도 남양주시 수동면 비룡로 1635
스포츠몬스터 하남,경기 하남시,경기도 하남시 미사대로 750
모꼬지마을,경기 양평군,경기도 양평군 용문면 중원산로 76
원당종마목장 (렛츠런팜 원당),경기 고양시,경기도 고양시 덕양구 서삼릉길 233-112
화도하수처리장 피아노폭포,경기 남양주시,경기도 남양주시 화도읍
소요산국민관광지,경기 동두천시,경기도 동두천시 평화로2910번길 145
고양 서오릉 [유네스코 세계문화유산],경기 고양시,경기도 고양시 덕양구 서오릉로 334-32
평택시 송탄 관광특구,경기 평택시,경기도 평택시 중앙시장로 32
차탄천 주상절리 (한탄강 국가지질공원),경기 연천군,경기도 연천군 연천읍 통현리
서울랜드,경기,경기도 과천시 광명로 181
형도,경기 화성시,경기도 화성시 송산면 독지리
화성 우리꽃식물원,경기 화성시,경기도 화성시 팔탄면 3.1만세로 777-17
모산목장,경기 파주시,경기도 파주시 탄현면 검산로519번길 6-36
용인 8경,경기 용인시,경기도 용인시 기흥구 동탄기흥로 923
한화리조트 산정호수 온천,경기 포천시,경기도 포천시 영북면 산정호수로 402
기아자동차 소하리공장,경기 광명시,경기도 광명시 기아로 113
청평자연휴양림,경기 가평군,경기도 가평군 청평면 북한강로2246번길 8-6
태풍전망대,경기 연천군,경기도 연천군 중면 횡산리
김포국제조각공원,경기 김포시,경기도 김포시 월곶면 용강로13번길 38
용소폭포,경기 가평군,경기도 가평군 북면 조무락골길 132
악티바,경기 광주시,경기도 광주시 곤지암읍 경충대로 729
파주 출판도시,경기 파주시,경기도 파주시 회동길 145
전곡항,경기 화성시,경기도 화성시 서신면 전곡항로
오이도 음식문화거리,경기 시흥시,경기도 시흥시 뒷방울길 80
두물머리 애벌레 생태학교,경기 양평군,경기도 양평군 양서면 두물머리길 108-22
이천 자채방아마을,경기 이천시,경기도 이천시 대월면 대월로358번길 168-24
배다골테마파크,경기 고양시,경기도 고양시 덕양구 배다골길 131
용문사(용문산),경기 양평군,경기도 양평군 용문면 용문산로 782
제부도 모세거리,경기 화성시,경기도 화성시 서신면 제부리
은아목장,경기 여주시,경기도 여주시 가남읍 금당5길 139
1.21 무장공비 침투로,경기 연천군,경기도 연천군 장남면 반정리 294
봉선사(경기),경기 남양주시,경기도 남양주시 진접읍 봉선사길 32
누에섬 등대전망대,경기 안산시,경기도 안산시 단원구 선감동
기아자동차 화성공장,경기 화성시,경기도 화성시 우정읍 기아자동차로 95
부천 동물테마파크 하이주,경기 부천시,경기도 부천시 원미구 길주로 105
자유의 다리(파주),경기 파주시,경기도 파주시 문산읍 임진각로 148-53
양평 황순원문학촌 소나기마을,경기 양평군,경기도 양평군 서종면 소나기마을길 24
일동제일유황온천,경기 포천시,경기도 포천시 일동면 화동로 1210
의정부 부대찌개거리,경기 의정부시,경기도 의정부시 호국로1309번길 7
연꽃테마파크,경기 시흥시,경기도 시흥시 관곡지로 139
화성식염온천,경기 화성시,경기도 화성시 장안면 황골길 56-1
구리 동구릉 [유네스코 세계문화유산],경기 구리시,경기도 구리시 동구릉로 197
국립 유명산자연휴양림,경기 가평군,경기도 가평군 설악면 유명산길 79-53
다산생태공원,경기 남양주시,경기도 남양주시 조안면 다산로 767
보정동카페거리,경기 용인시,경기도 용인시 기흥구 보정동
여주온천,경기 여주시,경기도 여주시 강천면 강문로 864
곤지암리조트,경기 광주시,경기도 광주시 도척면 도척윗로 278
명지계곡,경기 가평군,경기도 가평군 북면 적목리
이천도예마을,경기 이천시,경기도 이천시 신둔면 경충대로3150번길 19
분당 정자동 카페거리,경기 성남시,경기도 성남시 분당구 정자동
내동마을 연꽃단지,경기 용인시,경기도 용인시 처인구 원삼면 내동로23번길 6
삼성화재 교통박물관,경기 용인시,경기도 용인시 처인구 포곡읍 에버랜드로376번길 171
나혜석거리,경기 수원시,경기도 수원시 팔달구 인계동
양평 산수유 농어촌 인성학교,경기 양평군,경기도 양평군 개군면 산수유꽃길 88
장흥자생수목원,경기 양주시,경기도 양주시 장흥면 권율로309번길 167-35
수미마을,경기 양평군,경기도 양평군 단월면 수미길52번길 2-1
양주 회암사지,경기 양주시,경기도 양주시 회암동
광주 산두른마을 [농촌전통테마],경기 광주시,경기도 광주시 도척면 추곡길 38
포천 산사원,경기 포천시,경기도 포천시 화현면 화동로432번길 25
"남양주 홍릉(고종과 명성황후)과 유릉(순종과 순명,순정 황후) [유네스코 세계문화유산]",경기 남양주시,경기도 남양주시 홍유릉로 352-1
포도향이 흐르는 마을,경기 가평군,경기도 가평군 상면 음지말로 6
여주 해바라기마을,경기 여주시,경기도 여주시 강천면 부평로 368
죽주산성,경기 안성시,경기도 안성시 죽산면 죽양대로 111-71
용인호박등불마을,경기 용인시,경기도 용인시 처인구 모현읍 능곡로56번길 39
은행식물원 (은행자연관찰원),경기 성남시,경기도 성남시 중원구 은행로 72
안성 서일농원,경기 안성시,경기도 안성시 일죽면 금일로 332-17
유명산계곡,경기 가평군,경기도 가평군 설악면 유명산길
고양 서삼릉(장경왕후) [유네스코 세계문화유산],경기 고양시,경기도 고양시 덕양구 서삼릉길 233-126
고대산,경기 연천군,경기도 연천군 신서면 평화로 3282-108
중미산자연휴양림,경기 양평군,경기도 양평군 옥천면 중미산로 1152
안성맞춤랜드,경기 안성시,경기도 안성시 보개면 남사당로 196-31
대부도 방아머리 먹거리타운,경기 안산시,경기도 안산시 단원구 대부북동
"화성 융릉(장조,헌경왕후)과 건릉(정조,효의왕후) [유네스코 세계문화유산]",경기 화성시,경기도 화성시 효행로481번길 21
제부도해수욕장,경기 화성시,경기도 화성시 서신면 해안길 260
안산 다문화특구,경기 안산시,경기도 안산시 단원구 다문화길 16
제부도,경기 화성시,경기도 화성시 서신면 제부말길 96
여주 넓은들마을 [농촌체험],경기 여주시,경기도 여주시 능서면 월평로 389
수동국민관광지,경기 남양주시,경기도 남양주시 수동면 비룡로 1635
평화랜드,경기 파주시,경기도 파주시 문산읍 임진각로 148-39
와우정사(용인),경기 용인시,경기도 용인시 처인구 해곡로 25-15
서울우유 안산공장,경기 안산시,경기도 안산시 단원구 성곡로 153
화성어차,경기 수원시,경기도 수원시 팔달구 정조로 825
새둥지마을,경기 연천군,경기도 연천군 백학면 노아로491번길 86
일산 동물의 왕국,경기 고양시,경기도 고양시 일산서구 장수길 23
더그림,경기 양평군,경기도 양평군 옥천면 사나사길 175
가나아트파크,경기 양주시,경기도 양주시 장흥면 권율로 117
대부도,경기 안산시,경기도 안산시 단원구 대부중앙로 97-9
경기미래교육 파주캠퍼스,경기 파주시,경기도 파주시 탄현면 얼음실로 40
갱매폭포,경기,경기도 과천시 막계동
태산패밀리파크,경기 김포시,경기도 김포시 하성면 하성로 585
화성 월문온천,경기 화성시,경기도 화성시 팔탄면 버들로1597번길 5
남한산성 전통음식마을,경기 광주시,경기도 광주시 남한산성면 남한산성로 731
웃다리문화촌,경기 평택시,경기도 평택시 서탄면 용소금각로 438-14
양평 민물고기 생태학습관,경기 양평군,경기도 양평군 용문면 상광길 23-2
아쿠아필드 고양,경기 고양시,경기도 고양시 덕양구 고양대로 1955
연천 나룻배마을,경기 연천군,경기도 연천군 왕징면 북삼로 98
파주 맛고을 음식문화거리,경기 파주시,경기도 파주시 탄현면
별빛마을포토랜드,경기 안산시,경기도 안산시 상록구 수인로 1723
심곡서원,경기 용인시,경기도 용인시 수지구 심곡로 16-9
전곡리 유적 토층 (한탄강 국가지질공원),경기 연천군,경기도 연천군 전곡읍 양연로 1510
여주 황포돛배,경기 여주시,경기도 여주시 강변유원지길 105
안산식물원,경기 안산시,경기도 안산시 상록구 성호로 113
율동공원,경기 성남시,경기도 성남시 분당구 문정로 145
소요산탑유황온천,경기 동두천시,경기도 동두천시 장고갯로 161-35
누리천문대,경기 군포시,경기도 군포시 대야2로 139
사나사 계곡,경기 양평군,경기도 양평군 옥천면 용천로 1082-12
