name,region,tel,keyword,photo
합천 영상테마파크,경남 합천군,055-930-3744,"['가족여행', '경상권', '관광지', '드라마촬영지', '아이와함께', '연인과함께', '영상테마파크']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=16229e76-6fba-4732-863d-ee9abd6788f3&thumb
매미성,경남 거제시,055-639-4178,"['경상권', '관광지', '매미성', '바다', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0b09c40f-2588-4c12-bfb7-d29295f96aab&thumb
외도 보타니아,경남 거제시,055-681-4541,"['19_20한국관광100선', '가족여행', '경남', '경상권', '관광지', '데이트장소추천']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=eaf16c1a-3eb3-4a5e-9619-08b318ff2d48&thumb
바람의 언덕,경남 거제시,055-639-4178,"['17_18한국관광100선', '19_20한국관광100선', '거제바람의언덕', '경남']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3536738e-f36a-48f2-b6fd-4f9bd7ecf119&thumb
섬이정원,경남 남해군,010-2255-3577,"['SNS감성사진', '가족과함께', '감성사진', '경치좋은곳', '관광지', '사진찍기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7e9d216c-bfba-4b58-bd37-e6acf5991374&thumb
독일마을,경남 남해군,055-867-8897,"['19_20한국관광100선', '경상권', '관광지', '교과서속여행', '기차여행', '나들이']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6c0b1908-db4d-4b91-b1a2-74d94c037bfa&thumb
만어사,경남 밀양시,055-356-2010,"['경상권', '관광지', '만어사', '불교', '불교문화', '사찰', '사찰여행', '역사', '역사유적지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1f7d68af-1674-4272-922a-02d3de777709&thumb
가천 다랭이마을,경남 남해군,010-4590-4642,"['15_16한국관광100선', '가족여행', '가천다랭이마을', '경남', '경상권', '경상권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2f50ccea-ec3f-4784-a4e7-a6198c11cbf0&thumb
거제도 포로수용소 유적공원,경남 거제시,055-639-0625,"['가족과함께', '거제도포로수용소유적공원', '관광지', '교과서속여행', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2bc56c2d-f614-4aa9-ae9e-eaca28ce23bb&thumb
매물도,경남 통영시,055-650-4681,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a78daad9-7b01-47f6-a19b-13841ac9d5e9&thumb
금산 보리암(남해),경남 남해군,055-860-5800,"['가족여행', '관광지', '금산보리암', '불교', '불교문화', '사찰', '사찰&산사', '사찰여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=019d2e36-ffdb-4390-aaa3-6d4a898794ca&thumb
경화역 벚꽃길,경남 창원시,055-289-8815,"['감성사진', '경상권', '경화역벚꽃길', '관광지', '데이트코스', '벚꽃명소', '사진찍기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d1cc6d87-9bc9-4339-ac65-f52ee2fbbf7a&thumb
수선사,경남 산청군,055-973-1096,"['관광지', '국내힐링여행', '산책하기좋은곳', '언택트관광지_100선', '자연관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d4f4e937-a419-4392-8101-96791d758a43&thumb
