name,region,address
경주 동궁과 월지,경북 경주시,경상북도 경주시 원화로 102
부석사[유네스코 세계문화유산],경북 영주시,경상북도 영주시 부석면 부석사로 345
하옥계곡,경북 포항시,경상북도 포항시 북구 죽장면
월영교,경북 안동시,경상북도 안동시 상아동
진남교반,경북 문경시,경상북도 문경시 마성면 신현리
낙강물길공원,경북 안동시,경상북도 안동시 상아동
오어사(포항),경북 포항시,경상북도 포항시 남구 오천읍 오어로 1
등기산스카이워크,경북 울진군,경상북도 울진군 후포면
삼사해상공원 (삼사해상산책로),경북 영덕군,경상북도 영덕군 강구면 해상공원길 120-7
경주 보문관광단지,경북 경주시,경상북도 경주시 신평동
국립백두대간수목원,경북 봉화군,경상북도 봉화군 춘양면 춘양로 1501
경주 불국사 [유네스코 세계문화유산],경북 경주시,경상북도 경주시 불국로 385
경주 대릉원 일원,경북 경주시,경상북도 경주시 계림로 9
경주 첨성대,경북 경주시,경상북도 경주시 첨성로 140-25
안동 하회마을 [유네스코 세계문화유산],경북 안동시,경상북도 안동시 풍천면 하회리 1176-1
경주월드 어뮤즈먼트,경북 경주시,경상북도 경주시 보문로 544
호미곶 해맞이광장,경북 포항시,경상북도 포항시 남구 호미곶면 해맞이로150번길 20
벌영리 메타세콰이어길,경북 영덕군,경상북도 영덕군 영해면
성주 경산리 성밖숲,경북 성주군,경상북도 성주군 성주읍 경산리
울릉도,경북 울릉도,경상북도 울릉군 서면 태하길 236
덕구온천스파월드,경북 울진군,경상북도 울진군 북면 덕구온천로 924
가실성당,경북 칠곡군,경상북도 칠곡군 왜관읍 가실1길 1
경주 교촌마을,경북 경주시,경상북도 경주시 교촌길 39-2
울진 해안도로,경북 울진군,경상북도 울진군 근남면 망양정로 971
경주 양동마을 [유네스코 세계문화유산],경북 경주시,경상북도 경주시 강동면 양동마을길 93
낙동강 경천대(경천대 전망대),경북 상주시,경상북도 상주시 사벌면 삼덕리
경주 석굴암 [유네스코 세계문화유산],경북 경주시,경상북도 경주시 불국로 873-243
독도,경북 울릉도,경상북도 울릉군 울릉읍 독도이사부길 55
주왕산국립공원,경북 청송군,경상북도 청송군 주왕산면 공원길 169-7
농암종택,경북 안동시,경상북도 안동시 도산면 가송길 162-133
행남 해안산책로,경북 울릉도,경상북도 울릉군 울릉읍 도동리
청송 얼음골 (청송 국가지질공원),경북 청송군,경상북도 청송군 주왕산면 내룡리
영주 무섬마을,경북 영주시,경상북도 영주시 문수면 무섬로234번길 31-12
문경에코랄라,경북 문경시,경상북도 문경시 가은읍 왕능길 114
구룡포 일본인 가옥거리,경북 포항시,경상북도 포항시 남구 구룡포읍 구룡포길 153-1
울진 금강소나무 숲길,경북 울진군,경상북도 울진군 근남면 울진북로 245-5
백두대간협곡열차(V-트레인),경북 봉화군,경상북도 봉화군 소천면 분천길 49
포항운하,경북 포항시,경상북도 포항시 남구 희망대로 1040
천마총(대릉원),경북 경주시,경상북도 경주시 계림로 9
영덕해맞이공원,경북 영덕군,경상북도 영덕군 영덕읍 영덕대게로 968
경주 문무대왕릉,경북 경주시,경상북도 경주시 양북면 동해안로 1366-9
부용대,경북 안동시,경상북도 안동시 풍천면 광덕솔밭길 72
경주 계림,경북 경주시,경상북도 경주시 교동 1
주산지 (청송 국가지질공원),경북 청송군,경상북도 청송군 주왕산면 주산지리
경상북도수목원,경북 포항시,경상북도 포항시 북구 죽장면 수목원로 647
백암온천 관광특구,경북 울진군,경상북도 울진군
만휴정,경북 안동시,경상북도 안동시 길안면 묵계하리길 42
문경새재도립공원,경북 문경시,경상북도 문경시 문경읍 새재로 932
예천 백두대간 파워스팟,경북 예천군,경상북도 예천군 용문면 용문사길 285-30
죽변항,경북 울진군,경상북도 울진군 죽변면
경주 동궁원,경북 경주시,경상북도 경주시 보문로 74-14
군위 장곡자연휴양림,경북 군위군,경상북도 군위군 고로면 장곡휴양림길 195
안동호반자연휴양림,경북 안동시,경상북도 안동시 도산면 동부리 36
고래불해수욕장,경북 영덕군,경상북도 영덕군 병곡면 고래불로 394
망양정,경북 울진군,경상북도 울진군 근남면 산포리
경주 버드파크,경북 경주시,경상북도 경주시 보문로 74-14
도산서원 [유네스코 세계문화유산],경북 안동시,경상북도 안동시 도산면 도산서원길 154
소수서원 [유네스코 세계문화유산],경북 영주시,경상북도 영주시 순흥면 소백로 2740
예천 출렁다리마을,경북 예천군,경상북도 예천군 용문면 용문경천로 826
빙계계곡,경북 의성군,경상북도 의성군 춘산면
군위 화산산성 전망대,경북 군위군,경상북도 군위군 고로면 장곡휴양림길 195
월정교,경북 경주시,경상북도 경주시 교촌안길 31
울진 후포항,경북 울진군,경상북도 울진군 후포면 등기산길 29
문경종합온천,경북 문경시,경상북도 문경시 문경읍 온천2길 24
경주세계문화엑스포공원,경북 경주시,경상북도 경주시 경감로 614
팔공산도립공원(갓바위지구),경북 경산시,경상북도 경산시 와촌면
구산해수욕장,경북 울진군,경상북도 울진군 기성면 기성로 108
빙계서원,경북 의성군,경상북도 의성군 춘산면 빙계계곡길 80
국립 검마산자연휴양림,경북 영양군,경상북도 영양군 수비면 검마산길 191
병산서원 [유네스코 세계문화유산],경북 안동시,경상북도 안동시 풍천면 병산길 386
반딧불이 천문대,경북 영양군,경상북도 영양군 수비면 반딧불이로 129
한화리조트 백암온천,경북 울진군,경상북도 울진군 온정면 온천로 129-13
성류굴 (경북 동해안 국가지질공원),경북 울진군,경상북도 울진군 근남면 성류굴로 225
경주국립공원,경북 경주시,경상북도 경주시 천북남로 12
국립산림치유원,경북 영주시,경상북도 영주시 봉현면 테라피로 209
국립김천치유의숲,경북 김천시,경상북도 김천시 증산면 수도길 1237-89
"봉래폭포 (울릉도, 독도 국가지질공원)",경북 울릉도,경상북도 울릉군 울릉읍 도동리
