name,region,address
대구 달성공원,대구 중구,대구광역시 중구 달성공원로 35
수성못 유원지,대구 수성구,대구광역시 수성구 용학로 35-5
국채보상운동기념공원,대구 중구,대구광역시 중구 국채보상로 670
경상감영공원,대구 중구,대구광역시 중구 경상감영길 99
대구수목원,대구 달서구,대구광역시 달서구 화암로 342
용연사(대구),대구 달성군,대구광역시 달성군 옥포면 용연사길 260
옥연지 송해공원,대구 달성군,대구광역시 달성군 옥포읍
김광석 길 (김광석다시그리기길),대구 중구,대구광역시 중구 달구벌대로450길
이월드,대구 달서구,대구광역시 달서구 두류공원로 200
안지랑 곱창골목,대구 남구,대구광역시 남구 안지랑로16길 67
대구앞산공원,대구 남구,대구광역시 남구 앞산순환로 574-87
대구 근대골목(근대로의 여행),대구 중구,대구광역시 중구 경상감영길 99
사문진 주막촌,대구 달성군,대구광역시 달성군 화원읍 사문진로1길 40-12
아양기찻길,대구 동구,대구광역시 동구 해동로 82
도동서원 [유네스코 세계문화유산],대구 달성군,대구광역시 달성군 구지면 구지서로 726
팔공산 케이블카,대구 동구,대구광역시 동구 팔공산로185길 51
고산골 메타쉐콰이어길,대구 남구,대구광역시 남구 용두2길 43
팔공산자연공원(동화사지구),대구 동구,대구광역시 동구 팔공산로199길 6-1
동촌유원지,대구 동구,대구광역시 동구 효동로2길 72
바운스 트램폴린파크(대구신세계점),대구 동구,대구광역시 동구 효신로 88
북지장사(대구),대구 동구,대구광역시 동구 도장길 243
부인사(대구),대구 동구,대구광역시 동구 팔공산로 967-28
동화사(대구),대구 동구,대구광역시 동구 동화사1길 1
대구 옻골마을,대구 동구,대구광역시 동구 둔산동
서봉사,대구 남구,대구광역시 남구 명덕로54길 31
마비정 벽화마을,대구 달성군,대구광역시 달성군 화원읍 마비정길 259
대견사,대구 달성군,대구광역시 달성군 유가읍 일연선사길 177
이월드 83타워,대구 달서구,대구광역시 달서구 두류공원로 200
육신사,대구 달성군,대구광역시 달성군 하빈면 육신사길 64
EBS 리틀소시움,대구 북구,대구광역시 북구 유통단지로 90
대구 불로동 고분군,대구 동구,대구광역시 동구 불로동
대구 평화시장 닭똥집 골목,대구 동구,대구광역시 동구 아양로9길 10
앞산전망대 (앞산케이블카),대구 남구,대구광역시 남구 앞산순환로 574-114
대구 계산동성당,대구 중구,대구광역시 중구 서성로 10
대구 오토바이골목,대구 중구,대구광역시 중구 인교동
대구 스파밸리,대구 달성군,대구광역시 달성군 가창면 가창로 891
대구두류공원,대구 달서구,대구광역시 달서구 두류공원로 161
대구시민안전테마파크,대구 동구,대구광역시 동구 팔공산로 1155
안일사(대구),대구 남구,대구광역시 남구 대명동
땅땅랜드(대구 봉무동),대구 동구,대구광역시 동구 팔공로 220-2
이상화 고택,대구 중구,대구광역시 중구 서성로 6-1
성화사,대구 달서구,대구광역시 달서구 장기로12길 10
서부 오미(味)가미(味)거리,대구 서구,대구광역시 서구 국채보상로75길 25-1
고산골,대구 남구,대구광역시 남구 고산3길 95-1
대구 하중도,대구 북구,대구광역시 북구 노곡동 665
디아크문화관,대구 달성군,대구광역시 달성군 다사읍 강정본길 57
신숭겸장군유적,대구 동구,대구광역시 동구 신숭겸길 17
대구 진골목,대구 중구,대구광역시 중구 진골목길 26
비슬산자연휴양림,대구 달성군,대구광역시 달성군 유가면 휴양림길 230
대구 약령시 한의약박물관,대구 중구,대구광역시 중구 달구벌대로415길 49
아이니테마파크(대구 스타디움점),대구 수성구,대구광역시 수성구 유니버시아드로 140
선교사스윗즈주택,대구 중구,대구광역시 중구 달구벌대로 2029
녹동서원,대구 달성군,대구광역시 달성군 가창면 우록길 218
대구 중구 골목투어버스 (청라버스),대구 중구,대구광역시 북구 태평로 161
인동촌 아나고골목,대구 서구,대구광역시 서구 북비산로74길 49
팔공산온천관광호텔(온천),대구 동구,대구광역시 동구 팔공산로185길 11
금용사(대구),대구 달서구,대구광역시 달서구 공원순환로 213
달성하목정,대구 달성군,대구광역시 달성군 하빈면 하목정길 56-10
이천동 99계단 벽화마을,대구 남구,대구광역시 남구 이천로29길 28-1
대구향교,대구 중구,대구광역시 중구 명륜로 112
대구 달성습지,대구 달성군,대구광역시 달성군 다사읍 죽곡리
대구 도동 측백나무 숲,대구 동구,대구광역시 동구 도평로
관음사(대구),대구 동구,대구광역시 동구 둔산로 535
서상돈 고택,대구 중구,대구광역시 중구 서성로 6-1
낙빈서원,대구 달성군,대구광역시 달성군 하빈면 묘동4길 21
모명재,대구 수성구,대구광역시 수성구 달구벌대로525길 14-21
팔공산자연공원(파계사지구),대구 동구,대구광역시 동구 파계로 741
공룡공원,대구 남구,대구광역시 남구 용두2길 43
상리공원,대구 서구,대구광역시 서구 중리동
파계사,대구 동구,대구광역시 동구 파계로 741
가창 찐빵 골목,대구 달성군,대구광역시 달성군 가창면 가창로 1099
읍내동 마애불상,대구 북구,대구광역시 북구 칠곡중앙대로129길 169-3
남평문씨본리세거지,대구 달성군,대구광역시 달성군 화원읍 인흥3길 16
와룡산(대구),대구 달서구,대구광역시 달서구 선원로33안길 66
대구 녹색에너지체험관,대구 달서구,대구광역시 달서구 성서공단로 52
대구경북디자인센터,대구 동구,대구광역시 동구 동대구로 461
영남제일관,대구 수성구,대구광역시 수성구 팔현길 248
달성 삼가헌 고택,대구 달성군,대구광역시 달성군 하빈면 묘동4길 15
