name,region,tel,keyword,photo
장태산자연휴양림,대전 서구,042-270-7883,"['가족여행', '관광지', '나들이', '데이트코스', '산림욕장', '아이와함께', '언택트관광지_100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7d0b63b0-5ebb-48f0-bbca-0555a6654546&thumb
상소동 산림욕장,대전 동구,042-251-4771,"['관광지', '상소동산림욕장', '언택트관광지_100선', '자연', '충청권', '휴양여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=65fccc67-2193-4541-902d-073e5719e4dc&thumb
대동하늘공원,대전 동구,042-251-6672,"['경치좋은곳', '관광지', '남녀노소', '사진찍기좋은곳', '사진촬영명소', '산책길']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=480c12ba-8baa-4888-804d-b246395dc98d&thumb
장동산림욕장,대전 대덕구,042-623-9909,"['가족여행', '걷기길', '관광지', '나들이', '연인과함께', '자연', '자연&숲', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f99d98f6-7712-454b-8da4-ad65a48a7edb&thumb
유성온천지구,대전 유성구,042-611-2076,"['가족여행', '관광지', '연중무휴', '유성온천지구', '충청권', '휴식공간', '휴식여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0c44fff9-0896-43f2-8ef2-39ef64848efd&thumb
뿌리공원,대전 중구,042-288-8310,"['가족여행', '관광지', '기념탑', '뿌리공원', '아이와함께', '언택트관광지_100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3d263990-c6c3-413e-826b-3682e1f5add4&thumb
식장산(식장산 문화공원),대전 동구,042-861-1330,"['관광지', '언택트관광지_100선', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=684cf76e-e570-4a9e-962e-f5dfa2fa45ce&thumb
한밭수목원,대전 서구,042-270-8452,"['걷기길', '관광지', '생태관광', '생태관광지', '수목원', '충청권', '한밭수목원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=187fe034-82a5-4e0f-97b8-3cc2705d7831&thumb
국립대전현충원,대전 유성구,042-718-7114,"['가족여행', '관광지', '국립대전현충원', '기념관', '순국선열', '아이와함께', '언택트관광지_100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f4f32980-1081-4880-a254-08f2d4f8762c&thumb
한밭수목원,대전 서구,042-270-8452,"['가족여행', '걷기길', '관광지', '나들이', '언택트관광지_100선', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f2453bd3-8e19-4d8f-b1eb-ae12c7c6d33e&thumb
대전엑스포과학공원,대전 유성구,042-250-1111,"['가족여행', '가족체험여행', '관광지', '대전엑스포과학공원', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=51cd1e55-ba64-4e55-8cfe-ed71e2029899&thumb
스카이로드,대전 중구,042-252-7100,"['관광지', '남녀노소', '대전스카이로드', '문화공간', '문화행사', '복합문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cb0bbee7-4927-4796-a458-18a4d6e097e9&thumb
대전오월드,대전 중구,042-580-4820,"['가족과함께', '관광지', '남녀노소', '놀이기구', '대전가볼만한곳', '대전오월드']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=814be342-fb16-4216-b33b-c26eef5ae82e&thumb
발명교육센터 창의발명체험관,대전 유성구,042-601-4458,"['가족과함께', '관광지', '교육', '교육여행', '교육프로그램', '문화교육', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2b19fe4f-7ec7-43ad-8670-d308fe955d77&thumb
만인산 자연휴양림,대전 동구,042-270-8660,"['가족과함께', '관광지', '국내힐링여행', '만인산', '언택트관광지_100선', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a79cc552-a0eb-41fe-8908-2d1a40cdfc09&thumb
솔로몬 로파크,대전 유성구,042-323-8800,"['가족여행', '관광지', '솔로몬로파크', '아이와함께', '이색체험', '주말추천여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6e24e68c-f3d5-4f3f-837e-f58ad8429823&thumb
대전시민천문대,대전 유성구,042-863-8763,"['가족과함께', '관광지', '교육여행', '대전가볼만한곳', '대전시민천문대', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cdbf5cfb-e92f-4ea1-9981-93aaa19ad1ca&thumb
무수천하마을,대전 중구,042-285-5557,"['가족과함께', '관광지', '농촌', '농촌체험', '농촌체험마을', '농촌체험여행', '농촌체험학습']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=22dea110-977c-4bd9-8841-be1acc6f9b01&thumb
추동인공생태습지,대전 동구,042-861-1330,"['가족여행', '걷기길', '관광지', '생태관광', '생태관광지', '아이와함께', '인생샷']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5a3504ec-8a48-4fc9-a5cd-a347315fa78f&thumb
대흥동 문화예술의거리,대전 중구,042-606-6281,"['관광지', '대흥동문화예술의거리', '문화예술공간', '복합문화공간', '산책하기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1ac99b35-e309-4b9d-a6b1-3c843534c9aa&thumb
대청호,대전 대덕구,042-251-4748,"['관광지', '산책코스', '산책하기좋은곳', '아이와함께', '자연', '자연속으로', '자연여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9c4d22a2-9559-4d60-b1af-4d299a5187ad&thumb
보문산공원,대전 중구,042-581-3516,"['관광지', '단풍여행', '등산로', '보문산공원', '사찰', '산사', '산책길', '산책하기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3347192a-2879-44b9-b6d3-5c94aa2050df&thumb
우암사적공원,대전 동구,042-673-9286,"['가족여행', '걷기길', '관광지', '교과서속여행', '산책길', '산책하기', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1bb9b153-9fc0-4bdc-89f3-9604c280aecc&thumb
금강로하스대청공원,대전 대덕구,042-608-5573,"['가족여행', '관광지', '금강로하스대청공원', '나들이', '당일치기여행', '산책길']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1a52c5d2-5722-451a-bafc-f093d450c52f&thumb
대전 계족산성,대전 대덕구,042-608-6574,"['걷기길', '계족산', '관광지', '교과서속여행', '대전계족산성', '아이와함께', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ade42d09-b7fc-49f6-98d5-7c4add41da9d&thumb
만인산푸른학습원,대전 동구,042-270-8651,"['관광지', '만인산푸른학습원', '이색체험', '자연', '자연학습장', '충청권', '휴양여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6beacfd8-3a69-4654-923a-03e7170c4b90&thumb
구봉산(대전),대전 서구,042-861-1330,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=68013da1-cab3-443b-b19e-d739c0620039&thumb
장태산자연휴양림,대전 서구,042-270-7883,"['관광지', '생태관광', '생태관광지', '장태산', '주말추천여행지', '충청권', '힐링']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ae891555-ce30-40eb-9cc6-14a342336a81&thumb
남간정사,대전 동구,042-662-2363,"['관광지', '교과서속여행', '남간정사', '문화재', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b671207e-e96a-4ec0-8274-6bc1a60afd63&thumb
국가핵융합연구소,대전 유성구,042-879-6218,"['견학', '관광지', '국가핵융합연구소', '산업관광', '신재생에너지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f6940b39-7454-4901-a887-6a134e43e487&thumb
대전교통문화연수원,대전 유성구,042-250-1445,"['가족체험여행', '겨울방학가볼만한곳', '관광지', '대전교통문화연수원', '여름방학가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2e2d7252-b668-4cb4-b456-f7e55667b160&thumb
"월평, 신탄진, 송촌 정수장(물사랑학교)",대전 서구,042-715-6344,"['견학', '관광지', '물사랑학교', '물사랑학교정수장', '산업관광', '이색체험', '정수장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dc26f27e-cc88-47c9-9afe-0a7f9e866273&thumb
진잠향교,대전 유성구,042-611-2078,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4b987ca7-70ab-47cc-9e3a-bc21f21423be&thumb
유성 관광특구,대전 유성구,042-611-2126,"['가족체험여행', '관광지', '기념관', '꽃여행', '마을축제', '무형문화재', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2d181beb-ffed-41aa-9c2f-18461403c52d&thumb
둔산선사유적지,대전 서구,042-288-2716,"['관광지', '교과서속여행', '둔산선사유적지', '아이와함께', '역사', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=76fd4dc4-3af2-44e1-b4ea-6e2db9237b40&thumb
사교루,대전 유성구,042-611-2078,"['관광지', '교과서속여행', '사교루', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=eba6b22f-5285-4091-bb00-f53ea0efd273&thumb
내원사(대전),대전 서구,042-531-3901,"['관광지', '대전내원사', '불교', '불교문화', '사찰', '사찰여행', '역사', '연중무휴']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bf5b27a7-efa7-45f2-a05f-ca56cd377c68&thumb
대청댐 물문화관,대전 대덕구,042-930-7332,"['관광지', '대청댐', '대청댐물문화관', '물문화관', '아이와함께', '이색체험', '체험학습']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=05b66ec9-9f03-447c-87e5-915109d49d27&thumb
