name,region,tel,keyword,photo
서울식물원,서울 강서구,02-120,"['가족과함께', '관광지', '교육여행', '미세먼지_피하는_실내여행', '식물원', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e6c84522-fd74-4233-80ea-e17cbf15edfb&thumb
동대문역사문화공원,서울 중구,02-2266-7188,"['가족여행', '걷기좋은길', '관광지', '데이트코스', '동대문역사문화공원', '사계절']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=783a2a83-0f81-4ee0-ba14-b09b70e20603&thumb
경복궁,서울 종로구,02-3700-3900,"['15_16한국관광100선', '17_18한국관광100선', '19_20한국관광100선', '가족여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=37631288-6624-4b59-ac1d-c6080c903345&thumb
서울숲,서울 성동구,02-460-2905,"['가족여행', '걷기길', '관광지', '데이트코스', '생태관광지', '서울숲', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e3112656-9a09-459c-883a-c701bfd62fcc&thumb
남산서울타워,서울 용산구,02-3455-9277,"['19_20한국관광100선', '가족여행', '관광지', '나홀로여행', '남산서울타워']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=206ac91c-27f9-4ec7-9cb8-3539bc206c17&thumb
서울 경교장,서울 종로구,02-735-2038,"['건축물', '건축사', '건축여행', '관광지', '교과서속여행', '근대건축', '근대건축물']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=60156676-81a8-4c0c-8ece-f16156be3dae&thumb
북촌한옥마을,서울 종로구,02-2148-4161,"['가족여행', '관광지', '나홀로여행', '당일치기여행', '데이트코스', '도심여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=faa8c18d-8fcb-4771-bffc-c5173b45c5ce&thumb
롯데월드,서울 송파구,1661-2000,"['17_18한국관광100선', '19_20한국관광100선', '가족여행', '관광지', '놀이동산']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=25f5083f-3d6f-4154-905f-0383b5de8c47&thumb
낙산공원,서울 종로구,02-743-7985,"['가족여행', '관광지', '나들이', '낙산공원', '데이트코스', '드라이브여행', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b31c26b8-d95d-4bce-920a-18e18e765258&thumb
삼성산성지,서울 관악구,02-875-2271,"['관광지', '산책길', '산책하기', '산책하기좋은곳', '역사', '역사공부', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0ace0861-3953-46e9-a26b-1448e757d3c5&thumb
덕수궁,서울 중구,02-771-9951,"['15_16한국관광100선', '17_18한국관광100선', '19_20한국관광100선', '가족여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e5add16c-1c2b-4d66-906e-9db36d3fad36&thumb
대림동 차이나타운,서울 영등포구,02-2670-1419,"['관광지', '맛집골목', '맛집여행', '맛집투어', '먹자골목', '수타짜장면', '유명중국집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7b96df43-d3cb-4660-9531-070789d91efe&thumb
명동,서울 중구,02-778-0333,"['15_16한국관광100선', '17_18한국관광100선', '19_20한국관광100선', '관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1ec32eb6-aac2-4c5a-9e56-9ac1c817afd6&thumb
월드컵공원,서울 마포구,02-300-5501,"['가족여행', '관광지', '산책하기', '산책하기좋은곳', '수도권', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2b0985f1-6501-4401-821e-582c87880469&thumb
