name,region,tel,keyword,photo
대왕암공원,울산 동구,052-209-3738,"['걷기길', '경상권', '경치좋은곳', '관광지', '대왕암공원', '산책하기좋은곳', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ea6f6c81-8751-4c2d-a634-115eb62cd651&thumb
태화강 국가정원,울산 중구,052-229-6142,"['관광지', '나홀로여행', '산책길', '산책하기', '산책하기좋은곳', '자연', '자연관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7685b215-fa23-4783-8cb5-07148e90042b&thumb
자수정 동굴나라,울산 울주군,052-254-1515,"['겨울여행', '경상권', '관광지', '미세먼지탈출_이색동굴여행', '아이와함께', '여름여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e3a289f7-2aa3-410f-bfed-68dab15d573b&thumb
일산해수욕장(울산),울산 동구,052-209-4470,"['가족여행', '관광지', '바다풍경', '아이와함께', '여름방학가볼만한곳', '여름여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=faecd5a7-7358-461a-85cb-e1f532b71b7b&thumb
간절곶 등대,울산 울주군,052-239-6313,"['간절곶등대', '경상권', '관광지', '데이트코스', '바다풍경', '연인과함께', '인생샷']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ac1491f5-8e71-4484-b60c-58455cd7453d&thumb
국립대운산치유의숲,울산 울주군,052-255-9800,"['가족과함께', '관광지', '국립휴양림', '숲체험', '언택트관광지_100선', '울산가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=095862ff-e5af-453b-aba5-cc0da96d1386&thumb
장생포 고래문화마을,울산 남구,052-226-0980,"['가족과함께', '경상권', '관광지', '박물관', '생태관광지', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a733ee64-93c3-4cbe-b5fe-a0552ae4b60c&thumb
영남 알프스,울산 울주군,052-277-0101,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=778d2ad6-11a4-4eb4-9bb2-70c931fd0aa6&thumb
울산대공원,울산 남구,052-271-8816,"['가족과함께', '가족나들이', '관광지', '데이트코스', '산책길', '산책하기', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2b9b30bf-e7c1-4194-a314-17dfc566e825&thumb
선암호수공원,울산 남구,052-226-4851,"['가족여행', '걷기길', '걷기여행', '경상권', '관광지', '나들이', '봄나들이', '산책길']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=044eb043-035f-46f1-a5e7-a8984e06d8f5&thumb
울산대교 전망대,울산 동구,052-209-3345,"['가족과함께', '경치좋은곳', '관광지', '남녀노소', '사진찍기좋은곳', '야간관광100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7432eb5c-5c0c-4b50-b3c4-c9e61c09b8f2&thumb
편백산림욕장,울산 북구,010-4127-0100,"['가족과함께', '관광지', '국내힐링여행', '언택트관광지_100선', '자연', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f018965f-fa47-4315-966b-6b1865fd750a&thumb
현대자동차 울산공장,울산 북구,052-215-2232,"['견학', '견학프로그램', '경상권', '공장견학', '관광지', '교육여행', '산업관광']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=31accfe2-c05c-4136-b423-b234a7c288d7&thumb
울주 대곡리 반구대 암각화,울산 울주군,052-277-0101,"['경상권', '관광지', '나홀로여행', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=eb53108b-23a2-49cf-b05f-c4a52d8bd38a&thumb
