name,region,address
대왕암공원,울산 동구,울산광역시 동구 등대로 140
태화강 국가정원,울산 중구,울산광역시 중구 태화동
자수정 동굴나라,울산 울주군,울산광역시 울주군 삼남면 자수정로 112
일산해수욕장(울산),울산 동구,울산광역시 동구 해수욕장10길 18
간절곶 등대,울산 울주군,울산광역시 울주군 서생면 간절곶1길 39-2
국립대운산치유의숲,울산 울주군,울산광역시 울주군 온양읍 대운상대길 225-92
장생포 고래문화마을,울산 남구,울산광역시 남구 장생포고래로 271-1
영남 알프스,울산 울주군,울산광역시 울주군 상북면 알프스온천5길 103-8
울산대공원,울산 남구,울산광역시 남구 대공원로 94
선암호수공원,울산 남구,울산광역시 남구 선암호수길 104
울산대교 전망대,울산 동구,울산광역시 동구 봉수로 155-1
편백산림욕장,울산 북구,울산광역시 북구 달천동 산 175
현대자동차 울산공장,울산 북구,울산광역시 북구 염포로 700
울주 대곡리 반구대 암각화,울산 울주군,울산광역시 울주군 언양읍
태화강,울산 남구,울산광역시 남구 무거동
작천정계곡(작괘천),울산 울주군,울산 울주군 삼남면
장생포 고래바다여행선,울산 남구,울산광역시 남구 장생포고래로 244
슬도,울산 동구,울산광역시 동구 방어동
외고산 옹기마을,울산 울주군,울산광역시 울주군 온양읍 외고산3길 36
한방테마파크 초락당,울산 울주군,"울산광역시 울주군 두동면 계명로 44-34
"
울산 12경,울산 중구,울산광역시 남구 태화동
석남사(울산),울산 울주군,울산광역시 울주군 상북면 석남로 557
강동 해수온천,울산 북구,울산광역시 북구 동해안로 1418
울산 소리체험관,울산 동구,울산광역시 동구 성끝길 103
주전몽돌해변,울산 동구,울산광역시 동구 주전동
등억온천단지,울산 울주군,울산광역시 울주군 상북면 알프스온천로 197
울산체육공원,울산 남구,울산광역시 남구 문수로 44
진하해수욕장,울산 울주군,울산광역시 울주군 서생면 진하리
울산 귀신고래 회유해면,울산 남구,울산광역시 남구 장생포동
태화강동굴피아,울산 남구,울산광역시 남구 남산로 306
강동 화암 주상절리,울산 북구,울산광역시 북구 화암길
울산대공원 동물원,울산 남구,울산광역시 남구 대공원로 94
발리온천,울산 울주군,울산광역시 울주군 온양읍 상발2길 34
처용암,울산 남구,울산광역시 남구 황성동
울주 천전리 각석,울산 울주군,울산광역시 울주군 두동면 천전리
울산 문화의거리,울산 중구,울산광역시 중구 옥교동
울산 대왕암길,울산 동구,울산광역시 동구
울산테마식물수목원,울산 동구,울산광역시 동구 쇠평길 33-1
석남사계곡,울산 울주군,울산광역시 울주군 상북면
태화루,울산 중구,울산광역시 중구 태화로 300
