name,region,tel,keyword,photo
백수해안도로,전남 영광군,061-350-5600,"['경치좋은곳', '관광지', '드라이브여행', '드라이브코스', '바다경치', '백수해안도로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1cefc156-72e7-4eb7-a8bf-7654eb9be29f&thumb
담양 메타세쿼이아길,전남 담양군,061-380-3149,"['가족여행', '걷기길', '관광지', '담양메타세쿼이아길', '데이트코스', '드라이브여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4ba76470-3388-4b95-9907-d8172c1cf1db&thumb
"순천만습지 (구, 순천만자연생태공원)",전남 순천시,061-749-6052,"['2011', '가족여행', '걷기길', '관광지', '생태관광', '생태관광지', '수상내역', '순천만습지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0a7df637-1733-4dc6-9383-e0a70f0f0b3b&thumb
오동도,전남 여수시,061-659-1819,"['가족여행', '관광지', '바다풍경', '생태관광지', '섬여행', '연중무휴', '오동도']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2de654a7-70dd-4edf-85aa-37c393efdb72&thumb
여수 해상케이블카,전남 여수시,061-664-7301,"['가족과함께', '관광지', '바다풍경', '야간관광100선', '야경투어', '여수가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b2e9885d-8daf-49e4-842d-7dff77540fc1&thumb
향일암(여수),전남 여수시,061-644-4742,"['15_16한국관광100선', '관광지', '나홀로여행', '바다풍경', '불교', '불교문화']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b026cf18-7d53-47e9-af1a-327e03600cfb&thumb
가우도,전남 강진군,061-430-3114,"['2020_휴가철찾아가고싶은_33섬', '가우도', '관광지', '등산', '레포츠체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=23293458-f8ed-4595-ae91-320fd686c040&thumb
죽녹원,전남 담양군,061-380-2680,"['가족여행', '관광지', '담양죽녹원', '생태관광지', '숲체험원', '연중무휴', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ad4a81c3-6750-4efa-9d34-1eb128a5dce5&thumb
광양 매화마을,전남 광양시,061-772-9494,"['가족과함께', '가족체험', '관광지', '농촌체험', '농촌체험마을', '농촌체험여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f4019e99-eaa8-413e-82a0-9c0e66ca4adf&thumb
대한다원,전남 보성군,061-852-4540,"['15_16한국관광100선', '17_18한국관광100선', '가족여행', '관광지', '대한다원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3fa591a4-3e5a-44d3-8d4b-003a40ccca00&thumb
순천 낙안읍성,전남 순천시,1577-2013,"['관광지', '낙안읍성', '드라마촬영지', '역사', '역사관광', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5e44ada1-0634-4b33-9479-8b0c49ff9d75&thumb
섬진강기차마을,전남 곡성군,061-363-6174,"['19_20한국관광100선', '2014', '가족여행', '관광지', '기차여행', '섬진강기차마을']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d54a8e4a-a78d-473d-8875-10198d47c347&thumb
미황사,전남 해남군,061-533-3521,"['19_20한국관광100선', '관광지', '불교', '불교문화', '사찰', '사찰여행', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2db607cf-722f-4d7c-a441-a9fcd543a4c6&thumb
사성암(구례),전남 구례군,061-781-4544,"['경치좋은곳', '관광지', '불교', '불교문화', '사성암', '사찰', '사찰여행', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d9687a58-61c6-473c-934a-49796aab3e04&thumb
돌산공원,전남 여수시,061-659-4628,"['관광지', '돌산공원', '드라마촬영지', '산책길', '산책하기', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bab89ce9-7440-4ebe-b9db-5b9922ba5d3e&thumb
순천만 국가정원,전남 순천시,1577-2013,"['가족과함께', '가족여행', '걷기여행', '관광지', '봄나들이', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6a4c2015-fd05-4129-ae4a-6903a03d76bc&thumb
천사섬 분재공원,전남 신안군,061-240-8778,"['가족과함께', '관광지', '사진찍기', '사진찍기좋은곳', '산책길', '산책하기', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=56c59efd-70d7-4ebb-8648-6c21972ca2fb&thumb
반월도·박지도,전남 신안군,061-271-1004,"['2020_휴가철찾아가고싶은_33섬', '가족과함께', '관광지', '바다내음', '박지도']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f2467411-e179-4101-bebb-3f1cfbb877a8&thumb
목포 서산동 보리마당&시화마을,전남 목포시,061-270-8599,"['SNS감성사진', '골목길여행', '관광지', '남녀노소', '사진찍기', '사진찍기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e1e73981-7ca4-4350-b055-65149e6a2323&thumb
외달도,전남 목포시,061-270-3513,"['2020_휴가철찾아가고싶은_33섬', '가족과함께', '경치좋은곳', '관광지', '바다경치']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8fa466e4-2df7-4fff-8f10-d8fdcd74efca&thumb
