name,region,address
백수해안도로,전남 영광군,전라남도 영광군 백수읍 대신리
담양 메타세쿼이아길,전남 담양군,전라남도 담양군 담양읍 메타세쿼이아로 19
"순천만습지 (구, 순천만자연생태공원)",전남 순천시,전라남도 순천시 순천만길 513-25
오동도,전남 여수시,전라남도 여수시 오동도로 222
여수 해상케이블카,전남 여수시,전라남도 여수시 돌산읍 돌산로 3600-1
향일암(여수),전남 여수시,전라남도 여수시 돌산읍 향일암로 60
가우도,전남 강진군,전라남도 강진군 도암면 월곶로 473
죽녹원,전남 담양군,전라남도 담양군 담양읍 죽녹원로 119
광양 매화마을,전남 광양시,전라남도 광양시 다압면 섬진강매화로 1563-1
대한다원,전남 보성군,전라남도 보성군 보성읍 녹차로 763-67
순천 낙안읍성,전남 순천시,전라남도 순천시 낙안면 충민길 30
섬진강기차마을,전남 곡성군,전라남도 곡성군 오곡면 기차마을로 232
미황사,전남 해남군,전라남도 해남군 송지면 미황사길 164
사성암(구례),전남 구례군,전라남도 구례군 문척면 사성암길 303
돌산공원,전남 여수시,전라남도 여수시 돌산읍 돌산로 3600-1
순천만 국가정원,전남 순천시,전라남도 순천시 국가정원1호길 47
천사섬 분재공원,전남 신안군,전라남도 신안군 압해읍 수락길 330
반월도·박지도,전남 신안군,전라남도 신안군 안좌면
목포 서산동 보리마당&시화마을,전남 목포시,전라남도 목포시 해안로127번길 14-2
외달도,전남 목포시,전라남도 목포시 외달도길 72
엑스포해양공원,전남 여수시,전라남도 여수시 박람회길 1
담양 소쇄원,전남 담양군,전라남도 담양군 가사문학면 소쇄원길 17
구례 산수유마을,전남 구례군,전라남도 구례군 산동면 위안월계길 6-12
고흥우주발사전망대,전남 고흥군,전라남도 고흥군 영남면 해맞이로 840
정남진 편백숲 우드랜드,전남 장흥군,전라남도 장흥군 장흥읍 우드랜드길 180
함평해수찜,전남 함평군,전라남도 함평군 손불면 석산로 69
선암사[유네스코 세계문화유산],전남 순천시,전라남도 순천시 승주읍 선암사길 450
청산도,전남 완도군,전라남도 완도군 청산면 도청3길 30-1
목포 갓바위,전남 목포시,전라남도 목포시 남농로 149
곡성 메타세쿼이아길,전남 곡성군,전라남도 곡성군 곡성읍 읍내리
증도(신안),전남 신안군,전라남도 신안군 증도면 문준경길 188
춤추는 바다분수,전남 목포시,전라남도 목포시 미항로 115
강진 백련사 동백나무 숲,전남 강진군,전라남도 강진군 도암면 백련사길 145
진도 신비의 바닷길,전남 진도군,전라남도 진도군 고군면 신비의바닷길 148
증도 우전해수욕장,전남 신안군,전라남도 신안군 증도면 지도증도로 1684
홍도,전남 신안군,전라남도 신안군 흑산면 홍도1길 9-8
순천 오픈세트장,전남 순천시,전라남도 순천시 비례골길 24
백양사,전남 장성군,전라남도 장성군 북하면 백양로 1239
보길도,전남 완도군,전라남도 완도군 보길면
목포 관광특구,전남 목포시,전남 목포시
힐링파크 쑥섬쑥섬 (애도),전남 고흥군,전라남도 고흥군 봉래면 애도길 41
도리포,전남 무안군,전라남도 무안군 해제면
목포 해상케이블카,전남 목포시,전라남도 목포시 해양대학로 240
지리산온천랜드,전남 구례군,전라남도 구례군 산동면 지리산온천로 261
성불계곡,전남 광양시,전라남도 광양시 봉강면 성불로 1150-14
두륜산케이블카,전남 해남군,전라남도 해남군 삼산면 대흥사길 88-45
삼학도,전남 목포시,전라남도 목포시 삼학로92번길
기점·소악도,전남 신안군,전라남도 신안군 증도면
연홍도,전남 고흥군,전라남도 고흥군 금산면 신전리
광양 옥룡사 동백나무 숲,전남 광양시,전라남도 광양시 옥룡면 운암길 83
자은도,전남 신안군,전라남도 신안군 자은면 구영1길 8
가우도 출렁다리,전남 강진군,전라남도 강진군 도암면 신기리
완도 정도리 구계등,전남 완도군,전라남도 완도군 완도읍 구계등길 47-1
대나무골 테마공원,전남 담양군,전라남도 담양군 금성면 비내동길 148
땅끝관광지,전남 해남군,전라남도 해남군 송지면 땅끝마을길 42
거문도,전남 여수시,전라남도 여수시 삼산면 거문길 103
보해매실농원,전남 해남군,전라남도 해남군 산이면 예덕길 125-89
유달산,전남 목포시,전남 목포시 죽교동 산27-3
세방낙조 전망대,전남 진도군,전라남도 진도군 지산면 가학리
여수 진남관,전남 여수시,전라남도 여수시 동문로 11
플라타너스 별빛 달빛 길,전남 담양군,전라남도 담양군 담양읍 죽녹원로 130
돌산도,전남 여수시,전라남도 여수시 돌산읍
금오도,전남 여수시,전라남도 여수시 남면
제암산자연휴양림,전남 보성군,전라남도 보성군 웅치면 대산길 330
남열해돋이해수욕장,전남 고흥군,전라남도 고흥군 고흥읍 고흥군청로 1
지리산치즈랜드,전남 구례군,전라남도 구례군 산동면 산업로 1590-62
천은사(구례),전남 구례군,전라남도 구례군 광의면 노고단로 209
