name,region,address
섭지코지,제주 서귀포시,제주특별자치도 서귀포시 성산읍 섭지코지로 107
성산일출봉 [유네스코 세계자연유산],제주 서귀포시,제주특별자치도 서귀포시 성산읍 일출로 284-12
휴애리자연생활공원,제주 서귀포시,제주특별자치도 서귀포시 남원읍 신례동로 256
쇠소깍,제주 서귀포시,제주특별자치도 서귀포시 쇠소깍로 128
아부오름,제주 제주시,제주특별자치도 제주시 구좌읍 금백조로
산굼부리,제주 제주시,제주특별자치도 제주시 조천읍 비자림로 768
이호테우해변,제주 제주시,제주특별자치도 제주시 도리로
비자림,제주 제주시,제주특별자치도 제주시 구좌읍 비자숲길
카멜리아힐,제주 서귀포시,제주특별자치도 서귀포시 안덕면 병악로 166
새별오름,제주 제주시,제주특별자치도 제주시 애월읍 봉성리 산
돈내코(원앙폭포),제주 서귀포시,제주특별자치도 서귀포시 돈내코로 137
광치기해변,제주 서귀포시,제주특별자치도 서귀포시 성산읍 고성리
만장굴 (제주도 국가지질공원),제주 제주시,제주특별자치도 제주시 구좌읍 만장굴길 182
신풍 신천 바다목장,제주 서귀포시,제주특별자치도 서귀포시 성산읍 일주동로 5417
제주절물자연휴양림,제주 제주시,제주특별자치도 제주시 명림로 584
용눈이오름,제주 제주시,제주특별자치도 제주시 구좌읍 종달논길
서귀포 가시리마을 (녹산로 유채꽃도로),제주 서귀포시,제주특별자치도 서귀포시 표선면 가시로565번길 20
천제연폭포,제주 서귀포시,제주특별자치도 서귀포시 천제연로 132
퍼시픽랜드,제주 서귀포시,제주특별자치도 서귀포시 중문관광로 154-17
제주 유리의성,제주 제주시,제주특별자치도 제주시 한경면 녹차분재로 462
따라비 오름,제주 서귀포시,제주특별자치도 서귀포시 표선면 가시리
새섬 새연교,제주 서귀포시,제주특별자치도 서귀포시 남성중로 40
산방산(제주),제주 서귀포시,제주특별자치도 서귀포시 안덕면 산방로 218-10
1100고지습지,제주 서귀포시,제주특별자치도 서귀포시 색달동 산 1-2
성읍민속마을,제주 서귀포시,제주특별자치도 서귀포시 표선면 성읍정의현로 19
중문관광단지,제주 서귀포시,제주특별자치도 서귀포시 중문관광로 38
추자도,제주 제주시,제주특별자치도 제주시 추자면
거문오름 [세계자연유산],제주 제주시,제주특별자치도 제주시 조천읍 선교로 569-36
가파도,제주 서귀포시,제주특별자치도 서귀포시 대정읍 가파로
신창풍차해안도로,제주 제주시,제주특별자치도 제주시 한경면 신창리 1322-1
고살리 숲길,제주 서귀포시,제주특별자치도 서귀포시 남원읍 하례리 산54-1
제주 산방산탄산온천,제주 서귀포시,제주특별자치도 서귀포시 안덕면 사계북로41번길 192
수목원테마파크(아이스뮤지엄),제주 제주시,제주특별자치도 제주시 은수길 69
한림공원,제주 제주시,제주특별자치도 제주시 한림읍 한림로 300
용머리해안,제주 서귀포시,제주특별자치도 서귀포시 안덕면 산방로 218-10
물영아리 오름,제주 서귀포시,제주특별자치도 서귀포시 남원읍 남조로 988-11
브릭캠퍼스 제주,제주 제주시,제주특별자치도 제주시 1100로 3047
물영아리오름,제주 서귀포시,제주특별자치도 서귀포시 남원읍 태수로 552
제주허브동산,제주 서귀포시,제주특별자치도 서귀포시 표선면 돈오름로 170
함덕 서우봉 해변 (함덕해수욕장),제주 제주시,제주특별자치도 제주시 조천읍 조함해안로
한라산 (제주도 국가지질공원),제주 제주시,제주특별자치도 제주시 1100로 2070-61
서건도,제주 서귀포시,제주특별자치도 서귀포시 강정동
천지연폭포 (제주도 국가지질공원),제주 서귀포시,제주특별자치도 서귀포시 천지동
세화해변,제주 제주시,제주특별자치도 제주시 구좌읍 세화길
남원 큰엉해안,제주 서귀포시,제주특별자치도 서귀포시 남원읍 태위로 522-17
한라산 영실,제주 서귀포시,제주특별자치도 서귀포시 영실로 246
에코랜드테마파크,제주 제주시,제주특별자치도 제주시 조천읍 번영로 1278-169
수월봉,제주 제주시,제주특별자치도 제주시 한경면 고락로
월정리해변(월정리해수욕장),제주 제주시,제주특별자치도 제주시 구좌읍 해맞이해안로 480-1
용천동굴 [유네스코 세계자연유산],제주 제주시,제주특별자치도 제주시 구좌읍 월정리
사라봉공원,제주 제주시,제주특별자치도 제주시 사라봉동길 74
한라수목원,제주 제주시,제주특별자치도 제주시 수목원길 72
황우지해안,제주 서귀포시,제주특별자치도 서귀포시 서홍동
제주 노루생태관찰원,제주 제주시,제주특별자치도 제주시 명림로 520
주상절리대(대포동지삿개),제주 서귀포시,제주특별자치도 서귀포시 이어도로 36-30
한라생태숲,제주 제주시,제주특별자치도 제주시 516로 2596
제주4·3평화공원,제주 제주시,제주특별자치도 제주시 명림로 430
정물오름,제주 제주시,제주특별자치도 제주시 한림읍 산록남로 214-12
조랑말체험공원,제주 서귀포시,제주특별자치도 서귀포시 표선면 녹산로 381-15
용두암,제주 제주시,제주특별자치도 제주시 용두암길
제주 당처물동굴 [유네스코 세계자연유산],제주 제주시,제주특별자치도 제주시 구좌읍 월정리
마라도 등대,제주 서귀포시,제주특별자치도 서귀포시 대정읍 마라로 161
협재해변,제주 제주시,제주특별자치도 제주시 한림읍
어멍아방잔치마을,제주 서귀포시,제주특별자치도 서귀포시 성산읍 신풍하동로 39
제주불빛정원,제주 제주시,제주특별자치도 제주시 애월읍 평화로 2346
제주도 국가지질공원,제주 제주시,제주특별자치도 제주시 조천읍 선교로 569-36
김녕성세기해변 (김녕해수욕장),제주 제주시,제주특별자치도 제주시 구좌읍 해맞이해안로
최남단체험감귤농장,제주 서귀포시,제주특별자치도 서귀포시 남원읍 남위남성로 164
혼인지,제주 서귀포시,제주특별자치도 서귀포시 성산읍 혼인지로 39-22
생각하는 정원,제주 제주시,제주특별자치도 제주시 한경면 녹차분재로 675
중문·색달 해변,제주 서귀포시,제주특별자치도 서귀포시 중문관광로72번길
표선 해비치 해변,제주 서귀포시,제주특별자치도 서귀포시 표선면 민속해안로
종달리 해안도로,제주 제주시,제주특별자치도 제주시 구좌읍 종달리
제주 선흘리 벵뒤굴 [유네스코 세계자연유산],제주 제주시,제주특별자치도 제주시 조천읍
제주도 관광특구,제주,제주특별자치도
서귀포자연휴양림,제주 서귀포시,제주특별자치도 서귀포시 1100로 882
엉또폭포,제주 서귀포시,제주특별자치도 서귀포시 엉또로
금능석물원,제주 제주시,제주특별자치도 제주시 한림읍 한림로 176
제주다원 녹차미로공원,제주 서귀포시,제주특별자치도 서귀포시 산록남로 1240
서귀포 하논분화구,제주 서귀포시,제주특별자치도 서귀포시 일주동로 8823
정방폭포,제주 서귀포시,제주특별자치도 서귀포시 동흥동
여미지식물원,제주 서귀포시,제주특별자치도 서귀포시 중문관광로 93
선흘곶자왈 (제주도 국가지질공원),제주 제주시,제주특별자치도 제주시 조천읍 선흘리 산12 제주특별자치도
휴림,제주 제주시,제주특별자치도 제주시 애월읍 광령남서길 40
제주러브랜드,제주 제주시,제주특별자치도 제주시 1100로 2894-72
우도(해양도립공원),제주 제주시,제주특별자치도 제주시 우도면 우도로 153
제주 동백마을,제주 서귀포시,제주특별자치도 서귀포시 남원읍 한신로531번길 22-1
어승생,제주 제주시,제주특별자치도 제주시 해안동
제주도 하도리,제주 제주시,제주특별자치도 제주시 구좌읍 해맞이해안로 1973
수월봉과 차귀해안,제주 제주시,제주특별자치도 제주시 한경면 노을해안로 1013-70
메이즈랜드,제주 제주시,제주특별자치도 제주시 구좌읍 비자림로 2134-47
제주선인장마을,제주 제주시,제주특별자치도 제주시 한림읍 월령1길 1-1
