name,region,address
웅도,충남 서산시,충청남도 서산시 대산읍 웅도1길 92
예당호 출렁다리(음악분수),충남 예산군,충청남도 예산군 응봉면
서동공원과 궁남지,충남 부여군,충청남도 부여군 부여읍 궁남로 52
선샤인랜드,충남 논산시,충청남도 논산시 연무읍 봉황로 102
신성리 갈대밭,충남 서천군,충청남도 서천군 한산면 신성리 125-1
세계꽃식물원,충남 아산시,충청남도 아산시 도고면 아산만로 37-37
관북리유적과 부소산성 [유네스코 세계유산],충남 부여군,충청남도 부여군 부여읍 부소로 15
외암민속마을,충남 아산시,충청남도 아산시 송악면 외암민속길9번길 13-2
서천 마량리 동백나무 숲,충남 서천군,충청남도 서천군 서면 서인로235번길 103
온양관광호텔 온천탕,충남 아산시,충청남도 아산시 온천대로 1459
대천해수욕장,충남 보령시,충청남도 보령시 머드로 123
알프스마을,충남 청양군,충청남도 청양군 정산면 천장호길 223-35
보령 천북굴단지,충남 보령시,충청남도 보령시 천북면
개화예술공원,충남 보령시,충청남도 보령시 성주면 성주산로 673-47
서산 해미읍성,충남 서산시,충청남도 서산시 해미면 남문2로 143
천장호 출렁다리,충남 청양군,충청남도 청양군 정산면 천장호길 24
공주 공산성 [유네스코 세계유산],충남 공주시,충청남도 공주시 웅진로 280
낙화암,충남 부여군,충청남도 부여군 부여읍 북포로
꽃지해수욕장,충남 태안군,충청남도 태안군 안면읍 승언리
외연도,충남 보령시,충청남도 보령시 오천면 외연도1길 64
호도,충남 보령시,충청남도 보령시 오천면 호도길 22
부여 가림성,충남 부여군,충청남도 부여군 임천면 성흥로97번길 167
당진 삽교호,충남 당진시,충청남도 당진시 신평면
청산수목원,충남 태안군,충청남도 태안군 남면 연꽃길 70
간월암(서산),충남 서산시,충청남도 서산시 부석면 간월도1길 119-29
피나클랜드,충남 아산시,충청남도 아산시 영인면 월선길 20-42
태안 신두리 해안사구,충남 태안군,충청남도 태안군 원북면 신두리
아그로랜드 태신목장,충남 예산군,충청남도 예산군 고덕면 상몽2길 231
공주 송산리 고분군과 무령왕릉 [유네스코 세계유산],충남 공주시,충청남도 공주시 왕릉로 37-2
남당항,충남 홍성군,충청남도 홍성군 서부면 남당리
곡교천변 은행나무길,충남 아산시,충청남도 아산시 염치읍 송곡리
