name,region,tel,keyword,photo
청남대,충북 청주시,043-257-5080,"['19_20한국관광100선', '가족여행', '관광지', '산책길', '산책하기', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=170bedd6-6e02-4a53-9db1-3de5c132f339&thumb
단양 수양개빛터널,충북 단양군,043-421-5453,"['가족과함께', '가족여행', '관광지', '남녀노소', '단양가볼만한곳', '빛터널', '사진찍기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fc9122ff-9545-4894-9c42-d58346cc104b&thumb
구담봉.옥순봉,충북 단양군,043-422-1146,"['관광지', '구담봉', '옥순봉', '자연', '자연관광', '자연관광지', '자연속으로', '자연속힐링']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ce8389d8-a7a5-48e7-963d-b1e47257ed5c&thumb
도담삼봉,충북 단양군,042-422-3037,"['가족여행', '관광지', '교과서속여행', '도담삼봉', '아이와함께', '역사유적지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6b972a85-d65c-4d71-9dc5-99c5a64b72cf&thumb
수안보온천 관광특구,충북 충주시,043-846-3605,"['가족과함께', '가족여행', '관광지', '남녀노소', '사계절', '수안보온천', '야간관광100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b953d342-ca5a-490f-9c62-269371397c17&thumb
중앙탑공원(충주),충북 충주시,043-842-0531,"['관광지', '교과서속여행', '아이와함께', '야간관광100선', '역사유적지', '연중무휴']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1c373c43-6dd7-41e7-95b4-ca9902184c40&thumb
보은 법주사[유네스코 세계문화유산],충북 보은군,043-543-3615,"['가족여행', '관광지', '교과서속여행', '보은법주사', '불교', '불교문화', '사찰&산사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d8e535aa-280c-4730-ab7f-6209cde95cb0&thumb
악어봉,충북 충주시,043-842-0531,"['경치좋은곳', '관광지', '악어섬', '자연&숲', '자연경관', '자연발생', '자연생태']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ec12666b-e3fc-453a-a7a5-09f17c627aca&thumb
갈론계곡(갈은구곡),충북 괴산군,043-832-5550,"['갈론계곡', '계곡', '관광지', '언택트관광지_100선', '자연', '충청권', '피서']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2d18acc4-c938-4a21-949e-c5758d17c22c&thumb
청풍호 관광모노레일,충북 제천시,043-653-5120,"['가족여행', '관광지', '데이트코스', '사계절', '연인과함께', '자연', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=37731c88-7bc1-4a85-8a50-f41c7448a234&thumb
충주라이트월드,충북 충주시,1522-1258,"['관광지', '데이트코스', '아이와함께', '야경투어', '에너제틱_청춘여행', '인생샷']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d1f76ee3-b09f-46a9-8f8b-c5a576f90cbc&thumb
제천 의림지와 제림,충북 제천시,043-651-7101,"['가족여행', '관광지', '생태관광지', '자연', '자연좋은곳', '제천의림지와제림']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=46a3a498-d920-4ded-80a9-57b4488dbfc0&thumb
옥천 수생식물학습원,충북 옥천군,043-733-9020,"['경치여행', '경치좋은곳', '관광지', '남녀노소', '수생식물원', '아이와함께', '옥천가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=39ed6b34-bab2-4b83-98c8-c819219fcd2f&thumb
충주 탄금대와 탄금대공원,충북 충주시,043-848-2246,"['가족여행', '관광지', '산책하기좋은곳', '역사', '역사관광지', '역사문화재', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a15e88b5-3abe-44f0-81dc-73b055c3dd57&thumb
청풍문화재단지,충북 제천시,043-641-5532,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d057b109-1bf0-45b0-9bfa-01128f5bece5&thumb
진천만뢰산 자연생태공원,충북 진천군,043-539-3448,"['관광지', '만뢰산', '생태관광', '생태관광지', '수목원', '언택트관광지_100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0d75987f-63b0-4177-a2ab-3cd7ae442154&thumb
단양 천동동굴,충북 단양군,043-422-2972,"['관광지', '미세먼지탈출_이색동굴여행', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ff5aad8b-85e2-4f88-aebe-8a14882addb9&thumb
청풍호반케이블카,충북 제천시,043-643-7301,"['가족과함께', '경치여행', '경치좋은곳', '관광지', '연인과함께', '이색체험', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d2c36e31-d712-4ddf-ab47-0e00317ca172&thumb
수주팔봉,충북 충주시,043-842-0531,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fcc4d359-2c8f-4478-bdaa-a29bf80c826e&thumb
충북알프스자연휴양림,충북 보은군,043-543-1472,"['관광지', '국내힐링여행', '자연', '자연속으로', '자연여행', '자연좋은곳', '자연풍경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f696a204-719e-484d-8964-98fafd3525d1&thumb
단양강 잔도,충북 단양군,043-422-1146,"['가족과함께', '경치좋은곳', '관광지', '산책길', '산책하기좋은곳', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=41ae5053-c368-416d-8d04-6e7c56b572b9&thumb
청주 정북동 토성,충북 청주시,043-201-0916,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d6135039-e585-4bb0-9af1-f4925ab66ccd&thumb
단양 팔경,충북 단양군,043-422-1146,"['관광지', '자연', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4ddf3712-07c6-4ac0-94ab-738be9387245&thumb
옥계폭포,충북 영동군,043-740-3225,"['관광지', '박연폭포', '옥계폭포', '자연', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=28bf3181-e91e-412e-a44d-fa48558e9beb&thumb
월악산국립공원,충북 제천시,043-653-3250,"['가족여행', '관광지', '나들이', '데이트코스', '등산', '등산로', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=11b68cce-6606-4dbd-afa7-e54c68e07d27&thumb
단양 방곡도깨비마을,충북 단양군,043-422-1146,"['관광지', '도자기체험', '방곡도깨비마을', '이색체험', '자연마을', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9079e7e6-6f87-43a9-891d-61930369ec14&thumb
단양 고수동굴,충북 단양군,043-422-3072,"['가족과함께', '관광지', '교육여행', '단양가볼만한곳', '단양고수동굴', '미세먼지탈출_이색동굴여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=99050234-8e18-481c-a712-c309af77a975&thumb
