name,region,address
청남대,충북 청주시,충청북도 청주시 상당구 문의면 청남대길 646
단양 수양개빛터널,충북 단양군,충청북도 단양군 적성면 수양개유적로 390
구담봉.옥순봉,충북 단양군,충청북도 단양군 단성면 장회리
도담삼봉,충북 단양군,충청북도 단양군 매포읍 삼봉로 644-33
수안보온천 관광특구,충북 충주시,충청북도 충주시 수안보면 주정산로 12
중앙탑공원(충주),충북 충주시,충청북도 충주시 중앙탑면 중앙탑길 112-28
보은 법주사[유네스코 세계문화유산],충북 보은군,충청북도 보은군 속리산면 법주사로 405
악어봉,충북 충주시,충청북도 충주시 살미면 신당리
갈론계곡(갈은구곡),충북 괴산군,충청북도 괴산군 칠성면 사은리
청풍호 관광모노레일,충북 제천시,충청북도 제천시 청풍면 청풍명월로 879-17
충주라이트월드,충북 충주시,충청북도 충주시 남한강로 24
제천 의림지와 제림,충북 제천시,충청북도 제천시 의림지로 33
옥천 수생식물학습원,충북 옥천군,충청북도 옥천군 군북면 방아실길 255
충주 탄금대와 탄금대공원,충북 충주시,충청북도 충주시 탄금대안길 105
청풍문화재단지,충북 제천시,충청북도 제천시 청풍면 청풍호로 2048
진천만뢰산 자연생태공원,충북 진천군,충청북도 진천군 진천읍 김유신길 340-38
단양 천동동굴,충북 단양군,충청북도 단양군 단양읍 천동2길
청풍호반케이블카,충북 제천시,충청북도 제천시 청풍면 문화재길 166
수주팔봉,충북 충주시,충청북도 충주시 살미면
충북알프스자연휴양림,충북 보은군,충청북도 보은군 산외면 속리산로 1880
단양강 잔도,충북 단양군,충청북도 단양군 단양읍 삼봉로 31
청주 정북동 토성,충북 청주시,충청북도 청주시 청원구 정북동
단양 팔경,충북 단양군,충청북도 단양군 단성면
옥계폭포,충북 영동군,충청북도 영동군 심천면 고당리
월악산국립공원,충북 제천시,충청북도 제천시 한수면 미륵송계로 1647
단양 방곡도깨비마을,충북 단양군,충청북도 단양군 대강면 선암계곡로 148
단양 고수동굴,충북 단양군,충청북도 단양군 단양읍 고수동굴길 8
도마령,충북 영동군,충청북도 영동군 용화면 조동리
부소담악(추소정),충북 옥천군,충청북도 옥천군 군북면 추소리 519-1
호암지,충북 충주시,충청북도 충주시 호암동
화양구곡(화양동계곡),충북 괴산군,충청북도 괴산군 청천면 화양동길 78
충주호관광선 청풍나루,충북 제천시,충청북도 제천시 청풍면 문화재길 54
수암골 벽화마을,충북 청주시,충청북도 청주시 상당구 수암로 58
충주 라바랜드,충북 충주시,충청북도 충주시 남한강로 30
충주세계무술공원,충북 충주시,충청북도 충주시 남한강로 24
온달관광지,충북 단양군,충청북도 단양군 영춘면 온달로 23
속리산 숲체험휴양마을,충북 보은군,충청북도 보은군 속리산면 속리산로 596
단양 사인암,충북 단양군,충청북도 단양군 대강면 사인암2길 42
배론성지,충북 제천시,충청북도 제천시 봉양읍 배론성지길 296
조령산자연휴양림,충북 괴산군,충청북도 괴산군 연풍면 새재로 1795
중부내륙순환열차(O-트레인),충북 제천시,서울특별시 용산구 한강대로 405
물한계곡,충북 영동군,충청북도 영동군 상촌면
민주지산 자연휴양림,충북 영동군,충청북도 영동군 용화면 휴양림길 60
진천 농다리,충북 진천군,충청북도 진천군 문백면 구곡리
구인사(단양),충북 단양군,충청북도 단양군 영춘면 구인사길 73
앙성탄산온천,충북 충주시,충청북도 충주시 앙성면 가곡로 1457
상수허브랜드,충북 청주시,충청북도 청주시 서원구 남이면 부용외천길 18
금월봉,충북 제천시,충청북도 제천시 금성면 월굴리
만수계곡,충북 보은군,충청북도 보은군 속리산면 만수길 136
충주 미륵대원지,충북 충주시,충청북도 충주시 수안보면 미륵리사지길 150
미동산수목원,충북 청주시,충청북도 청주시 상당구 미원면 수목원길 51
청풍호 유람선,충북 제천시,충청북도 제천시 청풍면 청풍호로50길 6
단양 온달동굴,충북 단양군,충청북도 단양군 영춘면 온달로 23
충주자연호텔,충북 충주시,충청북도 충주시 살미면 팔봉로 1061
청주 상당산성,충북 청주시,충청북도 청주시 상당구 산성동 산28-2
좌구산자연휴양림,충북 증평군,충청북도 증평군 증평읍 솟점말길 107
하늘재,충북 충주시,충청북도 충주시 수안보면 미륵송계로 614
충주호,충북 충주시,충청북도 충주시 동량면 조동리
진천공예마을,충북 진천군,충청북도 진천군 문백면 공예촌길 116-3
문의문화재단지,충북 청주시,충청북도 청주시 상당구 문의면 대청호반로 721
"장령산자연휴양림(구, 장용산자연휴양림)",충북 옥천군,충청북도 옥천군 군서면 장령산로 519
한드미마을,충북 단양군,충청북도 단양군 가곡면 한드미길 30-12
괴산 올갱이국 거리,충북 괴산군,충청북도 괴산군 괴산읍 동부리
